Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,23.717579,[33  2] ; [ 8 15],[24.74137931 10.25862069] ; [16.25862069  6.74137931],1
s3,1,0.000535,11.990893,[30  7] ; [ 9 15],[23.6557377 13.3442623] ; [15.3442623  8.6557377],1
p7,1,0.000613,11.736111,[34  2] ; [14 10],[28.8  7.2] ; [19.2  4.8],1
s2,1,0.006268,7.471598,[30  7] ; [12 13],[25.06451613 11.93548387] ; [16.93548387  8.06451613],0
p8,1,0.006393,7.435978,[34  3] ; [16  9],[29.83870968  7.16129032] ; [20.16129032  4.83870968],0
v1,1,0.006838,7.315086,[31  6] ; [13 12],[26.25806452 10.74193548] ; [17.74193548  7.25806452],0
v3,1,0.013164,6.146947,[29  8] ; [12 13],[24.46774194 12.53225806] ; [16.53225806  8.46774194],0
r1,1,0.036707,4.363975,[34  3] ; [18  7],[31.03225806  5.96774194] ; [20.96774194  4.03225806],0
a3,1,0.038303,4.291517,[33  4] ; [17  8],[29.83870968  7.16129032] ; [20.16129032  4.83870968],0
p6,1,0.05489,3.685436,[26 10] ; [12 13],[22.42622951 13.57377049] ; [15.57377049  9.42622951],0
n4,1,0.059256,3.558077,[36  1] ; [21  4],[34.01612903  2.98387097] ; [22.98387097  2.01612903],0
p4,1,0.064768,3.410878,[35  2] ; [19  5],[32.75409836  4.24590164] ; [21.24590164  2.75409836],0
n5,1,0.074869,3.172903,[35  2] ; [20  5],[32.82258065  4.17741935] ; [22.17741935  2.82258065],0
d5,1,0.082217,3.020517,[33  4] ; [18  7],[30.43548387  6.56451613] ; [20.56451613  4.43548387],0
s4,1,0.09543,2.780312,[ 7 30] ; [ 1 23],[ 4.85245902 32.14754098] ; [ 3.14754098 20.85245902],0
d1,1,0.144048,2.134179,[26 11] ; [13 12],[23.27419355 13.72580645] ; [15.72580645  9.27419355],0
s6,1,0.150345,2.068749,[34  3] ; [19  5],[32.14754098  4.85245902] ; [20.85245902  3.14754098],0
r2,1,0.166314,1.915856,[35  2] ; [21  4],[33.41935484  3.58064516] ; [22.58064516  2.41935484],0
d3,1,0.189064,1.7249,[28  9] ; [15 10],[25.66129032 11.33870968] ; [17.33870968  7.66129032],0
p1,1,0.213156,1.549858,[ 8 29] ; [ 9 16],[10.14516129 26.85483871] ; [ 6.85483871 18.14516129],0
a4,1,0.233456,1.419677,[19 18] ; [ 9 16],[16.70967742 20.29032258] ; [11.29032258 13.70967742],0
v2,1,0.249316,1.327135,[26 11] ; [14 11],[23.87096774 13.12903226] ; [16.12903226  8.87096774],0
b1,1,0.272159,1.205834,[17 20] ; [ 8 17],[14.91935484 22.08064516] ; [10.08064516 14.91935484],0
p2,1,0.335446,0.927759,[34  3] ; [21  4],[32.82258065  4.17741935] ; [22.17741935  2.82258065],0
r3,1,0.340322,0.90922,[36  1] ; [23  2],[35.20967742  1.79032258] ; [23.79032258  1.20967742],0
r4,1,0.340322,0.90922,[36  1] ; [23  2],[35.20967742  1.79032258] ; [23.79032258  1.20967742],0
a8,1,0.361437,0.832894,[ 6 29] ; [ 2 21],[ 4.82758621 30.17241379] ; [ 3.17241379 19.82758621],0
a6,1,0.372617,0.794917,[21 16] ; [17  8],[22.67741935 14.32258065] ; [15.32258065  9.67741935],0
a2,1,0.467463,0.527967,[ 7 30] ; [ 3 22],[ 5.96774194 31.03225806] ; [ 4.03225806 20.96774194],0
a7,1,0.47303,0.514889,[25 12] ; [19  6],[26.25806452 10.74193548] ; [17.74193548  7.25806452],0
d4,1,0.495745,0.464033,[32  5] ; [20  5],[31.03225806  5.96774194] ; [20.96774194  4.03225806],0
p12,1,0.506314,0.441677,[ 9 28] ; [ 8 17],[10.14516129 26.85483871] ; [ 6.85483871 18.14516129],0
p9,1,0.518345,0.417185,[34  3] ; [24  1],[34.61290323  2.38709677] ; [23.38709677  1.61290323],0
p10,1,0.543507,0.369078,[34  3] ; [23  1],[34.57377049  2.42622951] ; [22.42622951  1.57377049],0
u2,1,0.583882,0.3,[3 1] ; [7 1],[3.33333333 0.66666667] ; [6.66666667 1.33333333],0
p11,1,0.61113,0.258533,[34  3] ; [22  3],[33.41935484  3.58064516] ; [22.58064516  2.41935484],0
b3,1,0.626689,0.236578,[11 15] ; [8 8],[11.76190476 14.23809524] ; [7.23809524 8.76190476],0
b2,1,0.626689,0.236578,[11 15] ; [8 8],[11.76190476 14.23809524] ; [7.23809524 8.76190476],0
p3,1,0.629722,0.232438,[30  7] ; [19  6],[29.24193548  7.75806452] ; [19.75806452  5.24193548],0
a1,1,0.767898,0.087099,[ 7 30] ; [ 4 21],[ 6.56451613 30.43548387] ; [ 4.43548387 20.56451613],0
s1,1,0.776712,0.080432,[ 1 36] ; [ 1 24],[ 1.19354839 35.80645161] ; [ 0.80645161 24.19354839],0
d2,1,0.795716,0.067027,[19 18] ; [12 13],[18.5 18.5] ; [12.5 12.5],0
b4,1,0.79805,0.06547,[24 13] ; [17  8],[24.46774194 12.53225806] ; [16.53225806  8.46774194],0
n6,1,0.800286,0.063998,[35  2] ; [24  1],[35.20967742  1.79032258] ; [23.79032258  1.20967742],0
v4,1,0.800286,0.063998,[35  2] ; [24  1],[35.20967742  1.79032258] ; [23.79032258  1.20967742],0
u1,1,0.861562,0.03041,[ 5 32] ; [ 3 22],[ 4.77419355 32.22580645] ; [ 3.22580645 21.77419355],0
b5,1,0.863864,0.029398,[14 23] ; [10 15],[14.32258065 22.67741935] ; [ 9.67741935 15.32258065],0
a5,1,0.981884,0.000516,[31  6] ; [21  4],[31.03225806  5.96774194] ; [20.96774194  4.03225806],0
n3,1,1.0,0.0,[6 3] ; [2 1],[6. 3.] ; [2. 1.],0
u3,1,1.0,0.0,[3 1] ; [6 2],[3. 1.] ; [6. 2.],0
