Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,104.389747,[ 25 145] ; [114  49],[70.96096096 99.03903904] ; [68.03903904 94.96096096],1
d5,1,0.0,103.863956,[84 85] ; [162   2],[124.84684685  44.15315315] ; [121.15315315  42.84684685],1
d3,1,0.0,101.579043,[ 62 106] ; [148  16],[106.26506024  61.73493976] ; [103.73493976  60.26506024],1
d4,1,0.0,86.158009,[91 79] ; [159   4],[127.62762763  42.37237237] ; [122.37237237  40.62762763],1
a2,1,0.0,47.173661,[  6 164] ; [ 53 112],[ 29.94029851 140.05970149] ; [ 29.05970149 135.94029851],1
u1,1,0.0,36.749221,[  2 168] ; [ 37 128],[ 19.79104478 150.20895522] ; [ 19.20895522 145.79104478],1
a4,1,0.0,36.653433,[ 35 135] ; [86 78],[ 61.58682635 108.41317365] ; [ 59.41317365 104.58682635],1
a5,1,0.0,27.749995,[80 90] ; [124  41],[103.52238806  66.47761194] ; [100.47761194  64.52238806],1
a3,1,0.0,26.678305,[84 85] ; [127  38],[106.76347305  62.23652695] ; [104.23652695  60.76347305],1
r1,1,1.2e-05,19.214782,[97 73] ; [131  34],[115.70149254  54.29850746] ; [112.29850746  52.70149254],1
a7,1,7e-05,15.817538,[99 70] ; [130  35],[115.87125749  53.12874251] ; [113.12874251  51.87125749],1
r2,1,7.6e-05,15.651756,[133  36] ; [151  10],[145.44242424  23.55757576] ; [138.55757576  22.44242424],1
a6,1,0.000244,13.458406,[95 75] ; [123  41],[110.95808383  59.04191617] ; [107.04191617  56.95808383],1
r4,1,0.001178,10.525157,[119  51] ; [140  25],[131.43283582  38.56716418] ; [127.56716418  37.43283582],0
s8,1,0.001441,10.152446,[ 36 134] ; [ 61 104],[ 49.2238806 120.7761194] ; [ 47.7761194 117.2238806],0
n4,1,0.00256,9.096881,[102  67] ; [125  40],[114.85928144  54.14071856] ; [112.14071856  52.85928144],0
s7,1,0.004606,8.028147,[ 40 122] ; [62 95],[ 51.79937304 110.20062696] ; [ 50.20062696 106.79937304],0
r3,1,0.007534,7.141045,[140  30] ; [152  13],[148.17910448  21.82089552] ; [143.82089552  21.17910448],0
v2,1,0.009799,6.671148,[ 46 115] ; [67 91],[ 57.03134796 103.96865204] ; [ 55.96865204 102.03134796],0
n6,1,0.01193,6.321214,[114  56] ; [130  34],[124.19161677  45.80838323] ; [119.80838323  44.19161677],0
s2,1,0.015491,5.859761,[ 49 121] ; [68 96],[ 59.5508982 110.4491018] ; [ 57.4491018 106.5508982],0
p10,1,0.022988,5.169392,[99 67] ; [118  47],[108.82779456  57.17220544] ; [108.17220544  56.82779456],0
u3,1,0.024266,5.075555,[32 51] ; [23 15],[37.72727273 45.27272727] ; [17.27272727 20.72727273],0
p9,1,0.029027,4.766036,[105  61] ; [122  42],[114.18787879  51.81212121] ; [112.81212121  51.18787879],0
b1,1,0.0365,4.373595,[81 89] ; [ 60 105],[71.55223881 98.44776119] ; [69.44776119 95.55223881],0
v4,1,0.040837,4.182752,[143  27] ; [150  14],[149.13173653  20.86826347] ; [143.86826347  20.13173653],0
s6,1,0.065309,3.397145,[ 68 101] ; [82 81],[76.35542169 92.64457831] ; [73.64457831 89.35542169],0
n2,1,0.089886,2.876416,[41 18] ; [28 24],[36.67567568 22.32432432] ; [32.32432432 19.67567568],0
p4,1,0.116002,2.47049,[ 66 102] ; [78 85],[73.08761329 94.91238671] ; [70.91238671 92.08761329],0
b4,1,0.127759,2.319526,[89 81] ; [100  65],[95.91044776 74.08955224] ; [93.08955224 71.91044776],0
p5,1,0.255103,1.295139,[  5 164] ; [  9 156],[  7.08383234 161.91616766] ; [  6.91616766 158.08383234],0
u2,1,0.26674,1.233438,[40 45] ; [22 16],[42.84552846 42.15447154] ; [19.15447154 18.84552846],0
n1,1,0.296626,1.089302,[21 37] ; [14 38],[18.45454545 39.54545455] ; [16.54545455 35.45454545],0
p11,1,0.326773,0.961645,[111  59] ; [116  49],[115.19402985  54.80597015] ; [111.80597015  53.19402985],0
v3,1,0.352725,0.863628,[ 37 129] ; [ 43 118],[ 40.6116208 125.3883792] ; [ 39.3883792 121.6116208],0
b5,1,0.383547,0.759301,[94 76] ; [99 66],[97.94029851 72.05970149] ; [95.05970149 69.94029851],0
s3,1,0.416427,0.660378,[72 95] ; [78 86],[75.67975831 91.32024169] ; [74.32024169 89.67975831],0
n3,1,0.445525,0.582012,[38 19] ; [31 21],[36.08256881 20.91743119] ; [32.91743119 19.08256881],0
p6,1,0.463579,0.53724,[ 36 133] ; [ 40 122],[ 38.80362538 130.19637462] ; [ 37.19637462 124.80362538],0
n5,1,0.497585,0.460084,[104  63] ; [108  56],[106.96072508  60.03927492] ; [105.03927492  58.96072508],0
b3,1,0.594103,0.283981,[24 65] ; [29 66],[25.63586957 63.36413043] ; [27.36413043 67.63586957],0
b2,1,0.594103,0.283981,[24 65] ; [29 66],[25.63586957 63.36413043] ; [27.36413043 67.63586957],0
p2,1,0.610363,0.259646,[118  52] ; [118  46],[120.11976048  49.88023952] ; [115.88023952  48.11976048],0
s1,1,0.726731,0.122134,[  6 163] ; [  7 156],[  6.61746988 162.38253012] ; [  6.38253012 156.61746988],0
p12,1,0.728578,0.120422,[  5 164] ; [  6 159],[  5.56586826 163.43413174] ; [  5.43413174 159.56586826],0
a1,1,0.746421,0.104563,[  7 163] ; [  8 157],[  7.6119403 162.3880597] ; [  7.3880597 157.6119403],0
p1,1,0.77181,0.084105,[  9 160] ; [ 10 155],[  9.61377246 159.38622754] ; [  9.38622754 155.61377246],0
p7,1,0.781274,0.077094,[84 81] ; [86 78],[85.25835866 79.74164134] ; [84.74164134 79.25835866],0
p3,1,0.908062,0.013337,[ 56 114] ; [ 55 109],[ 56.49700599 113.50299401] ; [ 54.50299401 109.49700599],0
s4,1,0.929839,0.007752,[ 23 145] ; [ 23 141],[ 23.27710843 144.72289157] ; [ 22.72289157 141.27710843],0
p8,1,0.956124,0.003027,[70 99] ; [68 95],[70.24698795 98.75301205] ; [67.75301205 95.24698795],0
a8,1,0.975175,0.000968,[ 19 142] ; [ 18 136],[ 18.91111111 142.08888889] ; [ 18.08888889 135.91111111],0
