Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.007559,7.135027,[15 11] ; [24 59],[ 9.30275229 16.69724771] ; [29.69724771 53.30275229],0
s6,1,0.018244,5.572599,[21  6] ; [47 43],[15.69230769 11.30769231] ; [52.30769231 37.69230769],0
s2,1,0.024753,5.04105,[15 11] ; [30 60],[10.0862069 15.9137931] ; [34.9137931 55.0862069],0
s8,1,0.036861,4.356836,[14 13] ; [27 63],[ 9.46153846 17.53846154] ; [31.53846154 58.46153846],0
s4,1,0.041484,4.156152,[ 9 18] ; [14 76],[ 5.30769231 21.69230769] ; [17.69230769 72.30769231],0
a6,1,0.0447,4.029908,[15 12] ; [68 22],[19.15384615  7.84615385] ; [63.84615385 26.15384615],0
v1,1,0.082302,3.018845,[16  9] ; [39 49],[12.16814159 12.83185841] ; [42.83185841 45.16814159],0
b3,1,0.089079,2.890937,[ 7 11] ; [ 9 39],[ 4.36363636 13.63636364] ; [11.63636364 36.36363636],0
b2,1,0.089079,2.890937,[ 7 11] ; [ 9 39],[ 4.36363636 13.63636364] ; [11.63636364 36.36363636],0
n1,1,0.10449,2.635633,[5 5] ; [ 5 18],[3.03030303 6.96969697] ; [ 6.96969697 16.03030303],0
p5,1,0.108055,2.582432,[ 3 24] ; [ 3 87],[ 1.38461538 25.61538462] ; [ 4.61538462 85.38461538],0
s3,1,0.125306,2.349713,[17  9] ; [43 46],[13.56521739 12.43478261] ; [46.43478261 42.56521739],0
p10,1,0.125969,2.341494,[21  6] ; [55 34],[17.68965517  9.31034483] ; [58.31034483 30.68965517],0
d3,1,0.152333,2.048733,[21  6] ; [56 33],[17.92241379  9.07758621] ; [59.07758621 29.92241379],0
u2,1,0.174125,1.847068,[8 1] ; [23 12],[6.34090909 2.65909091] ; [24.65909091 10.34090909],0
d1,1,0.185249,1.755,[15 12] ; [37 53],[12. 15.] ; [40. 50.],0
p3,1,0.192241,1.700362,[14 13] ; [34 56],[11.07692308 15.92307692] ; [36.92307692 53.07692308],0
b5,1,0.200183,1.641039,[15 12] ; [62 28],[17.76923077  9.23076923] ; [59.23076923 30.76923077],0
a7,1,0.200549,1.638374,[16 11] ; [65 25],[18.69230769  8.30769231] ; [62.30769231 27.69230769],0
v3,1,0.214206,1.542769,[ 4 22] ; [23 61],[ 6.38181818 19.61818182] ; [20.61818182 63.38181818],0
a4,1,0.230978,1.434831,[ 6 21] ; [31 59],[ 8.53846154 18.46153846] ; [28.46153846 61.53846154],0
a5,1,0.231141,1.433824,[13 14] ; [55 35],[15.69230769 11.30769231] ; [52.30769231 37.69230769],0
r4,1,0.232411,1.426043,[19  8] ; [73 17],[21.23076923  5.76923077] ; [70.76923077 19.23076923],0
d4,1,0.234936,1.410724,[23  4] ; [66 23],[20.71551724  6.28448276] ; [68.28448276 20.71551724],0
d2,1,0.243019,1.362997,[12 15] ; [29 61],[ 9.46153846 17.53846154] ; [31.53846154 58.46153846],0
p6,1,0.274019,1.196516,[ 9 17] ; [21 67],[ 6.84210526 19.15789474] ; [23.15789474 64.84210526],0
n3,1,0.279044,1.171739,[6 4] ; [18  5],[7.27272727 2.72727273] ; [16.72727273  6.27272727],0
p8,1,0.314954,1.009788,[14 12] ; [38 51],[11.75652174 14.24347826] ; [40.24347826 48.75652174],0
b4,1,0.35418,0.858424,[18  9] ; [51 39],[15.92307692 11.07692308] ; [53.07692308 36.92307692],0
d5,1,0.389771,0.739655,[22  5] ; [66 24],[20.30769231  6.69230769] ; [67.69230769 22.30769231],0
p9,1,0.412994,0.670164,[21  6] ; [62 27],[19.31896552  7.68103448] ; [63.68103448 25.31896552],0
