Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,72.593503,[113   9] ; [ 6 23],[96.14569536 25.85430464] ; [22.85430464  6.14569536],1
r4,1,1.2e-05,19.195011,[109  13] ; [16 13],[100.99337748  21.00662252] ; [24.00662252  4.99337748],1
p11,1,2.4e-05,17.864261,[95 27] ; [11 18],[85.64238411 36.35761589] ; [20.35761589  8.64238411],1
r3,1,2.6e-05,17.673601,[115   6] ; [20  9],[108.9  12.1] ; [26.1  2.9],1
a6,1,0.002162,9.406588,[80 42] ; [10 19],[72.71523179 49.28476821] ; [17.28476821 11.71523179],0
a5,1,0.002624,9.051917,[90 32] ; [13 16],[83.21854305 38.78145695] ; [19.78145695  9.21854305],0
n6,1,0.003033,8.787758,[104  17] ; [18 11],[98.41333333 22.58666667] ; [23.58666667  5.41333333],0
s5,1,0.006816,7.320953,[61 53] ; [ 7 21],[54.5915493 59.4084507] ; [13.4084507 14.5915493],0
s2,1,0.007962,7.041893,[87 33] ; [13 15],[81.08108108 38.91891892] ; [18.91891892  9.08108108],0
r2,1,0.008209,6.987348,[114   7] ; [22  6],[110.44295302  10.55704698] ; [25.55704698  2.44295302],0
v2,1,0.013619,6.086845,[58 59] ; [ 7 22],[52.0890411 64.9109589] ; [12.9109589 16.0890411],0
d3,1,0.013802,6.063305,[94 27] ; [16 13],[88.73333333 32.26666667] ; [21.26666667  7.73333333],0
p7,1,0.014361,5.993226,[78 40] ; [12 17],[72.24489796 45.75510204] ; [17.75510204 11.24489796],0
s8,1,0.014693,5.952953,[60 62] ; [ 7 22],[54.13245033 67.86754967] ; [12.86754967 16.13245033],0
v4,1,0.017852,5.610615,[116   6] ; [23  5],[113.05333333   8.94666667] ; [25.94666667  2.05333333],0
p6,1,0.026873,4.898979,[52 69] ; [ 6 23],[46.78666667 74.21333333] ; [11.21333333 17.78666667],0
d4,1,0.027039,4.888345,[99 23] ; [18 11],[94.52980132 27.47019868] ; [22.47019868  6.52980132],0
a1,1,0.035037,4.443376,[  1 121] ; [ 2 27],[  2.42384106 119.57615894] ; [ 0.57615894 28.42384106],0
a3,1,0.036902,4.354917,[84 38] ; [14 15],[79.17880795 42.82119205] ; [18.82119205 10.17880795],0
r1,1,0.038596,4.278545,[91 31] ; [16 13],[86.45033113 35.54966887] ; [20.54966887  8.45033113],0
n5,1,0.053566,3.726181,[86 36] ; [15 14],[81.60264901 40.39735099] ; [19.39735099  9.60264901],0
b1,1,0.056796,3.628564,[40 82] ; [15 14],[44.43708609 77.56291391] ; [10.56291391 18.43708609],0
a7,1,0.057359,3.61214,[85 36] ; [15 14],[80.66666667 40.33333333] ; [19.33333333  9.66666667],0
a2,1,0.072599,3.223267,[26 96] ; [ 2 27],[22.62251656 99.37748344] ; [ 5.37748344 23.62251656],0
n2,1,0.076026,3.147866,[27  6] ; [8 6],[24.57446809  8.42553191] ; [10.42553191  3.57446809],0
n3,1,0.076026,3.147866,[27  6] ; [8 6],[24.57446809  8.42553191] ; [10.42553191  3.57446809],0
s7,1,0.083172,3.001808,[73 47] ; [11 15],[69.04109589 50.95890411] ; [14.95890411 11.04109589],0
s6,1,0.083473,2.995952,[99 20] ; [20  9],[95.68243243 23.31756757] ; [23.31756757  5.68243243],0
s1,1,0.106503,2.60536,[  4 117] ; [ 3 26],[  5.64666667 115.35333333] ; [ 1.35333333 27.64666667],0
p8,1,0.123211,2.376017,[60 59] ; [10 19],[56.28378378 62.71621622] ; [13.71621622 15.28378378],0
d1,1,0.140669,2.170624,[69 53] ; [12 17],[65.44370861 56.55629139] ; [15.55629139 13.44370861],0
v1,1,0.158495,1.988522,[55 66] ; [ 9 20],[51.62666667 69.37333333] ; [12.37333333 16.62666667],0
n4,1,0.165176,1.926192,[80 42] ; [15 14],[76.75496689 45.24503311] ; [18.24503311 10.75496689],0
a4,1,0.168824,1.893358,[55 67] ; [ 9 20],[51.70860927 70.29139073] ; [12.29139073 16.70860927],0
b3,1,0.243305,1.361345,[15 48] ; [ 2 16],[13.22222222 49.77777778] ; [ 3.77777778 14.22222222],0
b2,1,0.243305,1.361345,[15 48] ; [ 2 16],[13.22222222 49.77777778] ; [ 3.77777778 14.22222222],0
p2,1,0.264707,1.24397,[96 26] ; [20  9],[93.7218543 28.2781457] ; [22.2781457  6.7218543],0
u1,1,0.275373,1.189786,[23 99] ; [ 3 26],[ 21.00662252 100.99337748] ; [ 4.99337748 24.00662252],0
s3,1,0.2849,1.143568,[86 35] ; [17 11],[83.6442953 37.3557047] ; [19.3557047  8.6442953],0
u3,1,0.296251,1.090994,[22 16] ; [11  4],[23.66037736 14.33962264] ; [9.33962264 5.66037736],0
d5,1,0.41877,0.653763,[96 25] ; [21  8],[94.38 26.62] ; [22.62  6.38],0
n1,1,0.562775,0.334922,[ 9 24] ; [5 9],[ 9.82978723 23.17021277] ; [4.17021277 9.82978723],0
u2,1,0.572251,0.31893,[17 21] ; [8 7],[17.9245283 20.0754717] ; [7.0754717 7.9245283],0
d2,1,0.581193,0.30431,[52 70] ; [14 15],[53.32450331 68.67549669] ; [12.67549669 16.32450331],0
p4,1,0.637712,0.221747,[69 53] ; [15 14],[67.86754967 54.13245033] ; [16.13245033 12.86754967],0
b4,1,0.645099,0.212135,[70 52] ; [18 11],[71.09933775 50.90066225] ; [16.90066225 12.09933775],0
v3,1,0.744619,0.106108,[32 86] ; [ 7 22],[31.30612245 86.69387755] ; [ 7.69387755 21.30612245],0
b5,1,0.777015,0.080209,[75 47] ; [17 12],[74.33112583 47.66887417] ; [17.66887417 11.33112583],0
p1,1,0.928689,0.008009,[  9 113] ; [ 2 27],[  8.88741722 113.11258278] ; [ 2.11258278 26.88741722],0
p3,1,0.943223,0.005072,[58 64] ; [14 15],[58.17218543 63.82781457] ; [13.82781457 15.17218543],0
