Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.002238,9.343056,[ 2 13] ; [13  7],[6.42857143 8.57142857] ; [ 8.57142857 11.42857143],0
u3,1,0.002844,8.905014,[6 1] ; [1 8],[3.0625 3.9375] ; [3.9375 5.0625],0
s5,1,0.002871,8.887379,[ 1 14] ; [11  9],[5.14285714 9.85714286] ; [ 6.85714286 13.14285714],0
n6,1,0.004124,8.228571,[6 9] ; [18  3],[10.  5.] ; [14.  7.],0
d2,1,0.007854,7.066419,[ 2 13] ; [12  9],[5.83333333 9.16666667] ; [ 8.16666667 12.83333333],0
s2,1,0.007854,7.066419,[ 2 13] ; [12  9],[5.83333333 9.16666667] ; [ 8.16666667 12.83333333],0
n5,1,0.01216,6.287377,[7 8] ; [18  3],[10.41666667  4.58333333] ; [14.58333333  6.41666667],0
a6,1,0.012611,6.222857,[ 3 12] ; [13  8],[6.66666667 8.33333333] ; [ 9.33333333 11.66666667],0
d1,1,0.016844,5.712527,[ 1 14] ; [ 9 12],[ 4.16666667 10.83333333] ; [ 5.83333333 15.16666667],0
a5,1,0.023342,5.142857,[ 5 10] ; [15  6],[8.33333333 6.66666667] ; [11.66666667  9.33333333],0
s3,1,0.03647,4.375,[ 3 12] ; [11  9],[6. 9.] ; [ 8. 12.],0
p3,1,0.036803,4.359487,[ 4 11] ; [13  8],[7.08333333 7.91666667] ; [ 9.91666667 11.08333333],0
b4,1,0.059333,3.555918,[6 9] ; [15  6],[8.75 6.25] ; [12.25  8.75],0
b5,1,0.069032,3.305877,[7 8] ; [16  5],[9.58333333 5.41666667] ; [13.41666667  7.58333333],0
s8,1,0.123077,2.377717,[ 3 12] ; [ 9 11],[5.14285714 9.85714286] ; [ 6.85714286 13.14285714],0
n3,1,0.130134,2.290909,[4 6] ; [8 3],[5.71428571 4.28571429] ; [6.28571429 4.71428571],0
v4,1,0.173617,1.851429,[11  4] ; [19  2],[12.5  2.5] ; [17.5  3.5],0
d5,1,0.194319,1.684564,[6 9] ; [13  8],[7.91666667 7.08333333] ; [11.08333333  9.91666667],0
b1,1,0.203605,1.616327,[11  4] ; [11 10],[9.16666667 5.83333333] ; [12.83333333  8.16666667],0
a4,1,0.245237,1.350234,[ 3 12] ; [ 8 13],[ 4.58333333 10.41666667] ; [ 6.41666667 14.58333333],0
n1,1,0.256299,1.288636,[3 7] ; [6 5],[4.28571429 5.71428571] ; [4.71428571 6.28571429],0
v2,1,0.330995,0.945,[ 3 12] ; [ 7 13],[ 4.28571429 10.71428571] ; [ 5.71428571 14.28571429],0
r2,1,0.344157,0.894886,[9 6] ; [15  5],[10.28571429  4.71428571] ; [13.71428571  6.28571429],0
v1,1,0.418492,0.654545,[7 8] ; [ 7 14],[5.83333333 9.16666667] ; [ 8.16666667 12.83333333],0
p11,1,0.418492,0.654545,[8 7] ; [14  7],[9.16666667 5.83333333] ; [12.83333333  8.16666667],0
p6,1,0.473289,0.514286,[ 4 11] ; [ 8 13],[ 5. 10.] ; [ 7. 14.],0
n2,1,0.536632,0.381818,[6 4] ; [8 3],[6.66666667 3.33333333] ; [7.33333333 3.66666667],0
v3,1,0.604542,0.268199,[ 2 13] ; [ 4 16],[ 2.57142857 12.42857143] ; [ 3.42857143 16.57142857],0
p4,1,0.607052,0.26449,[8 7] ; [13  8],[8.75 6.25] ; [12.25  8.75],0
r1,1,0.650147,0.205714,[6 9] ; [10 11],[6.66666667 8.33333333] ; [ 9.33333333 11.66666667],0
a7,1,0.650147,0.205714,[6 9] ; [10 11],[6.66666667 8.33333333] ; [ 9.33333333 11.66666667],0
d4,1,0.650147,0.205714,[9 6] ; [11 10],[8.33333333 6.66666667] ; [11.66666667  9.33333333],0
p10,1,0.668576,0.183273,[11  4] ; [14  7],[10.41666667  4.58333333] ; [14.58333333  6.41666667],0
p12,1,0.759766,0.093506,[ 1 14] ; [ 2 19],[ 1.25 13.75] ; [ 1.75 19.25],0
u1,1,0.759766,0.093506,[ 1 14] ; [ 2 19],[ 1.25 13.75] ; [ 1.75 19.25],0
a2,1,0.759766,0.093506,[ 1 14] ; [ 2 19],[ 1.25 13.75] ; [ 1.75 19.25],0
p7,1,0.781745,0.076754,[8 6] ; [11 10],[7.6 6.4] ; [11.4  9.6],0
a3,1,0.820596,0.051429,[8 7] ; [12  9],[8.33333333 6.66666667] ; [11.66666667  9.33333333],0
b3,1,0.897785,0.016502,[2 5] ; [ 5 11],[2.13043478 4.86956522] ; [ 4.86956522 11.13043478],0
b2,1,0.897785,0.016502,[2 5] ; [ 5 11],[2.13043478 4.86956522] ; [ 4.86956522 11.13043478],0
s4,1,0.899895,0.015824,[ 4 11] ; [ 6 15],[ 4.16666667 10.83333333] ; [ 5.83333333 15.16666667],0
p9,1,0.911106,0.012464,[11  4] ; [15  5],[11.14285714  3.85714286] ; [14.85714286  5.14285714],0
p8,1,0.921972,0.009594,[7 8] ; [ 9 11],[6.85714286 8.14285714] ; [ 9.14285714 10.85714286],0
p5,1,0.935075,0.006636,[ 2 13] ; [ 3 18],[ 2.08333333 12.91666667] ; [ 2.91666667 18.08333333],0
u2,1,0.949375,0.004031,[4 3] ; [5 4],[3.9375 3.0625] ; [5.0625 3.9375],0
d3,1,0.954999,0.003184,[8 7] ; [11 10],[7.91666667 7.08333333] ; [11.08333333  9.91666667],0
s7,1,0.965548,0.001866,[6 8] ; [ 8 11],[5.93939394 8.06060606] ; [ 8.06060606 10.93939394],0
