Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.009735,6.682726,[ 9 32] ; [15 14],[14.05714286 26.94285714] ; [ 9.94285714 19.05714286],0
p8,1,0.010359,6.572024,[22 18] ; [ 7 22],[16.8115942 23.1884058] ; [12.1884058 16.8115942],0
s1,1,0.029314,4.749089,[ 1 40] ; [ 5 24],[ 3.51428571 37.48571429] ; [ 2.48571429 26.51428571],0
r1,1,0.031524,4.624207,[24 17] ; [24  5],[28.11428571 12.88571429] ; [19.88571429  9.11428571],0
d5,1,0.050104,3.837959,[25 16] ; [24  5],[28.7 12.3] ; [20.3  8.7],0
r3,1,0.077572,3.115047,[34  7] ; [28  1],[36.31428571  4.68571429] ; [25.68571429  3.31428571],0
s2,1,0.101903,2.675499,[16 25] ; [16 11],[19.29411765 21.70588235] ; [12.70588235 14.29411765],0
s8,1,0.107946,2.584037,[11 29] ; [13 15],[14.11764706 25.88235294] ; [ 9.88235294 18.11764706],0
b5,1,0.118113,2.442163,[30 11] ; [16 13],[26.94285714 14.05714286] ; [19.05714286  9.94285714],0
a6,1,0.157125,2.001682,[24 17] ; [12 17],[21.08571429 19.91428571] ; [14.91428571 14.08571429],0
d2,1,0.207387,1.589571,[15 26] ; [15 14],[17.57142857 23.42857143] ; [12.42857143 16.57142857],0
p4,1,0.232627,1.424727,[24 17] ; [21  8],[26.35714286 14.64285714] ; [18.64285714 10.35714286],0
a3,1,0.233756,1.417858,[21 20] ; [19 10],[23.42857143 17.57142857] ; [16.57142857 12.42857143],0
a5,1,0.275927,1.187044,[23 18] ; [20  9],[25.18571429 15.81428571] ; [17.81428571 11.18571429],0
u1,1,0.316191,1.004639,[ 6 35] ; [ 2 27],[ 4.68571429 36.31428571] ; [ 3.31428571 25.68571429],0
p2,1,0.357184,0.847771,[31 10] ; [19 10],[29.28571429 11.71428571] ; [20.71428571  8.28571429],0
a7,1,0.3658,0.817883,[27 14] ; [16 13],[25.18571429 15.81428571] ; [17.81428571 11.18571429],0
p1,1,0.373642,0.791515,[ 3 38] ; [ 4 25],[ 4.1 36.9] ; [ 2.9 26.1],0
n6,1,0.396514,0.718871,[28 11] ; [18 11],[26.38235294 12.61764706] ; [19.61764706  9.38235294],0
u3,1,0.429195,0.625,[11  9] ; [7 3],[12.  8.] ; [6. 4.],0
v1,1,0.441016,0.593636,[16 25] ; [14 15],[17.57142857 23.42857143] ; [12.42857143 16.57142857],0
d1,1,0.441016,0.593636,[16 25] ; [14 15],[17.57142857 23.42857143] ; [12.42857143 16.57142857],0
p9,1,0.448799,0.573684,[13 27] ; [12 17],[14.49275362 25.50724638] ; [10.50724638 18.49275362],0
s7,1,0.468082,0.5265,[14 26] ; [11 14],[15.38461538 24.61538462] ; [ 9.61538462 15.38461538],0
a8,1,0.500997,0.452824,[ 5 32] ; [ 2 23],[ 4.17741935 32.82258065] ; [ 2.82258065 22.17741935],0
s6,1,0.573544,0.316789,[23 17] ; [18 10],[24.11764706 15.88235294] ; [16.88235294 11.11764706],0
n4,1,0.577799,0.309806,[25 15] ; [20  9],[26.08695652 13.91304348] ; [18.91304348 10.08695652],0
n5,1,0.580998,0.304624,[22 18] ; [14 15],[20.86956522 19.13043478] ; [15.13043478 13.86956522],0
s4,1,0.587343,0.294512,[ 8 33] ; [ 7 21],[ 8.91304348 32.08695652] ; [ 6.08695652 21.91304348],0
v2,1,0.597826,0.278287,[16 24] ; [13 15],[17.05882353 22.94117647] ; [11.94117647 16.05882353],0
n2,1,0.61093,0.258824,[9 2] ; [8 3],[8.5 2.5] ; [8.5 2.5],0
p11,1,0.617354,0.249604,[18 23] ; [11 18],[16.98571429 24.01428571] ; [12.01428571 16.98571429],0
s3,1,0.617961,0.248743,[23 18] ; [14 14],[21.98550725 19.01449275] ; [15.01449275 12.98550725],0
d4,1,0.63445,0.226075,[29 12] ; [22  7],[29.87142857 11.12857143] ; [21.12857143  7.87142857],0
u2,1,0.65714,0.197017,[ 8 11] ; [3 6],[ 7.46428571 11.53571429] ; [3.53571429 5.46428571],0
d3,1,0.717485,0.130915,[23 18] ; [15 14],[22.25714286 18.74285714] ; [15.74285714 13.25714286],0
v3,1,0.720549,0.127968,[10 29] ; [ 8 19],[10.63636364 28.36363636] ; [ 7.36363636 19.63636364],0
p6,1,0.749543,0.101915,[14 25] ; [ 9 19],[13.3880597 25.6119403] ; [ 9.6119403 18.3880597],0
b1,1,0.766337,0.08831,[24 17] ; [18 11],[24.6 16.4] ; [17.4 11.6],0
a1,1,0.771094,0.084648,[ 2 39] ; [ 1 28],[ 1.75714286 39.24285714] ; [ 1.24285714 27.75714286],0
u4,1,0.802841,0.062336,[ 1 40] ; [ 1 28],[ 1.17142857 39.82857143] ; [ 0.82857143 28.17142857],0
v4,1,0.810575,0.057449,[36  5] ; [26  3],[36.31428571  4.68571429] ; [25.68571429  3.31428571],0
r2,1,0.810575,0.057449,[36  5] ; [26  3],[36.31428571  4.68571429] ; [25.68571429  3.31428571],0
p5,1,0.810575,0.057449,[ 5 36] ; [ 3 26],[ 4.68571429 36.31428571] ; [ 3.31428571 25.68571429],0
s5,1,0.85862,0.031731,[10 30] ; [ 6 20],[ 9.6969697 30.3030303] ; [ 6.3030303 19.6969697],0
b2,1,0.87751,0.023755,[ 9 17] ; [ 7 12],[ 9.24444444 16.75555556] ; [ 6.75555556 12.24444444],0
b3,1,0.87751,0.023755,[ 9 17] ; [ 7 12],[ 9.24444444 16.75555556] ; [ 6.75555556 12.24444444],0
r4,1,0.903439,0.014718,[33  8] ; [23  6],[32.8  8.2] ; [23.2  5.8],0
a2,1,0.921094,0.009812,[ 6 35] ; [ 4 25],[ 5.85714286 35.14285714] ; [ 4.14285714 24.85714286],0
b4,1,0.926243,0.00857,[25 16] ; [18 11],[25.18571429 15.81428571] ; [17.81428571 11.18571429],0
n1,1,1.0,0.0,[6 5] ; [6 5],[6. 5.] ; [6. 5.],0
n3,1,1.0,0.0,[8 3] ; [8 3],[8. 3.] ; [8. 3.],0
