Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,151.068773,[30 44] ; [362  20],[63.61403509 10.38596491] ; [328.38596491  53.61403509],1
p11,1,0.0,39.579477,[39 36] ; [323  60],[59.27947598 15.72052402] ; [302.72052402  80.27947598],1
p7,1,0.0,28.53384,[29 44] ; [267 104],[48.66666667 24.33333333] ; [247.33333333 123.66666667],1
p2,1,8e-06,19.889306,[51 24] ; [336  45],[63.65131579 11.34868421] ; [323.34868421  57.65131579],1
p3,1,1.6e-05,18.661556,[23 52] ; [220 160],[40.05494505 34.94505495] ; [202.94505495 177.05494505],1
n6,1,3.6e-05,17.063261,[53 21] ; [341  40],[64.07912088  9.92087912] ; [329.92087912  51.07912088],1
p4,1,0.000143,14.460971,[35 40] ; [264 116],[49.28571429 25.71428571] ; [249.71428571 130.28571429],1
v4,1,0.000485,12.173735,[68  6] ; [377   5],[72.21491228  1.78508772] ; [372.78508772   9.21491228],1
s8,1,0.00056,11.903161,[24 50] ; [206 173],[37.57174393 36.42825607] ; [192.42825607 186.57174393],1
n5,1,0.000609,11.748905,[46 28] ; [307  75],[57.28508772 16.71491228] ; [295.71491228  86.28508772],1
n4,1,0.001294,10.35126,[51 23] ; [324  59],[60.72210066 13.27789934] ; [314.27789934  68.72210066],0
s5,1,0.001586,9.975926,[16 58] ; [151 216],[28.02267574 45.97732426] ; [138.97732426 228.02267574],0
p8,1,0.002114,9.447519,[30 44] ; [227 152],[41.98233996 32.01766004] ; [215.01766004 163.98233996],0
v1,1,0.002429,9.193542,[31 44] ; [225 148],[42.85714286 32.14285714] ; [213.14285714 159.85714286],0
p6,1,0.005181,7.815014,[18 55] ; [160 220],[28.68432671 44.31567329] ; [149.31567329 230.68432671],0
p12,1,0.005975,7.557973,[ 1 74] ; [ 45 337],[ 7.54923414 67.45076586] ; [ 38.45076586 343.54923414],0
v3,1,0.010476,6.552122,[21 49] ; [170 195],[30.73563218 39.26436782] ; [160.26436782 204.73563218],0
s2,1,0.010551,6.539385,[31 42] ; [223 157],[40.93156733 32.06843267] ; [213.06843267 166.93156733],0
r4,1,0.013801,6.063385,[68  7] ; [371  12],[71.88864629  3.11135371] ; [367.11135371  15.88864629],0
s3,1,0.015833,5.821368,[35 39] ; [235 142],[44.30155211 29.69844789] ; [225.69844789 151.30155211],0
u4,1,0.020106,5.402628,[ 6 69] ; [ 10 373],[ 2.62008734 72.37991266] ; [ 13.37991266 369.62008734],0
s7,1,0.022826,5.181666,[30 41] ; [209 158],[38.74200913 32.25799087] ; [200.25799087 166.74200913],0
p5,1,0.043578,4.072835,[ 4 71] ; [ 52 327],[ 9.25110132 65.74889868] ; [ 46.74889868 332.25110132],0
s6,1,0.046934,3.94776,[45 29] ; [272 104],[52.12888889 21.87111111] ; [264.87111111 111.12888889],0
v2,1,0.068327,3.322753,[38 35] ; [234 135],[44.92307692 28.07692308] ; [227.07692308 141.92307692],0
a3,1,0.087452,2.920655,[55 20] ; [312  69],[60.36184211 14.63815789] ; [306.63815789  74.36184211],0
n2,1,0.089553,2.882382,[17 14] ; [47 18],[20.66666667 10.33333333] ; [43.33333333 21.66666667],0
s4,1,0.093158,2.818931,[ 7 65] ; [ 67 311],[11.84 60.16] ; [ 62.16 315.84],0
