Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,37.898113,[128  31] ; [38 52],[106.  53.] ; [60. 30.],1
r3,1,0.0,34.064532,[150   8] ; [65 31],[133.74015748  24.25984252] ; [81.25984252 14.74015748],1
p10,1,0.0,32.093825,[118  42] ; [35 58],[96.75889328 63.24110672] ; [56.24110672 36.75889328],1
p11,1,0.0,30.423188,[123  37] ; [41 55],[102.5  57.5] ; [61.5 34.5],1
v4,1,2e-06,22.720524,[145  14] ; [65 31],[130.94117647  28.05882353] ; [79.05882353 16.94117647],1
r4,1,8e-06,19.961574,[130  30] ; [53 43],[114.375  45.625] ; [68.625 27.375],1
a1,1,2.8e-05,17.552896,[  1 159] ; [12 84],[  8.125 151.875] ; [ 4.875 91.125],1
p4,1,0.000119,14.809717,[66 94] ; [17 78],[ 52.07843137 107.92156863] ; [30.92156863 64.07843137],1
n6,1,0.001509,10.067091,[124  35] ; [57 39],[112.85882353  46.14117647] ; [68.14117647 27.85882353],0
v1,1,0.002585,9.079338,[73 84] ; [26 69],[61.67857143 95.32142857] ; [37.32142857 57.67857143],0
d5,1,0.003008,8.802807,[123  37] ; [57 39],[112.5  47.5] ; [67.5 28.5],0
s1,1,0.007074,7.253981,[  4 154] ; [10 85],[  8.743083 149.256917] ; [ 5.256917 89.743083],0
r1,1,0.008586,6.907005,[112  47] ; [52 44],[102.25882353  56.74117647] ; [61.74117647 34.25882353],0
r2,1,0.015889,5.81509,[146  14] ; [76 18],[139.84251969  20.15748031] ; [82.15748031 11.84251969],0
p3,1,0.017477,5.647784,[ 44 115] ; [14 81],[ 36.30708661 122.69291339] ; [21.69291339 73.30708661],0
p8,1,0.019105,5.491878,[ 41 117] ; [13 83],[ 33.59055118 124.40944882] ; [20.40944882 75.59055118],0
s6,1,0.020547,5.364844,[75 83] ; [31 64],[66.19762846 91.80237154] ; [39.80237154 55.19762846],0
n4,1,0.022449,5.210655,[114  46] ; [55 41],[105.625  54.375] ; [63.375 32.625],0
a7,1,0.032464,4.573815,[115  44] ; [57 39],[107.24705882  51.75294118] ; [64.75294118 31.24705882],0
b1,1,0.032897,4.551111,[ 52 108] ; [44 52],[ 60. 100.] ; [36. 60.],0
a6,1,0.043597,4.07211,[110  50] ; [54 42],[102.5  57.5] ; [61.5 34.5],0
s3,1,0.047641,3.922604,[61 98] ; [24 68],[ 53.84462151 105.15537849] ; [31.15537849 60.84462151],0
s2,1,0.049031,3.874278,[ 50 108] ; [19 75],[ 43.26190476 114.73809524] ; [25.73809524 68.26190476],0
b5,1,0.052184,3.76985,[103  57] ; [50 46],[95.625 64.375] ; [57.375 38.625],0
n2,1,0.072998,3.214286,[32 10] ; [28 20],[28. 14.] ; [32. 16.],0
d3,1,0.077891,3.108362,[106  54] ; [53 43],[99.375 60.625] ; [59.625 36.375],0
a5,1,0.08031,3.058607,[109  51] ; [55 41],[102.5  57.5] ; [61.5 34.5],0
d2,1,0.085079,2.96511,[ 55 103] ; [43 51],[61.44444444 96.55555556] ; [36.55555556 57.44444444],0
p1,1,0.087005,2.928936,[ 10 149] ; [12 84],[ 13.71764706 145.28235294] ; [ 8.28235294 87.71764706],0
p6,1,0.108585,2.574689,[ 18 141] ; [ 5 89],[ 14.45454545 144.54545455] ; [ 8.54545455 85.45454545],0
n5,1,0.109599,2.56,[106  54] ; [54 42],[100.  60.] ; [60. 36.],0
n3,1,0.113496,2.504859,[30 13] ; [24 21],[26.38636364 16.61363636] ; [27.61363636 17.38636364],0
v2,1,0.127316,2.324926,[71 85] ; [32 58],[65.31707317 90.68292683] ; [37.68292683 52.31707317],0
d4,1,0.128348,2.312367,[123  36] ; [66 30],[117.84705882  41.15294118] ; [71.15294118 24.84705882],0
