Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.066374,3.370483,[13  5] ; [15 18],[9.88235294 8.11764706] ; [18.11764706 14.88235294],0
a3,1,0.087952,2.911468,[13  4] ; [17 16],[10.2  6.8] ; [19.8 13.2],0
p10,1,0.094599,2.794312,[ 8 10] ; [ 7 25],[ 5.4 12.6] ; [ 9.6 22.4],0
b3,1,0.097298,2.749282,[3 9] ; [12 10],[5.29411765 6.70588235] ; [ 9.70588235 12.29411765],0
b2,1,0.097298,2.749282,[3 9] ; [12 10],[5.29411765 6.70588235] ; [ 9.70588235 12.29411765],0
d4,1,0.101905,2.675477,[13  5] ; [16 17],[10.23529412  7.76470588] ; [18.76470588 14.23529412],0
n3,1,0.115582,2.47619,[8 5] ; [4 9],[6. 7.] ; [6. 7.],0
n1,1,0.168201,1.898901,[8 6] ; [4 9],[6.22222222 7.77777778] ; [5.77777778 7.22222222],0
s6,1,0.176435,1.827396,[ 7 11] ; [ 7 26],[ 4.94117647 13.05882353] ; [ 9.05882353 23.94117647],0
n2,1,0.17964,1.800598,[9 5] ; [5 8],[7.25925926 6.74074074] ; [6.74074074 6.25925926],0
n6,1,0.186011,1.748931,[10  8] ; [12 21],[ 7.76470588 10.23529412] ; [14.23529412 18.76470588],0
s8,1,0.192814,1.695986,[ 4 14] ; [ 3 30],[ 2.47058824 15.52941176] ; [ 4.52941176 28.47058824],0
d1,1,0.213808,1.545455,[ 8 10] ; [ 9 24],[ 6. 12.] ; [11. 22.],0
d2,1,0.254451,1.298701,[ 6 12] ; [16 16],[ 7.92 10.08] ; [14.08 17.92],0
s3,1,0.303626,1.058201,[ 7 11] ; [ 8 24],[ 5.4 12.6] ; [ 9.6 22.4],0
u3,1,0.330157,0.948281,[2 3] ; [ 3 13],[1.19047619 3.80952381] ; [ 3.80952381 12.19047619],0
d3,1,0.344354,0.894156,[9 9] ; [12 21],[ 7.41176471 10.58823529] ; [13.58823529 19.41176471],0
b5,1,0.369271,0.806117,[10  8] ; [14 19],[8.47058824 9.52941176] ; [15.52941176 17.47058824],0
a5,1,0.387968,0.7453,[11  7] ; [16 17],[9.52941176 8.47058824] ; [17.47058824 15.52941176],0
d5,1,0.40061,0.706494,[12  6] ; [18 15],[10.58823529  7.41176471] ; [19.41176471 13.58823529],0
b1,1,0.406788,0.68817,[13  5] ; [20 13],[11.64705882  6.35294118] ; [21.35294118 11.64705882],0
p7,1,0.410113,0.678473,[ 2 15] ; [ 7 26],[ 3.06 13.94] ; [ 5.94 27.06],0
n5,1,0.486919,0.483327,[12  6] ; [25  8],[13.05882353  4.94117647] ; [23.94117647  9.05882353],0
a6,1,0.490457,0.475524,[ 8 10] ; [18 15],[9.17647059 8.82352941] ; [16.82352941 16.17647059],0
p4,1,0.50699,0.440275,[ 2 16] ; [ 6 27],[ 2.82352941 15.17647059] ; [ 5.17647059 27.82352941],0
s2,1,0.526742,0.400673,[ 4 14] ; [ 5 28],[ 3.17647059 14.82352941] ; [ 5.82352941 27.17647059],0
r2,1,0.551323,0.354952,[12  6] ; [18 13],[11.02040816  6.97959184] ; [18.97959184 12.02040816],0
s5,1,0.560006,0.339694,[ 4 14] ; [ 5 27],[ 3.24 14.76] ; [ 5.76 26.24],0
u2,1,0.626928,0.23625,[1 4] ; [ 5 11],[1.42857143 3.57142857] ; [ 4.57142857 11.42857143],0
v4,1,0.629303,0.233007,[10  8] ; [16 17],[9.17647059 8.82352941] ; [16.82352941 16.17647059],0
a4,1,0.630428,0.231481,[ 8 10] ; [12 20],[ 7.2 10.8] ; [12.8 19.2],0
p6,1,0.63276,0.228336,[ 1 17] ; [ 3 29],[ 1.44 16.56] ; [ 2.56 29.44],0
a8,1,0.642412,0.215602,[ 1 16] ; [ 1 31],[ 0.69387755 16.30612245] ; [ 1.30612245 30.69387755],0
p1,1,0.652136,0.203217,[ 3 15] ; [ 4 29],[ 2.47058824 15.52941176] ; [ 4.52941176 28.47058824],0
p3,1,0.65429,0.200535,[ 4 13] ; [ 6 27],[ 3.4 13.6] ; [ 6.6 26.4],0
v2,1,0.658827,0.194952,[ 2 16] ; [ 5 27],[ 2.52 15.48] ; [ 4.48 27.52],0
a7,1,0.691555,0.157407,[ 7 11] ; [11 22],[ 6.35294118 11.64705882] ; [11.64705882 21.35294118],0
s4,1,0.696006,0.152661,[ 3 15] ; [ 7 26],[ 3.52941176 14.47058824] ; [ 6.47058824 26.52941176],0
v3,1,0.728362,0.120621,[ 4 14] ; [ 6 27],[ 3.52941176 14.47058824] ; [ 6.47058824 26.52941176],0
s7,1,0.761081,0.092453,[ 3 13] ; [ 7 24],[ 3.40425532 12.59574468] ; [ 6.59574468 24.40425532],0
p2,1,0.777233,0.080047,[ 6 11] ; [13 20],[ 6.46 10.54] ; [12.54 20.46],0
v1,1,0.781894,0.076647,[ 5 13] ; [ 8 25],[ 4.58823529 13.41176471] ; [ 8.41176471 24.58823529],0
n4,1,0.823629,0.049675,[12  6] ; [23 10],[12.35294118  5.64705882] ; [22.64705882 10.35294118],0
p9,1,0.877641,0.023704,[ 7 11] ; [11 19],[ 6.75 11.25] ; [11.25 18.75],0
a1,1,0.892106,0.018398,[ 3 15] ; [ 6 27],[ 3.17647059 14.82352941] ; [ 5.82352941 27.17647059],0
a2,1,0.914793,0.011448,[ 2 16] ; [ 4 29],[ 2.11764706 15.88235294] ; [ 3.88235294 29.11764706],0
p11,1,0.933204,0.007025,[ 4 14] ; [ 7 26],[ 3.88235294 14.11764706] ; [ 7.11764706 25.88235294],0
