Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.1e-05,19.319269,[79  6] ; [286 123],[62.80364372 22.19635628] ; [302.19635628 106.80364372],1
s5,1,1.5e-05,18.720746,[49 33] ; [138 265],[31.61649485 50.38350515] ; [155.38350515 247.61649485],1
s2,1,0.000919,10.984038,[63 24] ; [219 194],[49.068 37.932] ; [232.932 180.068],1
s3,1,0.001418,10.181627,[66 22] ; [231 177],[52.69354839 35.30645161] ; [244.30645161 163.69354839],0
v2,1,0.002146,9.419847,[39 49] ; [249 152],[51.82822086 36.17177914] ; [236.17177914 164.82822086],0
a8,1,0.003392,8.583745,[ 3 81] ; [ 58 313],[11.26153846 72.73846154] ; [ 49.73846154 321.26153846],0
n4,1,0.004813,7.948237,[63 26] ; [347  68],[72.40079365 16.59920635] ; [337.59920635  77.40079365],0
b2,1,0.013199,6.14218,[12 39] ; [115 159],[19.92923077 31.07076923] ; [107.07076923 166.92923077],0
b3,1,0.013199,6.14218,[12 39] ; [115 159],[19.92923077 31.07076923] ; [107.07076923 166.92923077],0
v3,1,0.013798,6.06376,[26 60] ; [177 219],[36.21991701 49.78008299] ; [166.78008299 229.21991701],0
p6,1,0.0151,5.90477,[54 35] ; [191 220],[43.61 45.39] ; [201.39 209.61],0
b4,1,0.040345,4.203332,[62 27] ; [241 175],[53.4 35.6] ; [249.6 166.4],0
u2,1,0.066898,3.357538,[ 9 13] ; [70 43],[12.87407407  9.12592593] ; [66.12592593 46.87407407],0
p11,1,0.090973,2.857071,[67 22] ; [345  71],[72.60990099 16.39009901] ; [339.39009901  76.60990099],0
d3,1,0.104815,2.630709,[72 17] ; [302 114],[65.91287129 23.08712871] ; [308.08712871 107.91287129],0
v1,1,0.118222,2.44072,[46 42] ; [247 156],[52.51323829 35.48676171] ; [240.48676171 162.51323829],0
d1,1,0.151666,2.055418,[64 25] ; [266 150],[58.15841584 30.84158416] ; [271.84158416 144.15841584],0
s7,1,0.162438,1.951381,[55 31] ; [219 174],[49.19415449 36.80584551] ; [224.80584551 168.19415449],0
u4,1,0.258191,1.27843,[ 1 88] ; [ 14 402],[ 2.64356436 86.35643564] ; [ 12.35643564 403.64356436],0
s8,1,0.262757,1.254171,[50 39] ; [205 208],[45.20916335 43.79083665] ; [209.79083665 203.20916335],0
n1,1,0.264775,1.243617,[ 6 14] ; [32 41],[ 8.17204301 11.82795699] ; [29.82795699 43.17204301],0
v4,1,0.279394,1.170033,[85  4] ; [404  10],[86.52286282  2.47713718] ; [402.47713718  11.52286282],0
s1,1,0.324863,0.969268,[ 5 84] ; [ 14 396],[ 3.38877756 85.61122244] ; [ 15.61122244 394.38877756],0
u1,1,0.341206,0.905894,[22 67] ; [ 84 332],[18.68118812 70.31881188] ; [ 87.31881188 328.68118812],0
p7,1,0.341983,0.902984,[68 20] ; [298 114],[64.416 23.584] ; [301.584 110.416],0
d5,1,0.399067,0.711137,[78 11] ; [349  66],[75.40277778 13.59722222] ; [351.59722222  63.40277778],0
b5,1,0.402677,0.700317,[55 34] ; [237 179],[51.46138614 37.53861386] ; [240.53861386 175.46138614],0
d2,1,0.412728,0.67093,[51 38] ; [218 197],[47.50198413 41.49801587] ; [221.49801587 193.50198413],0
r3,1,0.421958,0.644855,[84  4] ; [403  12],[85.20079523  2.79920477] ; [401.79920477  13.20079523],0
p1,1,0.441865,0.591436,[12 77] ; [ 44 369],[ 9.92828685 79.07171315] ; [ 46.07171315 366.92828685],0
a1,1,0.449075,0.572985,[ 3 86] ; [ 22 394],[ 4.40594059 84.59405941] ; [ 20.59405941 395.40594059],0
n6,1,0.464452,0.535144,[79  9] ; [359  54],[76.93413174 11.06586826] ; [361.06586826  51.93413174],0
p9,1,0.47064,0.520474,[76 13] ; [365  49],[78.02982107 10.97017893] ; [362.97017893  51.02982107],0
p3,1,0.486957,0.483243,[63 26] ; [278 137],[60.21626984 28.78373016] ; [280.78373016 134.21626984],0
p2,1,0.494616,0.466469,[78 11] ; [372  41],[79.78087649  9.21912351] ; [370.21912351  42.78087649],0
