Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2e-05,18.142602,[ 6 78] ; [17 29],[14.86153846 69.13846154] ; [ 8.13846154 37.86153846],1
p3,1,0.000439,12.359458,[17 67] ; [23 23],[25.84615385 58.15384615] ; [14.15384615 31.84615385],1
s2,1,0.001117,10.62209,[ 6 78] ; [13 33],[12.27692308 71.72307692] ; [ 6.72307692 39.27692308],0
s7,1,0.0023,9.292983,[10 70] ; [16 29],[16.64 63.36] ; [ 9.36 35.64],0
p4,1,0.005866,7.590903,[25 59] ; [25 21],[32.30769231 51.69230769] ; [17.69230769 28.30769231],0
s8,1,0.011312,6.415592,[ 8 77] ; [12 34],[12.97709924 72.02290076] ; [ 7.02290076 38.97709924],0
a5,1,0.018485,5.549561,[39 46] ; [31 15],[45.41984733 39.58015267] ; [24.58015267 21.41984733],0
v1,1,0.035954,4.399288,[25 60] ; [22 24],[30.49618321 54.50381679] ; [16.50381679 29.49618321],0
s4,1,0.070453,3.272426,[10 75] ; [11 35],[13.6259542 71.3740458] ; [ 7.3740458 38.6259542],0
a1,1,0.089638,2.880868,[ 1 84] ; [ 3 43],[ 2.59541985 82.40458015] ; [ 1.40458015 44.59541985],0
p7,1,0.104624,2.633608,[35 49] ; [26 20],[39.41538462 44.58461538] ; [21.58461538 24.41538462],0
a6,1,0.138221,2.197655,[44 41] ; [30 16],[48.01526718 36.98473282] ; [25.98473282 20.01526718],0
n6,1,0.142844,2.14705,[52 33] ; [34 12],[55.80152672 29.19847328] ; [30.19847328 15.80152672],0
p8,1,0.147401,2.098939,[31 53] ; [23 23],[34.89230769 49.10769231] ; [19.10769231 26.89230769],0
r3,1,0.182068,1.780663,[68 17] ; [41  5],[70.72519084 14.27480916] ; [38.27480916  7.72519084],0
r4,1,0.223734,1.480257,[58 27] ; [36 10],[60.99236641 24.00763359] ; [33.00763359 12.99236641],0
v2,1,0.22875,1.448616,[32 50] ; [23 23],[35.234375 46.765625] ; [19.765625 26.234375],0
b2,1,0.23024,1.439378,[13 32] ; [ 3 17],[11.07692308 33.92307692] ; [ 4.92307692 15.07692308],0
b3,1,0.23024,1.439378,[13 32] ; [ 3 17],[11.07692308 33.92307692] ; [ 4.92307692 15.07692308],0
p12,1,0.251614,1.314319,[ 1 83] ; [ 2 44],[ 1.93846154 82.06153846] ; [ 1.06153846 44.93846154],0
n2,1,0.301204,1.068855,[19 14] ; [13  5],[20.70588235 12.29411765] ; [11.29411765  6.70588235],0
p10,1,0.348997,0.8771,[49 34] ; [31 15],[51.47286822 31.52713178] ; [28.52713178 17.47286822],0
d3,1,0.356429,0.850435,[51 32] ; [32 14],[53.40310078 29.59689922] ; [29.59689922 16.40310078],0
r1,1,0.357371,0.847109,[55 30] ; [26 20],[52.55725191 32.44274809] ; [28.44274809 17.55725191],0
p5,1,0.372165,0.796423,[ 4 80] ; [ 4 42],[ 5.16923077 78.83076923] ; [ 2.83076923 43.16923077],0
r2,1,0.407401,0.686373,[67 18] ; [39  7],[68.77862595 16.22137405] ; [37.22137405  8.77862595],0
v3,1,0.407924,0.684844,[16 65] ; [12 34],[17.85826772 63.14173228] ; [10.14173228 35.85826772],0
d1,1,0.448506,0.574424,[33 52] ; [21 25],[35.03816794 49.96183206] ; [18.96183206 27.03816794],0
s1,1,0.47032,0.521224,[ 4 81] ; [ 1 45],[ 3.24427481 81.75572519] ; [ 1.75572519 44.24427481],0
p9,1,0.493513,0.468858,[54 28] ; [33 13],[55.734375 26.265625] ; [31.265625 14.734375],0
p6,1,0.493857,0.468111,[16 67] ; [11 34],[17.5078125 65.4921875] ; [ 9.4921875 35.5078125],0
b5,1,0.497395,0.46049,[55 30] ; [27 19],[53.20610687 31.79389313] ; [28.79389313 17.20610687],0
b1,1,0.621118,0.244299,[35 50] ; [21 25],[36.33587786 48.66412214] ; [19.66412214 26.33587786],0
d5,1,0.646552,0.210274,[57 27] ; [33 13],[58.15384615 25.84615385] ; [31.84615385 14.15384615],0
a2,1,0.67357,0.177455,[ 9 76] ; [ 6 40],[ 9.73282443 75.26717557] ; [ 5.26717557 40.73282443],0
u3,1,0.681028,0.168971,[19 16] ; [12  8],[19.72727273 15.27272727] ; [11.27272727  8.72727273],0
b4,1,0.732246,0.117059,[47 38] ; [24 22],[46.06870229 38.93129771] ; [24.93129771 21.06870229],0
a4,1,0.745027,0.105757,[20 65] ; [12 34],[20.76335878 64.23664122] ; [11.23664122 34.76335878],0
d2,1,0.791166,0.070117,[24 61] ; [14 32],[24.65648855 60.34351145] ; [13.34351145 32.65648855],0
a3,1,0.798877,0.064924,[50 35] ; [26 20],[49.3129771 35.6870229] ; [26.6870229 19.3129771],0
p1,1,0.815482,0.054457,[ 3 82] ; [ 2 44],[ 3.24427481 81.75572519] ; [ 1.75572519 44.24427481],0
n5,1,0.823097,0.049981,[30 55] ; [15 30],[29.42307692 55.57692308] ; [15.57692308 29.42307692],0
v4,1,0.877939,0.023587,[75 10] ; [41  5],[75.26717557  9.73282443] ; [40.73282443  5.26717557],0
u1,1,0.907651,0.013456,[ 6 79] ; [ 3 43],[ 5.83969466 79.16030534] ; [ 3.16030534 42.83969466],0
n1,1,0.915235,0.011329,[ 8 26] ; [ 4 14],[ 7.84615385 26.15384615] ; [ 4.15384615 13.84615385],0
p11,1,0.95606,0.003036,[54 31] ; [29 17],[53.85496183 31.14503817] ; [29.14503817 16.85496183],0
a7,1,0.95669,0.002949,[57 27] ; [31 15],[56.86153846 27.13846154] ; [31.13846154 14.86153846],0
p2,1,0.95669,0.002949,[57 27] ; [31 15],[56.86153846 27.13846154] ; [31.13846154 14.86153846],0
u2,1,0.959185,0.002619,[19 16] ; [11  9],[19.09090909 15.90909091] ; [10.90909091  9.09090909],0
n3,1,0.981991,0.00051,[19 15] ; [10  8],[18.96153846 15.03846154] ; [10.03846154  7.96153846],0
d4,1,0.997524,1e-05,[61 24] ; [33 13],[60.99236641 24.00763359] ; [33.00763359 12.99236641],0
