Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,29.440274,[51 11] ; [ 6 21],[39.70786517 22.29213483] ; [17.29213483  9.70786517],1
s6,1,0.000708,11.468784,[55  6] ; [16 11],[49.21590909 11.78409091] ; [21.78409091  5.21590909],1
a6,1,0.000849,11.130466,[46 16] ; [10 17],[39.01123596 22.98876404] ; [16.98876404 10.01123596],1
s7,1,0.001232,10.441702,[41 19] ; [ 8 18],[34.18604651 25.81395349] ; [14.81395349 11.18604651],0
p2,1,0.002236,9.345054,[53  9] ; [15 12],[47.37078652 14.62921348] ; [20.62921348  6.37078652],0
p4,1,0.006,7.550227,[38 24] ; [ 8 19],[32.04494382 29.95505618] ; [13.95505618 13.04494382],0
s8,1,0.008004,7.032549,[30 32] ; [ 5 22],[24.38202247 37.61797753] ; [10.61797753 16.38202247],0
u3,1,0.016776,5.719607,[18  5] ; [4 7],[14.88235294  8.11764706] ; [7.11764706 3.88235294],0
r1,1,0.016869,5.709976,[46 16] ; [13 14],[41.1011236 20.8988764] ; [17.8988764  9.1011236],0
r3,1,0.025417,4.995281,[56  5] ; [20  7],[52.68181818  8.31818182] ; [23.31818182  3.68181818],0
p3,1,0.03479,4.455443,[31 31] ; [ 7 20],[26.47191011 35.52808989] ; [11.52808989 15.47191011],0
p11,1,0.039172,4.253402,[44 18] ; [13 14],[39.70786517 22.29213483] ; [17.29213483  9.70786517],0
r2,1,0.075603,3.156974,[57  4] ; [21  5],[54.68965517  6.31034483] ; [23.31034483  2.68965517],0
n2,1,0.091335,2.850679,[14  3] ; [7 6],[11.9  5.1] ; [9.1 3.9],0
n4,1,0.105566,2.619375,[39 23] ; [12 15],[35.52808989 26.47191011] ; [15.47191011 11.52808989],0
p9,1,0.114216,2.494889,[50 11] ; [18  9],[47.13636364 13.86363636] ; [20.86363636  6.13636364],0
a7,1,0.122119,2.389938,[44 18] ; [14 12],[40.86363636 21.13636364] ; [17.13636364  8.86363636],0
d1,1,0.132319,2.265079,[36 26] ; [11 16],[32.74157303 29.25842697] ; [14.25842697 12.74157303],0
r4,1,0.153348,2.038628,[50 12] ; [18  9],[47.37078652 14.62921348] ; [20.62921348  6.37078652],0
a2,1,0.154691,2.025374,[12 50] ; [ 2 25],[ 9.75280899 52.24719101] ; [ 4.24719101 22.75280899],0
n3,1,0.197213,1.662896,[15  2] ; [9 4],[13.6  3.4] ; [10.4  2.6],0
n1,1,0.201421,1.632044,[ 3 14] ; [5 8],[ 4.53333333 12.46666667] ; [3.46666667 9.53333333],0
p8,1,0.214646,1.53981,[29 32] ; [ 9 18],[26.34090909 34.65909091] ; [11.65909091 15.34090909],0
d5,1,0.235168,1.409331,[46 16] ; [16 10],[43.68181818 18.31818182] ; [18.31818182  7.68181818],0
p7,1,0.238024,1.392261,[37 23] ; [13 14],[34.48275862 25.51724138] ; [15.51724138 11.48275862],0
b4,1,0.260842,1.264284,[40 22] ; [14 13],[37.61797753 24.38202247] ; [16.38202247 10.61797753],0
v4,1,0.277964,1.17702,[59  3] ; [24  3],[57.82022472  4.17977528] ; [25.17977528  1.82022472],0
u1,1,0.348891,0.877488,[ 9 53] ; [ 2 25],[ 7.66292135 54.33707865] ; [ 3.33707865 23.66292135],0
d4,1,0.376291,0.782785,[49 13] ; [19  8],[47.37078652 14.62921348] ; [20.62921348  6.37078652],0
s5,1,0.380094,0.770396,[26 29] ; [10 17],[24.14634146 30.85365854] ; [11.85365854 15.14634146],0
u2,1,0.397063,0.717204,[14  9] ; [5 6],[12.85294118 10.14705882] ; [6.14705882 4.85294118],0
v3,1,0.398533,0.712748,[13 48] ; [ 8 19],[14.55681818 46.44318182] ; [ 6.44318182 20.55681818],0
a5,1,0.42382,0.639699,[40 22] ; [15 12],[38.31460674 23.68539326] ; [16.68539326 10.31460674],0
s1,1,0.450689,0.56892,[ 5 57] ; [ 1 26],[ 4.17977528 57.82022472] ; [ 1.82022472 25.17977528],0
p6,1,0.532724,0.389193,[25 37] ; [ 9 18],[23.68539326 38.31460674] ; [10.31460674 16.68539326],0
n6,1,0.555419,0.347698,[47 15] ; [22  5],[48.06741573 13.93258427] ; [20.93258427  6.06741573],0
n5,1,0.612326,0.256802,[38 24] ; [15 12],[36.92134831 25.07865169] ; [16.07865169 10.92134831],0
p12,1,0.628532,0.234057,[ 3 59] ; [ 2 25],[ 3.48314607 58.51685393] ; [ 1.51685393 25.48314607],0
p10,1,0.708684,0.139595,[46 16] ; [19  8],[45.28089888 16.71910112] ; [19.71910112  7.28089888],0
p1,1,0.730694,0.118475,[ 6 56] ; [ 2 25],[ 5.57303371 56.42696629] ; [ 2.42696629 24.57303371],0
a4,1,0.733758,0.115689,[23 39] ; [ 9 18],[22.29213483 39.70786517] ; [ 9.70786517 17.29213483],0
a3,1,0.744987,0.105792,[39 23] ; [16 11],[38.31460674 23.68539326] ; [16.68539326 10.31460674],0
d2,1,0.839364,0.04109,[29 33] ; [12 15],[28.56179775 33.43820225] ; [12.43820225 14.56179775],0
d3,1,0.841348,0.040068,[44 18] ; [19  7],[44.38636364 17.61363636] ; [18.61363636  7.38636364],0
b1,1,0.888367,0.019704,[22 40] ; [10 17],[22.29213483 39.70786517] ; [ 9.70786517 17.29213483],0
p5,1,0.908571,0.013188,[ 2 60] ; [ 1 26],[ 2.08988764 59.91011236] ; [ 0.91011236 26.08988764],0
