Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,3e-06,21.672523,[52 79] ; [ 27 143],[34.3820598 96.6179402] ; [ 44.6179402 125.3820598],1
v1,1,1.2e-05,19.240328,[69 62] ; [ 48 124],[50.58415842 80.41584158] ; [ 66.41584158 105.58415842],1
r3,1,2.8e-05,17.535923,[126   6] ; [136  37],[113.39016393  18.60983607] ; [148.60983607  24.39016393],1
p10,1,0.000585,11.822067,[95 39] ; [88 83],[80.4 53.6] ; [102.6  68.4],1
r1,1,0.000625,11.699565,[102  31] ; [101  73],[87.94462541 45.05537459] ; [115.05537459  58.94462541],1
s6,1,0.00145,10.140997,[74 60] ; [ 64 109],[60.23452769 73.76547231] ; [77.76547231 95.23452769],0
d5,1,0.001665,9.88599,[109  25] ; [112  60],[96.77777778 37.22222222] ; [124.22222222  47.77777778],0
d1,1,0.002301,9.292141,[75 59] ; [ 67 107],[61.77922078 72.22077922] ; [80.22077922 93.77922078],0
a7,1,0.002491,9.147528,[99 34] ; [100  73],[86.49346405 46.50653595] ; [112.50653595  60.49346405],0
p9,1,0.004495,8.07223,[99 33] ; [101  69],[87.41721854 44.58278146] ; [112.58278146  57.41721854],0
n6,1,0.0057,7.642824,[106  27] ; [113  60],[95.18627451 37.81372549] ; [123.81372549  49.18627451],0
b1,1,0.008603,6.903534,[44 90] ; [83 91],[55.25324675 78.74675325] ; [ 71.74675325 102.25324675],0
p11,1,0.010377,6.569051,[96 38] ; [100  74],[85.27272727 48.72727273] ; [110.72727273  63.27272727],0
d3,1,0.010982,6.468206,[95 39] ; [97 74],[84.35409836 49.64590164] ; [107.64590164  63.35409836],0
d4,1,0.015506,5.858096,[111  22] ; [124  49],[102.14052288  30.85947712] ; [132.85947712  40.14052288],0
p7,1,0.043026,4.094398,[57 76] ; [ 53 115],[48.60465116 84.39534884] ; [ 61.39534884 106.60465116],0
v4,1,0.050782,3.815443,[117  15] ; [139  34],[110.79344262  21.20655738] ; [145.20655738  27.79344262],0
a5,1,0.057658,3.603501,[89 45] ; [97 77],[80.92207792 53.07792208] ; [105.07792208  68.92207792],0
r4,1,0.058737,3.572692,[106  28] ; [121  53],[98.75974026 35.24025974] ; [128.24025974  45.75974026],0
p4,1,0.06317,3.452128,[55 79] ; [ 53 119],[47.29411765 86.70588235] ; [ 60.70588235 111.29411765],0
p2,1,0.070137,3.279802,[98 36] ; [109  63],[90.64705882 43.35294118] ; [116.35294118  55.64705882],0
p3,1,0.085401,2.959001,[45 88] ; [ 43 130],[38.24836601 94.75163399] ; [ 49.75163399 123.24836601],0
r2,1,0.092296,2.833869,[119  12] ; [145  27],[114.13861386  16.86138614] ; [149.86138614  22.13861386],0
s1,1,0.126675,2.332785,[  4 128] ; [ 12 160],[  6.94736842 125.05263158] ; [  9.05263158 162.94736842],0
n3,1,0.186141,1.747899,[30 10] ; [40 24],[26.92307692 13.07692308] ; [43.07692308 20.92307692],0
a6,1,0.228936,1.447457,[91 43] ; [106  67],[85.98697068 48.01302932] ; [111.01302932  61.98697068],0
s7,1,0.230955,1.434972,[34 94] ; [ 34 131],[29.70648464 98.29351536] ; [ 38.29351536 126.70648464],0
p6,1,0.238225,1.391067,[ 25 106] ; [ 24 147],[ 21.25496689 109.74503311] ; [ 27.74503311 143.25496689],0
u1,1,0.315315,1.008281,[ 18 116] ; [ 17 157],[ 15.22727273 118.77272727] ; [ 19.77272727 154.22727273],0
n1,1,0.338915,0.914532,[10 30] ; [22 43],[12.19047619 27.80952381] ; [19.80952381 45.19047619],0
a8,1,0.345017,0.891701,[ 10 113] ; [ 19 146],[ 12.38541667 110.61458333] ; [ 16.61458333 148.38541667],0
a3,1,0.351457,0.868191,[91 43] ; [108  64],[87.14379085 46.85620915] ; [111.85620915  60.14379085],0
a2,1,0.356676,0.849563,[ 27 107] ; [ 28 146],[ 23.92857143 110.07142857] ; [ 31.07142857 142.92857143],0
s2,1,0.39998,0.708386,[46 87] ; [ 52 121],[42.59477124 90.40522876] ; [ 55.40522876 117.59477124],0
s5,1,0.428151,0.627834,[ 31 100] ; [ 34 137],[ 28.19536424 102.80463576] ; [ 36.80463576 134.19536424],0
n4,1,0.43007,0.622634,[92 42] ; [112  62],[88.75324675 45.24675325] ; [115.24675325  58.75324675],0
p1,1,0.474863,0.510638,[  6 128] ; [ 11 162],[  7.42019544 126.57980456] ; [  9.57980456 163.42019544],0
u2,1,0.501993,0.450721,[17 23] ; [32 33],[18.66666667 21.33333333] ; [30.33333333 34.66666667],0
s4,1,0.540317,0.374952,[ 19 114] ; [ 29 143],[ 20.93114754 112.06885246] ; [ 27.06885246 144.93114754],0
a1,1,0.545242,0.36591,[  7 127] ; [ 12 162],[  8.26623377 125.73376623] ; [ 10.73376623 163.26623377],0
u3,1,0.664826,0.187714,[20 23] ; [33 32],[21.10185185 21.89814815] ; [31.89814815 33.10185185],0
p12,1,0.713574,0.134733,[  4 130] ; [  4 169],[  3.49185668 130.50814332] ; [  4.50814332 168.49185668],0
b5,1,0.737273,0.112538,[76 58] ; [102  72],[77.44155844 56.55844156] ; [100.55844156  73.44155844],0
b4,1,0.749436,0.102005,[80 54] ; [107  67],[81.35714286 52.64285714] ; [105.64285714  68.35714286],0
n2,1,0.753466,0.098641,[26 13] ; [42 24],[25.25714286 13.74285714] ; [42.74285714 23.25714286],0
d2,1,0.760755,0.092714,[54 78] ; [ 67 104],[52.71287129 79.28712871] ; [ 68.28712871 102.71287129],0
p5,1,0.809015,0.058417,[  7 127] ; [  8 165],[  6.54723127 127.45276873] ; [  8.45276873 164.54723127],0
s3,1,0.821215,0.051068,[54 78] ; [ 73 100],[54.96393443 77.03606557] ; [ 72.03606557 100.96393443],0
u4,1,0.852572,0.034535,[  1 133] ; [  1 173],[  0.87012987 133.12987013] ; [  1.12987013 172.87012987],0
b2,1,0.858049,0.03199,[26 45] ; [36 66],[25.44508671 45.55491329] ; [36.55491329 65.44508671],0
b3,1,0.858049,0.03199,[26 45] ; [36 66],[25.44508671 45.55491329] ; [36.55491329 65.44508671],0
a4,1,0.869622,0.026942,[55 79] ; [ 69 103],[54.30065359 79.69934641] ; [ 69.69934641 102.30065359],0
n5,1,0.966574,0.001756,[85 47] ; [111  62],[84.82622951 47.17377049] ; [111.17377049  61.82622951],0
