Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.8e-05,18.411315,[52 12] ; [ 9 17],[43.37777778 20.62222222] ; [17.62222222  8.37777778],1
s7,1,8.7e-05,15.394738,[39 22] ; [ 4 20],[30.85882353 30.14117647] ; [12.14117647 11.85882353],1
p10,1,0.001936,9.609658,[55  8] ; [15 11],[49.5505618 13.4494382] ; [20.4494382  5.5505618],0
p6,1,0.013445,6.109576,[33 31] ; [ 6 20],[27.73333333 36.26666667] ; [11.26666667 14.73333333],0
v2,1,0.018779,5.521987,[32 30] ; [ 6 19],[27.08045977 34.91954023] ; [10.91954023 14.08045977],0
d2,1,0.02063,5.357818,[23 41] ; [ 3 23],[18.48888889 45.51111111] ; [ 7.51111111 18.48888889],0
n6,1,0.022129,5.235577,[57  7] ; [18  8],[53.33333333 10.66666667] ; [21.66666667  4.33333333],0
p8,1,0.0276,4.85285,[46 16] ; [13 13],[41.56818182 20.43181818] ; [17.43181818  8.56818182],0
v1,1,0.0395,4.23925,[35 29] ; [ 8 18],[30.57777778 33.42222222] ; [12.42222222 13.57777778],0
p9,1,0.039911,4.221674,[56  8] ; [18  8],[52.62222222 11.37777778] ; [21.37777778  4.62222222],0
p11,1,0.048586,3.889603,[52 12] ; [16 10],[48.35555556 15.64444444] ; [19.64444444  6.35555556],0
b3,1,0.05559,3.664286,[17 25] ; [ 2 13],[14. 28.] ; [ 5. 10.],0
b2,1,0.05559,3.664286,[17 25] ; [ 2 13],[14. 28.] ; [ 5. 10.],0
r2,1,0.088685,2.898078,[57  6] ; [20  6],[54.50561798  8.49438202] ; [22.49438202  3.50561798],0
p2,1,0.096092,2.769231,[56  8] ; [19  7],[53.33333333 10.66666667] ; [21.66666667  4.33333333],0
s8,1,0.096092,2.769231,[32 32] ; [ 8 18],[28.44444444 35.55555556] ; [11.55555556 14.44444444],0
b5,1,0.114957,2.484717,[38 26] ; [20  6],[41.24444444 22.75555556] ; [16.75555556  9.24444444],0
p5,1,0.179344,1.803049,[15 47] ; [ 3 23],[12.68181818 49.31818182] ; [ 5.31818182 20.68181818],0
s6,1,0.19996,1.642667,[42 21] ; [13 12],[39.375 23.625] ; [15.625  9.375],0
s4,1,0.245476,1.348867,[11 53] ; [ 2 24],[ 9.24444444 54.75555556] ; [ 3.75555556 22.24444444],0
r1,1,0.249675,1.32512,[45 19] ; [15 11],[42.66666667 21.33333333] ; [17.33333333  8.66666667],0
d1,1,0.283964,1.14802,[ 7 57] ; [ 1 25],[ 5.68888889 58.31111111] ; [ 2.31111111 23.68888889],0
v4,1,0.289227,1.123216,[58  5] ; [22  4],[56.62921348  6.37078652] ; [23.37078652  2.62921348],0
a4,1,0.290785,1.115983,[19 44] ; [ 5 21],[16.98876404 46.01123596] ; [ 7.01123596 18.98876404],0
r4,1,0.298311,1.081731,[55  9] ; [20  6],[53.33333333 10.66666667] ; [21.66666667  4.33333333],0
p1,1,0.323749,0.97374,[13 51] ; [ 3 23],[11.37777778 52.62222222] ; [ 4.62222222 21.37777778],0
a1,1,0.340606,0.908151,[ 2 62] ; [ 2 24],[ 2.84444444 61.15555556] ; [ 1.15555556 24.84444444],0
p7,1,0.38059,0.768794,[46 18] ; [21  5],[47.64444444 16.35555556] ; [19.35555556  6.64444444],0
a2,1,0.403009,0.699328,[ 9 55] ; [ 2 24],[ 7.82222222 56.17777778] ; [ 3.17777778 22.82222222],0
r3,1,0.410939,0.676082,[58  6] ; [22  4],[56.88888889  7.11111111] ; [23.11111111  2.88888889],0
b4,1,0.447521,0.576923,[40 24] ; [14 12],[38.4 25.6] ; [15.6 10.4],0
d3,1,0.462584,0.539634,[29 35] ; [14 12],[30.57777778 33.42222222] ; [12.42222222 13.57777778],0
s1,1,0.484028,0.489775,[ 5 58] ; [ 1 25],[ 4.24719101 58.75280899] ; [ 1.75280899 24.24719101],0
a8,1,0.485607,0.486246,[ 6 51] ; [ 4 21],[ 6.95121951 50.04878049] ; [ 3.04878049 21.95121951],0
v3,1,0.628085,0.234667,[21 42] ; [ 7 18],[20.04545455 42.95454545] ; [ 7.95454545 17.04545455],0
s2,1,0.663674,0.189091,[34 30] ; [12 13],[33.07865169 30.92134831] ; [12.92134831 12.07865169],0
a6,1,0.671528,0.17982,[40 24] ; [15 11],[39.11111111 24.88888889] ; [15.88888889 10.11111111],0
n2,1,0.681777,0.168132,[8 5] ; [2 2],[7.64705882 5.35294118] ; [2.35294118 1.64705882],0
s5,1,0.708452,0.139828,[18 44] ; [ 6 18],[17.30232558 44.69767442] ; [ 6.69767442 17.30232558],0
a7,1,0.713557,0.13475,[42 22] ; [16 10],[41.24444444 22.75555556] ; [16.75555556  9.24444444],0
d4,1,0.740765,0.109456,[32 32] ; [12 14],[31.28888889 32.71111111] ; [12.71111111 13.28888889],0
p12,1,0.749523,0.101932,[ 9 55] ; [ 3 23],[ 8.53333333 55.46666667] ; [ 3.46666667 22.53333333],0
p3,1,0.775772,0.08113,[39 25] ; [15 11],[38.4 25.6] ; [15.6 10.4],0
a5,1,0.775772,0.08113,[39 25] ; [15 11],[38.4 25.6] ; [15.6 10.4],0
b1,1,0.794852,0.067608,[29 35] ; [11 15],[28.44444444 35.55555556] ; [11.55555556 14.44444444],0
u3,1,0.79829,0.065311,[14 14] ; [5 6],[13.64102564 14.35897436] ; [5.35897436 5.64102564],0
a3,1,0.835219,0.043269,[36 28] ; [14 12],[35.55555556 28.44444444] ; [14.44444444 11.55555556],0
u2,1,0.882973,0.021668,[16 12] ; [6 5],[15.79487179 12.20512821] ; [6.20512821 4.79487179],0
s3,1,0.935143,0.006622,[39 25] ; [15 10],[38.83146067 25.16853933] ; [15.16853933  9.83146067],0
