Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.220225,[23 26] ; [87 17],[35.22875817 13.77124183] ; [74.77124183 29.22875817],1
n6,1,0.000319,12.956799,[32 17] ; [93 11],[40.03267974  8.96732026] ; [84.96732026 19.03267974],1
a3,1,0.001024,10.783205,[21 28] ; [74 31],[30.22727273 18.77272727] ; [64.77272727 40.22727273],0
v3,1,0.002608,9.063237,[ 6 41] ; [38 65],[13.78666667 33.21333333] ; [30.21333333 72.78666667],0
v2,1,0.010381,6.568348,[14 34] ; [52 49],[21.26174497 26.73825503] ; [44.73825503 56.26174497],0
p9,1,0.014423,5.985583,[37 12] ; [94 10],[41.95424837  7.04575163] ; [89.04575163 14.95424837],0
a4,1,0.01913,5.489623,[ 9 40] ; [39 66],[15.27272727 33.72727273] ; [32.72727273 72.27272727],0
a5,1,0.026615,4.915641,[21 28] ; [65 40],[27.36363636 21.63636364] ; [58.63636364 46.36363636],0
p4,1,0.028916,4.772625,[19 30] ; [60 44],[25.30065359 23.69934641] ; [53.69934641 50.30065359],0
p3,1,0.03178,4.610309,[15 34] ; [51 53],[21.1372549 27.8627451] ; [44.8627451 59.1372549],0
s4,1,0.034683,4.46069,[14 35] ; [15 90],[ 9.22727273 39.77272727] ; [19.77272727 85.22727273],0
n3,1,0.036112,4.391804,[14  9] ; [25  4],[17.25  5.75] ; [21.75  7.25],0
v1,1,0.038504,4.282616,[15 34] ; [48 51],[20.85810811 28.14189189] ; [42.14189189 56.85810811],0
d4,1,0.052456,3.761163,[31 18] ; [82 23],[35.95454545 13.04545455] ; [77.04545455 27.95454545],0
a8,1,0.098869,2.723688,[ 2 45] ; [13 86],[ 4.82876712 42.17123288] ; [10.17123288 88.82876712],0
r4,1,0.104591,2.6341,[26 23] ; [70 35],[30.54545455 18.45454545] ; [65.45454545 39.54545455],0
d5,1,0.157771,1.995465,[32 17] ; [80 25],[35.63636364 13.36363636] ; [76.36363636 28.63636364],0
s3,1,0.158832,1.985307,[19 30] ; [53 51],[23.05882353 25.94117647] ; [48.94117647 55.05882353],0
d1,1,0.161989,1.955556,[17 32] ; [49 56],[21. 28.] ; [45. 60.],0
p12,1,0.162107,1.954463,[ 1 48] ; [ 8 95],[ 2.90131579 46.09868421] ; [ 6.09868421 96.90131579],0
s7,1,0.16914,1.890552,[16 33] ; [44 55],[19.86486486 29.13513514] ; [40.13513514 58.86486486],0
p10,1,0.172057,1.864926,[36 12] ; [86 16],[39.04  8.96] ; [82.96 19.04],0
s8,1,0.206324,1.597037,[14 35] ; [41 64],[17.5 31.5] ; [37.5 67.5],0
p2,1,0.226553,1.46237,[35 13] ; [84 19],[37.82781457 10.17218543] ; [81.17218543 21.82781457],0
r3,1,0.28816,1.128198,[42  7] ; [95  9],[43.87581699  5.12418301] ; [93.12418301 10.87581699],0
p1,1,0.317549,0.999014,[ 3 45] ; [12 93],[ 4.70588235 43.29411765] ; [10.29411765 94.70588235],0
p5,1,0.36305,0.827316,[ 4 44] ; [14 90],[ 5.68421053 42.31578947] ; [12.31578947 91.68421053],0
v4,1,0.384625,0.755866,[40  8] ; [92 12],[41.68421053  6.31578947] ; [90.31578947 13.68421053],0
a1,1,0.406669,0.688519,[ 2 47] ; [ 8 97],[ 3.18181818 45.81818182] ; [ 6.81818182 98.18181818],0
n1,1,0.424718,0.637224,[ 7 15] ; [12 16],[ 8.36 13.64] ; [10.64 17.36],0
p7,1,0.474951,0.510434,[23 23] ; [58 45],[25.00671141 20.99328859] ; [55.99328859 47.00671141],0
s6,1,0.484274,0.489224,[26 22] ; [62 41],[27.97350993 20.02649007] ; [60.02649007 42.97350993],0
d2,1,0.486495,0.484268,[16 33] ; [40 64],[17.93464052 31.06535948] ; [38.06535948 65.93464052],0
p6,1,0.523553,0.406888,[16 33] ; [38 62],[17.75838926 31.24161074] ; [36.24161074 63.75838926],0
p8,1,0.530241,0.39393,[25 23] ; [48 55],[23.20529801 24.79470199] ; [49.79470199 53.20529801],0
u4,1,0.578435,0.308772,[ 1 48] ; [  1 104],[ 0.63636364 48.36363636] ; [  1.36363636 103.63636364],0
d3,1,0.580838,0.304881,[28 21] ; [55 50],[26.40909091 22.59090909] ; [56.59090909 48.40909091],0
u3,1,0.621295,0.244052,[13 15] ; [12 18],[12.06896552 15.93103448] ; [12.93103448 17.06896552],0
a6,1,0.644257,0.213218,[27 22] ; [62 43],[28.31818182 20.68181818] ; [60.68181818 44.31818182],0
n2,1,0.64638,0.210495,[17  6] ; [23  6],[17.69230769  5.30769231] ; [22.30769231  6.69230769],0
u2,1,0.71014,0.138137,[14 14] ; [17 14],[14.71186441 13.28813559] ; [16.28813559 14.71186441],0
r2,1,0.729356,0.119704,[38 11] ; [80 20],[38.80536913 10.19463087] ; [79.19463087 20.80536913],0
b4,1,0.756976,0.095762,[30 19] ; [67 38],[30.86363636 18.13636364] ; [66.13636364 38.86363636],0
a2,1,0.78443,0.07483,[ 4 45] ; [10 95],[ 4.45454545 44.54545455] ; [ 9.54545455 95.45454545],0
s5,1,0.838739,0.041415,[12 36] ; [23 75],[11.50684932 36.49315068] ; [23.49315068 74.50684932],0
u1,1,0.850275,0.035633,[ 2 47] ; [  5 100],[ 2.22727273 46.77272727] ; [  4.77272727 100.22727273],0
b2,1,0.91099,0.012497,[ 9 19] ; [22 49],[ 8.76767677 19.23232323] ; [22.23232323 48.76767677],0
b3,1,0.91099,0.012497,[ 9 19] ; [22 49],[ 8.76767677 19.23232323] ; [22.23232323 48.76767677],0
s2,1,0.911587,0.012329,[21 28] ; [46 59],[21.31818182 27.68181818] ; [45.68181818 59.31818182],0
b5,1,0.935536,0.006542,[30 19] ; [65 40],[30.22727273 18.77272727] ; [64.77272727 40.22727273],0
b1,1,0.947863,0.004276,[18 31] ; [38 67],[17.81818182 31.18181818] ; [38.18181818 66.81818182],0
a7,1,0.974271,0.00104,[30 19] ; [64 41],[29.90909091 19.09090909] ; [64.09090909 40.90909091],0
