Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,41.484494,[255  47] ; [33 35],[235.07027027  66.92972973] ; [52.92972973 15.07027027],1
d2,1,0.0,36.156901,[191 112] ; [16 53],[168.60483871 134.39516129] ; [38.39516129 30.60483871],1
a4,1,0.0,28.391846,[173 129] ; [15 54],[153.03504043 148.96495957] ; [34.96495957 34.03504043],1
d1,1,0.0,26.918835,[218  85] ; [27 42],[199.55645161 103.44354839] ; [45.44354839 23.55645161],1
u1,1,2.6e-05,17.714175,[ 92 211] ; [ 4 65],[ 78.19354839 224.80645161] ; [17.80645161 51.19354839],1
d4,1,0.000244,13.461211,[267  35] ; [49 20],[257.22911051  44.77088949] ; [58.77088949 10.22911051],1
v2,1,0.000692,11.509719,[199  95] ; [30 36],[187.01666667 106.98333333] ; [41.98333333 24.01666667],1
b2,1,0.003058,8.772734,[ 94 111] ; [ 7 29],[ 85.91286307 119.08713693] ; [15.08713693 20.91286307],0
b3,1,0.003058,8.772734,[ 94 111] ; [ 7 29],[ 85.91286307 119.08713693] ; [15.08713693 20.91286307],0
d3,1,0.003398,8.58031,[225  78] ; [39 30],[215.03225806  87.96774194] ; [48.96774194 20.03225806],0
a6,1,0.008839,6.854989,[223  79] ; [40 29],[214.08625337  87.91374663] ; [48.91374663 20.08625337],0
s8,1,0.019169,5.485987,[168 131] ; [28 41],[159.25 139.75] ; [36.75 32.25],0
r2,1,0.021354,5.297653,[297   4] ; [65  4],[294.49189189   6.50810811] ; [67.50810811  1.49189189],0
p9,1,0.02616,4.945441,[272  29] ; [55 13],[266.7398374  34.2601626] ; [60.2601626  7.7398374],0
p11,1,0.036816,4.358901,[256  47] ; [51 18],[250.05645161  52.94354839] ; [56.94354839 12.05645161],0
p10,1,0.038578,4.279369,[268  34] ; [54 14],[262.82162162  39.17837838] ; [59.17837838  8.82162162],0
d5,1,0.073219,3.209332,[262  40] ; [54 15],[257.22911051  44.77088949] ; [58.77088949 10.22911051],0
n4,1,0.087471,2.920303,[261  41] ; [54 15],[256.41509434  45.58490566] ; [58.58490566 10.41509434],0
v1,1,0.094596,2.794373,[186 108] ; [35 32],[179.9833795 114.0166205] ; [41.0166205 25.9833795],0
p2,1,0.097315,2.749004,[270  31] ; [57 12],[266.01891892  34.98108108] ; [60.98108108  8.01891892],0
p1,1,0.099448,2.714378,[ 31 269] ; [12 57],[ 34.95934959 265.04065041] ; [ 8.04065041 60.95934959],0
s7,1,0.133847,2.247304,[172 113] ; [31 31],[166.72910663 118.27089337] ; [36.27089337 25.72910663],0
p7,1,0.151838,2.053688,[236  64] ; [48 20],[231.52173913  68.47826087] ; [52.47826087 15.52173913],0
p12,1,0.183599,1.768249,[ 39 261] ; [ 5 64],[ 35.77235772 264.22764228] ; [ 8.22764228 60.77235772],0
v3,1,0.226487,1.462791,[146 148] ; [26 37],[141.64705882 152.35294118] ; [30.35294118 32.64705882],0
s5,1,0.259602,1.270879,[126 167] ; [23 42],[121.94692737 171.05307263] ; [27.05307263 37.94692737],0
u4,1,0.354737,0.85644,[ 11 292] ; [ 1 68],[  9.77419355 293.22580645] ; [ 2.22580645 66.77419355],0
s2,1,0.369313,0.805974,[168 132] ; [34 34],[164.67391304 135.32608696] ; [37.32608696 30.67391304],0
p8,1,0.379764,0.771464,[207  92] ; [44 25],[203.9375  95.0625] ; [47.0625 21.9375],0
s1,1,0.439387,0.597883,[  8 294] ; [ 3 65],[  8.97837838 293.02162162] ; [ 2.02162162 65.97837838],0
a8,1,0.483651,0.49062,[ 39 230] ; [ 7 56],[ 37.27108434 231.72891566] ; [ 8.72891566 54.27108434],0
u3,1,0.500045,0.454841,[34 14] ; [23 13],[32.57142857 15.42857143] ; [24.42857143 11.57142857],0
s6,1,0.509309,0.435487,[214  81] ; [52 16],[216.1707989  78.8292011] ; [49.8292011 18.1707989],0
n2,1,0.511312,0.43138,[31 12] ; [9 2],[31.85185185 11.14814815] ; [8.14814815 2.85185185],0
n3,1,0.524144,0.405732,[35  8] ; [8 3],[34.24074074  8.75925926] ; [8.75925926 2.24074074],0
b1,1,0.54813,0.360678,[135 168] ; [28 41],[132.76612903 170.23387097] ; [30.23387097 38.76612903],0
p4,1,0.620256,0.245508,[247  56] ; [58 11],[248.42741935  54.57258065] ; [56.57258065 12.42741935],0
n6,1,0.620557,0.245086,[264  37] ; [59 10],[262.76486486  38.23513514] ; [60.23513514  8.76486486],0
u2,1,0.622383,0.242532,[30 18] ; [20 15],[28.91566265 19.08433735] ; [21.08433735 13.91566265],0
n5,1,0.641918,0.216243,[243  58] ; [54 15],[241.61351351  59.38648649] ; [55.38648649 13.61351351],0
r3,1,0.656108,0.198286,[292  10] ; [65  3],[291.38918919  10.61081081] ; [65.61081081  2.38918919],0
a1,1,0.674702,0.176152,[ 17 286] ; [ 3 66],[ 16.29032258 286.70967742] ; [ 3.70967742 65.29032258],0
p6,1,0.728004,0.120952,[148 152] ; [31 35],[146.72131148 153.27868852] ; [32.27868852 33.72131148],0
s4,1,0.736433,0.113287,[ 52 247] ; [13 55],[ 52.95640327 246.04359673] ; [12.04359673 55.95640327],0
r4,1,0.774075,0.082397,[296   7] ; [67  2],[295.66935484   7.33064516] ; [67.33064516  1.66935484],0
n1,1,0.829678,0.046274,[18 25] ; [5 6],[18.31481481 24.68518519] ; [4.68518519 6.31481481],0
b4,1,0.839194,0.041178,[176 127] ; [41 28],[176.75 126.25] ; [40.25 28.75],0
s3,1,0.844546,0.038448,[177 123] ; [41 27],[177.7173913 122.2826087] ; [40.2826087 27.7173913],0
p5,1,0.861693,0.030353,[ 55 247] ; [13 55],[ 55.5027027 246.4972973] ; [12.4972973 55.5027027],0
b5,1,0.910295,0.012694,[169 134] ; [39 30],[169.41935484 133.58064516] ; [38.58064516 30.41935484],0
a7,1,0.990836,0.000132,[223  80] ; [50 18],[222.96226415  80.03773585] ; [50.03773585 17.96226415],0
