Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000271,13.261721,[53 13] ; [ 5 10],[47.25925926 18.74074074] ; [10.74074074  4.25925926],1
p9,1,0.00031,13.009782,[62  4] ; [9 6],[57.85185185  8.14814815] ; [13.14814815  1.85185185],1
n6,1,0.006796,7.326007,[60  5] ; [10  5],[56.875  8.125] ; [13.125  1.875],0
p11,1,0.009946,6.644544,[58  8] ; [9 6],[54.59259259 11.40740741] ; [12.40740741  2.59259259],0
p2,1,0.039108,4.256182,[63  3] ; [12  3],[61.11111111  4.88888889] ; [13.88888889  1.11111111],0
p10,1,0.082854,3.008003,[62  4] ; [12  3],[60.2962963  5.7037037] ; [13.7037037  1.2962963],0
u3,1,0.086736,2.933925,[14 12] ; [7 1],[16.05882353  9.94117647] ; [4.94117647 3.05882353],0
s8,1,0.145874,2.114873,[40 26] ; [6 9],[37.48148148 28.51851852] ; [8.51851852 6.48148148],0
v2,1,0.187524,1.736961,[29 35] ; [ 4 11],[26.73417722 37.26582278] ; [6.26582278 8.73417722],0
s3,1,0.215514,1.533996,[50 16] ; [9 6],[48.07407407 17.92592593] ; [10.92592593  4.07407407],0
a6,1,0.224916,1.472727,[42 24] ; [7 8],[39.92592593 26.07407407] ; [9.07407407 5.92592593],0
a2,1,0.228282,1.451531,[13 53] ; [ 1 14],[11.40740741 54.59259259] ; [ 2.59259259 12.40740741],0
u1,1,0.228282,1.451531,[13 53] ; [ 1 14],[11.40740741 54.59259259] ; [ 2.59259259 12.40740741],0
v1,1,0.282143,1.156738,[36 29] ; [6 9],[34.125 30.875] ; [7.875 7.125],0
r1,1,0.317273,1.000154,[52 14] ; [10  5],[50.51851852 15.48148148] ; [11.48148148  3.51851852],0
a3,1,0.323422,0.97506,[40 26] ; [7 8],[38.2962963 27.7037037] ; [8.7037037 6.2962963],0
p6,1,0.330904,0.945358,[44 22] ; [8 7],[42.37037037 23.62962963] ; [9.62962963 5.37037037],0
p5,1,0.386555,0.749752,[10 56] ; [ 1 14],[ 8.96296296 57.03703704] ; [ 2.03703704 12.96296296],0
