Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,55.488966,[319  74] ; [72 75],[284.56111111 108.43888889] ; [106.43888889  40.56111111],1
r3,1,0.0,45.295484,[376  17] ; [115  35],[355.36464088  37.63535912] ; [135.63535912  14.36464088],1
p9,1,0.0,44.395446,[330  63] ; [82 63],[300.95910781  92.04089219] ; [111.04089219  33.95910781],1
p2,1,0.0,36.599164,[333  61] ; [92 60],[306.68498168  87.31501832] ; [118.31501832  33.68498168],1
r4,1,0.0,32.578546,[344  51] ; [100  52],[320.62157221  74.37842779] ; [123.37842779  28.62157221],1
p8,1,0.0,32.290652,[201 189] ; [ 37 114],[171.57116451 218.42883549] ; [66.42883549 84.57116451],1
n6,1,3e-06,21.927733,[324  70] ; [95 55],[303.46691176  90.53308824] ; [115.53308824  34.46691176],1
b1,1,1.7e-05,18.51762,[141 254] ; [85 67],[163.19926874 231.80073126] ; [62.80073126 89.19926874],1
v4,1,2e-05,18.224789,[366  25] ; [123  28],[352.76568266  38.23431734] ; [136.23431734  14.76568266],1
p4,1,6.7e-05,15.880835,[217 176] ; [55 97],[196.13944954 196.86055046] ; [75.86055046 76.13944954],1
n4,1,8.4e-05,15.456229,[288 107] ; [83 67],[268.88990826 126.11009174] ; [102.11009174  47.88990826],1
p7,1,0.001027,10.778879,[233 151] ; [68 83],[216.04485981 167.95514019] ; [84.95514019 66.04485981],0
r1,1,0.002346,9.25724,[300  93] ; [95 55],[285.8839779 107.1160221] ; [109.1160221  40.8839779],0
r2,1,0.003858,8.349587,[358  30] ; [125  24],[348.98324022  39.01675978] ; [134.01675978  14.98324022],0
n5,1,0.009093,6.804412,[273 118] ; [87 63],[260.18484288 130.81515712] ; [99.81515712 50.18484288],0
s6,1,0.012138,6.290621,[245 147] ; [76 74],[232.16236162 159.83763838] ; [88.83763838 61.16236162],0
s8,1,0.024626,5.049978,[142 253] ; [ 39 112],[130.94322344 264.05677656] ; [ 50.05677656 100.94322344],0
n3,1,0.031829,4.60767,[66 21] ; [40 27],[59.88311688 27.11688312] ; [46.11688312 20.88311688],0
u2,1,0.033721,4.508792,[75 61] ; [21 34],[68.35602094 67.64397906] ; [27.64397906 27.35602094],0
b4,1,0.033935,4.497993,[232 163] ; [74 78],[220.96892139 174.03107861] ; [85.03107861 66.96892139],0
p3,1,0.035029,4.443773,[164 230] ; [ 48 103],[153.26238532 240.73761468] ; [58.73761468 92.26238532],0
a5,1,0.042594,4.111434,[275 120] ; [92 60],[265.01828154 129.98171846] ; [101.98171846  50.01828154],0
a1,1,0.052465,3.760867,[ 10 385] ; [  9 143],[ 13.7202925 381.2797075] ; [  5.2797075 146.7202925],0
p6,1,0.070327,3.27537,[131 259] ; [ 38 111],[122.28200371 267.71799629] ; [ 46.71799629 102.28200371],0
s1,1,0.070407,3.273502,[  9 382] ; [  8 142],[ 12.28650647 378.71349353] ; [  4.71349353 145.28650647],0
u3,1,0.078025,3.105566,[79 58] ; [24 31],[73.49479167 63.50520833] ; [29.50520833 25.49479167],0
v1,1,0.079704,3.070921,[167 218] ; [53 98],[158.02238806 226.97761194] ; [61.97761194 89.02238806],0
n2,1,0.079722,3.070557,[67 21] ; [43 25],[62.05128205 25.94871795] ; [47.94871795 20.05128205],0
d3,1,0.084492,2.976295,[258 137] ; [86 64],[249.32110092 145.67889908] ; [94.67889908 55.32110092],0
u4,1,0.106237,2.609331,[  2 393] ; [  3 149],[  3.61060329 391.38939671] ; [  1.38939671 150.61060329],0
p12,1,0.133601,2.250154,[ 15 377] ; [  2 149],[ 12.27255985 379.72744015] ; [  4.72744015 146.27255985],0
d4,1,0.143099,2.144313,[311  84] ; [110  41],[304.56959707  90.43040293] ; [116.43040293  34.56959707],0
