Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,28.600902,[ 4 35] ; [19  6],[14.015625 24.984375] ; [ 8.984375 16.015625],1
u1,1,0.000325,12.91864,[ 1 38] ; [ 9 16],[ 6.09375 32.90625] ; [ 3.90625 21.09375],1
s2,1,0.000815,11.207532,[10 29] ; [17  8],[16.453125 22.546875] ; [10.546875 14.453125],1
p6,1,0.001246,10.420454,[11 27] ; [17  7],[17.16129032 20.83870968] ; [10.83870968 13.16129032],0
s3,1,0.00154,10.030263,[15 23] ; [20  5],[21.11111111 16.88888889] ; [13.88888889 11.11111111],0
a8,1,0.004254,8.171929,[ 1 33] ; [ 6 14],[ 4.40740741 29.59259259] ; [ 2.59259259 17.40740741],0
n6,1,0.005897,7.581455,[23 15] ; [23  2],[27.74603175 10.25396825] ; [18.25396825  6.74603175],0
n5,1,0.006102,7.520004,[16 23] ; [19  6],[21.328125 17.671875] ; [13.671875 11.328125],0
p4,1,0.007149,7.235129,[18 21] ; [20  5],[23.15625 15.84375] ; [14.84375 10.15625],0
s6,1,0.007149,7.235129,[18 21] ; [20  5],[23.15625 15.84375] ; [14.84375 10.15625],0
s4,1,0.008282,6.971447,[ 1 37] ; [ 6 19],[ 4.22222222 33.77777778] ; [ 2.77777778 22.22222222],0
n4,1,0.01233,6.262827,[19 20] ; [20  5],[23.765625 15.234375] ; [15.234375  9.765625],0
p5,1,0.019555,5.451223,[ 1 38] ; [ 5 20],[ 3.65625 35.34375] ; [ 2.34375 22.65625],0
d4,1,0.019584,5.448562,[26 13] ; [23  2],[29.859375  9.140625] ; [19.140625  5.859375],0
b3,1,0.021727,5.267477,[ 2 18] ; [ 8 11],[ 5.12820513 14.87179487] ; [ 4.87179487 14.12820513],0
b2,1,0.021727,5.267477,[ 2 18] ; [ 8 11],[ 5.12820513 14.87179487] ; [ 4.87179487 14.12820513],0
a4,1,0.024575,5.053572,[ 8 30] ; [12 13],[12.06349206 25.93650794] ; [ 7.93650794 17.06349206],0
n1,1,0.03615,4.390023,[3 6] ; [6 1],[5.0625 3.9375] ; [3.9375 3.0625],0
v1,1,0.044948,4.020579,[12 27] ; [14 11],[15.84375 23.15625] ; [10.15625 14.84375],0
d5,1,0.054485,3.697778,[26 13] ; [22  3],[29.25  9.75] ; [18.75  6.25],0
s5,1,0.054854,3.686508,[ 4 35] ; [ 7 17],[ 6.80952381 32.19047619] ; [ 4.19047619 19.80952381],0
d1,1,0.056229,3.645265,[17 22] ; [17  8],[20.71875 18.28125] ; [13.28125 11.71875],0
n3,1,0.092133,2.836706,[7 3] ; [2 5],[5.29411765 4.70588235] ; [3.70588235 3.29411765],0
a3,1,0.106892,2.599579,[18 20] ; [17  8],[21.11111111 16.88888889] ; [13.88888889 11.11111111],0
p3,1,0.113727,2.501652,[14 25] ; [14 11],[17.0625 21.9375] ; [10.9375 14.0625],0
d3,1,0.125573,2.3464,[26 13] ; [21  4],[28.640625 10.359375] ; [18.359375  6.640625],0
a2,1,0.129027,2.304168,[ 5 34] ; [ 7 18],[ 7.3125 31.6875] ; [ 4.6875 20.3125],0
r1,1,0.164581,1.931624,[26 12] ; [21  4],[28.34920635  9.65079365] ; [18.65079365  6.34920635],0
p9,1,0.186797,1.742703,[13 24] ; [13 12],[15.51612903 21.48387097] ; [10.48387097 14.51612903],0
u3,1,0.237552,1.395061,[ 8 13] ; [5 3],[ 9.4137931 11.5862069] ; [3.5862069 4.4137931],0
r2,1,0.237552,1.39506,[34  5] ; [24  1],[35.34375  3.65625] ; [22.65625  2.34375],0
d2,1,0.286785,1.134652,[15 24] ; [13 12],[17.0625 21.9375] ; [10.9375 14.0625],0
p1,1,0.316579,1.003026,[ 3 35] ; [ 4 21],[ 4.22222222 33.77777778] ; [ 2.77777778 22.22222222],0
b5,1,0.326846,0.961354,[28 11] ; [15 10],[26.203125 12.796875] ; [16.796875  8.203125],0
v3,1,0.352144,0.865715,[10 28] ; [ 9 15],[11.64516129 26.35483871] ; [ 7.35483871 16.64516129],0
b4,1,0.353833,0.859662,[22 17] ; [17  8],[23.765625 15.234375] ; [15.234375  9.765625],0
p2,1,0.362684,0.828577,[29 10] ; [21  4],[30.46875  8.53125] ; [19.53125  5.46875],0
r4,1,0.378476,0.775645,[31  8] ; [22  3],[32.296875  6.703125] ; [20.703125  4.296875],0
u2,1,0.408384,0.683502,[ 7 14] ; [4 4],[ 7.96551724 13.03448276] ; [3.03448276 4.96551724],0
r3,1,0.551598,0.354462,[36  3] ; [24  1],[36.5625  2.4375] ; [23.4375  1.5625],0
p7,1,0.580926,0.304739,[29 10] ; [17  8],[28.03125 10.96875] ; [17.96875  7.03125],0
p11,1,0.628257,0.234432,[21 18] ; [15 10],[21.9375 17.0625] ; [14.0625 10.9375],0
a7,1,0.653355,0.201697,[26 13] ; [18  7],[26.8125 12.1875] ; [17.1875  7.8125],0
a5,1,0.687646,0.161645,[23 16] ; [16  9],[23.765625 15.234375] ; [15.234375  9.765625],0
b1,1,0.729494,0.119577,[17 22] ; [12 13],[17.671875 21.328125] ; [11.328125 13.671875],0
a1,1,0.747369,0.103755,[ 1 38] ; [ 1 24],[ 1.21875 37.78125] ; [ 0.78125 24.21875],0
v2,1,0.797793,0.065641,[19 20] ; [13 12],[19.5 19.5] ; [12.5 12.5],0
s1,1,0.817834,0.053053,[ 2 36] ; [ 1 24],[ 1.80952381 36.19047619] ; [ 1.19047619 23.80952381],0
n2,1,0.949272,0.004048,[7 3] ; [5 2],[7.05882353 2.94117647] ; [4.94117647 2.05882353],0
a6,1,0.993343,7e-05,[25 14] ; [16  9],[24.984375 14.015625] ; [16.015625  8.984375],0
