Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,46.283495,[113   3] ; [32 24],[97.79069767 18.20930233] ; [47.20930233  8.79069767],1
v4,1,1e-06,23.753909,[112   4] ; [39 16],[102.43274854  13.56725146] ; [48.56725146  6.43274854],1
n6,1,0.000118,14.825616,[100  16] ; [33 22],[90.22222222 25.77777778] ; [42.77777778 12.22222222],1
s6,1,0.001835,9.707928,[66 45] ; [19 37],[56.49700599 54.50299401] ; [28.50299401 27.49700599],0
p10,1,0.002091,9.467766,[92 23] ; [31 23],[83.69822485 31.30177515] ; [39.30177515 14.69822485],0
p9,1,0.003492,8.53063,[97 17] ; [36 19],[89.71597633 24.28402367] ; [43.28402367 11.71597633],0
p11,1,0.009293,6.765626,[87 29] ; [31 25],[79.58139535 36.41860465] ; [38.41860465 17.58139535],0
s8,1,0.010555,6.53866,[43 73] ; [10 46],[35.74418605 80.25581395] ; [17.25581395 38.74418605],0
p2,1,0.020531,5.366196,[90 26] ; [32 21],[83.73964497 32.26035503] ; [38.26035503 14.73964497],0
p7,1,0.02131,5.301248,[66 48] ; [21 33],[59.03571429 54.96428571] ; [27.96428571 26.03571429],0
a7,1,0.033429,4.523652,[75 40] ; [27 29],[68.59649123 46.40350877] ; [33.40350877 22.59649123],0
n2,1,0.035409,4.425366,[29  6] ; [12  9],[25.625  9.375] ; [15.375  5.625],0
s5,1,0.057224,3.616071,[33 75] ; [ 9 45],[28. 80.] ; [14. 40.],0
b1,1,0.066131,3.376525,[41 75] ; [28 28],[46.53488372 69.46511628] ; [22.46511628 33.53488372],0
p4,1,0.067666,3.338747,[59 56] ; [20 35],[53.44117647 61.55882353] ; [25.55882353 29.44117647],0
p3,1,0.069732,3.289317,[55 61] ; [18 37],[49.52046784 66.47953216] ; [23.47953216 31.52046784],0
p8,1,0.082047,3.023882,[52 62] ; [17 37],[46.82142857 67.17857143] ; [22.17857143 31.82142857],0
b5,1,0.082209,3.020679,[78 38] ; [30 26],[72.8372093 43.1627907] ; [35.1627907 20.8372093],0
n3,1,0.09372,2.809294,[26  9] ; [11 10],[23.125 11.875] ; [13.875  7.125],0
d2,1,0.09428,2.799736,[41 74] ; [27 28],[46. 69.] ; [22. 33.],0
d4,1,0.094537,2.795374,[85 31] ; [34 22],[80.25581395 35.74418605] ; [38.74418605 17.25581395],0
s3,1,0.108794,2.571651,[59 56] ; [21 34],[54.11764706 60.88235294] ; [25.88235294 29.11764706],0
d5,1,0.120576,2.409828,[87 28] ; [36 20],[82.71929825 32.28070175] ; [40.28070175 15.71929825],0
p6,1,0.122095,2.390233,[43 70] ; [14 40],[38.56886228 74.43113772] ; [18.43113772 35.56886228],0
a1,1,0.146194,2.111523,[  7 109] ; [ 7 49],[  9.44186047 106.55813953] ; [ 4.55813953 51.44186047],0
s2,1,0.178563,1.809547,[54 62] ; [20 36],[49.90697674 66.09302326] ; [24.09302326 31.90697674],0
n4,1,0.196161,1.670728,[78 38] ; [32 24],[74.18604651 41.81395349] ; [35.81395349 20.18604651],0
