Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,148.670643,[371  71] ; [ 53 109],[310.2781457 131.7218543] ; [113.7218543  48.2781457],1
n6,1,0.0,38.497321,[388  56] ; [105  56],[361.80495868  82.19504132] ; [131.19504132  29.80495868],1
a5,1,0.0,34.40405,[355  91] ; [91 72],[326.6272578 119.3727422] ; [119.3727422  43.6272578],1
p11,1,5e-06,20.93021,[357  89] ; [101  62],[335.41543514 110.58456486] ; [122.58456486  40.41543514],1
a8,1,9e-06,19.722484,[ 72 325] ; [  5 145],[ 55.88482633 341.11517367] ; [ 21.11517367 128.88482633],1
a4,1,1e-05,19.538455,[220 224] ; [ 48 115],[196.03294893 247.96705107] ; [71.96705107 91.03294893],1
p4,1,2e-05,18.226395,[272 173] ; [68 95],[248.84868421 196.15131579] ; [91.15131579 71.84868421],1
r4,1,3.5e-05,17.136548,[413  33] ; [132  31],[399.12972085  46.87027915] ; [145.87027915  17.12972085],1
a2,1,4.9e-05,16.482073,[149 297] ; [ 27 136],[128.89326765 317.10673235] ; [ 47.10673235 115.89326765],1
d2,1,7.4e-05,15.697473,[233 211] ; [ 56 107],[211.3937397 232.6062603] ; [77.6062603 85.3937397],1
u1,1,0.00026,13.340915,[110 336] ; [ 18 145],[ 93.74055829 352.25944171] ; [ 34.25944171 128.74055829],1
a3,1,0.000699,11.491244,[326 116] ; [97 66],[309.03471074 132.96528926] ; [113.96528926  49.03471074],1
p3,1,0.000718,11.442662,[217 228] ; [ 54 108],[198.6738056 246.3261944] ; [72.3261944 89.6738056],1
s4,1,0.001068,10.705652,[ 61 378] ; [ 41 122],[ 74.3820598 364.6179402] ; [ 27.6179402 135.3820598],0
p6,1,0.001806,9.737079,[159 283] ; [ 36 124],[143.17275748 298.82724252] ; [ 51.82724252 108.17275748],0
r1,1,0.001999,9.550724,[372  71] ; [118  44],[358.79338843  84.20661157] ; [131.20661157  30.79338843],0
v1,1,0.003345,8.608952,[236 200] ; [64 94],[220.2020202 215.7979798] ; [79.7979798 78.2020202],0
r2,1,0.004142,8.220314,[422  17] ; [146  16],[414.89517471  24.10482529] ; [153.10482529   8.89517471],0
d1,1,0.005322,7.766658,[288 158] ; [85 78],[273.16584565 172.83415435] ; [99.83415435 63.16584565],0
v3,1,0.005867,7.590827,[171 262] ; [ 42 113],[156.85204082 276.14795918] ; [56.14795918 98.85204082],0
s7,1,0.006098,7.521066,[198 226] ; [ 53 103],[183.48965517 240.51034483] ; [67.51034483 88.48965517],0
p12,1,0.006987,7.276181,[ 30 415] ; [  2 161],[ 23.42105263 421.57894737] ; [  8.57894737 154.42105263],0
a1,1,0.013305,6.12814,[ 22 424] ; [  1 162],[ 16.84400657 429.15599343] ; [  6.15599343 156.84400657],0
p7,1,0.013726,6.073035,[274 164] ; [80 76],[261.03030303 176.96969697] ; [92.96969697 63.03030303],0
p10,1,0.014845,5.934801,[360  84] ; [115  45],[349.17218543  94.82781457] ; [125.82781457  34.17218543],0
a6,1,0.014994,5.917181,[357  87] ; [116  47],[345.98352554  98.01647446] ; [127.01647446  35.98352554],0
n2,1,0.015363,5.874357,[63 17] ; [34 23],[56.64233577 23.35766423] ; [40.35766423 16.64233577],0
s8,1,0.024654,5.048003,[183 260] ; [ 51 112],[171.05940594 271.94059406] ; [ 62.94059406 100.05940594],0
n1,1,0.027551,4.855926,[33 45] ; [14 44],[26.95588235 51.04411765] ; [20.04411765 37.95588235],0
d5,1,0.028171,4.817549,[380  65] ; [127  36],[371.07730263  73.92269737] ; [135.92269737  27.07730263],0
n3,1,0.061528,3.495721,[63 16] ; [38 20],[58.24087591 20.75912409] ; [42.75912409 15.24087591],0
v2,1,0.067458,3.343805,[257 175] ; [78 75],[247.38461538 184.61538462] ; [87.61538462 65.38461538],0
p9,1,0.077596,3.114558,[368  72] ; [123  36],[360.66777963  79.33222037] ; [130.33222037  28.66777963],0
p2,1,0.082958,3.00597,[374  72] ; [126  36],[366.77631579  79.22368421] ; [133.22368421  28.77631579],0
r3,1,0.12585,2.342959,[426  17] ; [151  11],[422.49752066  20.50247934] ; [154.50247934   7.49752066],0
s2,1,0.126181,2.338872,[222 217] ; [71 92],[213.66611296 225.33388704] ; [79.33388704 83.66611296],0
s3,1,0.186058,1.74856,[241 196] ; [79 82],[233.84615385 203.15384615] ; [86.15384615 74.84615385],0
v4,1,0.245624,1.348022,[422  22] ; [150  12],[419.08910891  24.91089109] ; [152.91089109   9.08910891],0
b1,1,0.266113,1.236673,[164 282] ; [ 52 111],[158.18719212 287.81280788] ; [ 57.81280788 105.18719212],0
d4,1,0.353417,0.861151,[377  68] ; [133  30],[373.27302632  71.72697368] ; [136.72697368  26.27302632],0
p8,1,0.451395,0.567147,[217 222] ; [74 87],[212.915 226.085] ; [78.085 82.915],0
s6,1,0.457965,0.550865,[286 154] ; [100  62],[282.12624585 157.87375415] ; [103.87375415  58.12624585],0
p1,1,0.478421,0.502462,[ 29 415] ; [  8 153],[ 27.15371901 416.84628099] ; [  9.84628099 151.15371901],0
u4,1,0.626098,0.23739,[  8 438] ; [  2 161],[  7.32348112 438.67651888] ; [  2.67651888 160.32348112],0
d3,1,0.663736,0.189017,[348  97] ; [124  38],[346.02965404  98.97034596] ; [125.97034596  36.02965404],0
b5,1,0.668217,0.183695,[301 145] ; [107  56],[298.79802956 147.20197044] ; [109.20197044  53.79802956],0
b2,1,0.671117,0.180299,[ 91 179] ; [23 51],[ 89.47674419 180.52325581] ; [24.52325581 49.47674419],0
b3,1,0.671117,0.180299,[ 91 179] ; [23 51],[ 89.47674419 180.52325581] ; [24.52325581 49.47674419],0
