Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,28.051948,[35 55] ; [130  50],[55. 35.] ; [110.  70.],1
p9,1,0.0,27.075,[41 49] ; [139  41],[60. 30.] ; [120.  60.],1
r3,1,1e-06,23.327224,[67 25] ; [168  11],[79.77859779 12.22140221] ; [155.22140221  23.77859779],1
p11,1,2e-06,22.655732,[43 50] ; [136  45],[60.75547445 32.24452555] ; [118.24452555  62.75547445],1
p7,1,2e-05,18.210491,[15 75] ; [ 77 103],[30.66666667 59.33333333] ; [ 61.33333333 118.66666667],1
v4,1,8.9e-05,15.365193,[69 23] ; [166  14],[79.48529412 12.51470588] ; [155.51470588  24.48529412],1
a1,1,0.000107,15.014098,[12 81] ; [  3 178],[ 5.09124088 87.90875912] ; [  9.90875912 171.09124088],1
r4,1,0.000171,14.129388,[58 35] ; [150  31],[70.59854015 22.40145985] ; [137.40145985  43.59854015],1
p4,1,0.00114,10.58474,[17 74] ; [ 69 112],[28.77205882 62.22794118] ; [ 57.22794118 123.77205882],0
a6,1,0.001273,10.380961,[48 45] ; [129  52],[60.07664234 32.92335766] ; [116.92335766  64.07664234],0
s6,1,0.001332,10.298143,[28 64] ; [92 89],[40.43956044 51.56043956] ; [ 79.56043956 101.43956044],0
d3,1,0.005426,7.731747,[44 49] ; [116  63],[54.70588235 38.29411765] ; [105.29411765  73.70588235],0
d5,1,0.006242,7.479105,[56 37] ; [137  43],[65.74725275 27.25274725] ; [127.25274725  52.74725275],0
s1,1,0.009061,6.810825,[ 5 85] ; [  1 177],[ 2.01492537 87.98507463] ; [  3.98507463 174.01492537],0
a7,1,0.010081,6.620446,[52 40] ; [129  50],[61.44649446 30.55350554] ; [119.55350554  59.44649446],0
n6,1,0.016561,5.74232,[58 34] ; [139  42],[66.38827839 25.61172161] ; [130.61172161  50.38827839],0
v1,1,0.019173,5.485685,[28 65] ; [78 96],[36.92134831 56.07865169] ; [ 69.07865169 104.92134831],0
p3,1,0.020686,5.353047,[16 76] ; [ 55 126],[23.92673993 68.07326007] ; [ 47.07326007 133.92673993],0
r1,1,0.021412,5.292964,[53 39] ; [128  51],[61.44649446 30.55350554] ; [119.55350554  59.44649446],0
p6,1,0.022687,5.192308,[ 6 84] ; [ 30 150],[12. 78.] ; [ 24. 156.],0
