Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000171,14.127343,[16 17] ; [13 72],[ 8.11016949 24.88983051] ; [20.88983051 64.11016949],1
s6,1,0.000901,11.021232,[25  8] ; [35 49],[16.92307692 16.07692308] ; [43.07692308 40.92307692],1
s3,1,0.001174,10.5306,[21 12] ; [26 58],[13.25641026 19.74358974] ; [33.74358974 50.25641026],0
s2,1,0.001286,10.361987,[20 13] ; [24 60],[12.41025641 20.58974359] ; [31.58974359 52.41025641],0
v1,1,0.002914,8.860579,[20 12] ; [27 57],[12.96551724 19.03448276] ; [34.03448276 49.96551724],0
u1,1,0.00564,7.661868,[ 7 26] ; [ 4 81],[ 3.07627119 29.92372881] ; [ 7.92372881 77.07627119],0
a3,1,0.022039,5.242728,[24  9] ; [42 43],[18.45762712 14.54237288] ; [47.54237288 37.45762712],0
a2,1,0.027529,4.857329,[ 7 26] ; [ 6 79],[ 3.63559322 29.36440678] ; [ 9.36440678 75.63559322],0
p6,1,0.029326,4.748377,[ 7 26] ; [ 6 78],[ 3.66666667 29.33333333] ; [ 9.33333333 74.66666667],0
d2,1,0.034001,4.494647,[17 16] ; [26 59],[12.02542373 20.97457627] ; [30.97457627 54.02542373],0
s4,1,0.042744,4.105508,[10 23] ; [12 73],[ 6.15254237 26.84745763] ; [15.84745763 69.15254237],0
s5,1,0.045588,3.996768,[12 19] ; [16 63],[ 7.89090909 23.10909091] ; [20.10909091 58.89090909],0
a8,1,0.056132,3.648137,[ 4 25] ; [ 3 78],[ 1.84545455 27.15454545] ; [ 5.15454545 75.84545455],0
u2,1,0.072682,3.221387,[7 1] ; [23 20],[4.70588235 3.29411765] ; [25.29411765 17.70588235],0
a6,1,0.187753,1.735165,[23 10] ; [48 37],[19.8559322 13.1440678] ; [51.1440678 33.8559322],0
d1,1,0.209232,1.576736,[19 14] ; [38 47],[15.94067797 17.05932203] ; [41.05932203 43.94067797],0
d3,1,0.228354,1.451083,[23 10] ; [49 36],[20.13559322 12.86440678] ; [51.86440678 33.13559322],0
a5,1,0.244564,1.354093,[21 12] ; [44 41],[18.1779661 14.8220339] ; [46.8220339 38.1779661],0
n1,1,0.252023,1.312055,[5 6] ; [ 8 22],[3.48780488 7.51219512] ; [ 9.51219512 20.48780488],0
n4,1,0.253024,1.306529,[15 18] ; [29 56],[12.30508475 20.69491525] ; [31.69491525 53.30508475],0
d5,1,0.261054,1.263158,[28  5] ; [64 21],[25.72881356  7.27118644] ; [66.27118644 18.72881356],0
v2,1,0.267474,1.229654,[18 12] ; [40 43],[15.39823009 14.60176991] ; [42.60176991 40.39823009],0
u3,1,0.270806,1.212661,[7 2] ; [25 18],[5.53846154 3.46153846] ; [26.46153846 16.53846154],0
r4,1,0.31477,1.010555,[27  6] ; [62 23],[24.88983051  8.11016949] ; [64.11016949 20.88983051],0
b4,1,0.328228,0.955878,[23 10] ; [51 34],[20.69491525 12.30508475] ; [53.30508475 31.69491525],0
p2,1,0.339113,0.913782,[17 16] ; [52 33],[19.29661017 13.70338983] ; [49.70338983 35.29661017],0
b1,1,0.343453,0.897499,[ 9 24] ; [31 54],[11.18644068 21.81355932] ; [28.81355932 56.18644068],0
v3,1,0.362565,0.828989,[10 20] ; [20 61],[ 8.10810811 21.89189189] ; [21.89189189 59.10810811],0
r1,1,0.400995,0.705341,[25  8] ; [57 27],[23.12820513  9.87179487] ; [58.87179487 25.12820513],0
p4,1,0.422008,0.644715,[ 8 25] ; [27 58],[ 9.78813559 23.21186441] ; [25.21186441 59.78813559],0
a4,1,0.431986,0.617479,[13 20] ; [27 58],[11.18644068 21.81355932] ; [28.81355932 56.18644068],0
r3,1,0.447698,0.576475,[31  2] ; [76  9],[29.92372881  3.07627119] ; [77.07627119  7.92372881],0
b5,1,0.510449,0.433147,[18 15] ; [52 33],[19.57627119 13.42372881] ; [50.42372881 34.57627119],0
b2,1,0.556299,0.346153,[ 9 11] ; [16 27],[ 7.93650794 12.06349206] ; [17.06349206 25.93650794],0
b3,1,0.556299,0.346153,[ 9 11] ; [16 27],[ 7.93650794 12.06349206] ; [17.06349206 25.93650794],0
r2,1,0.582504,0.302204,[29  3] ; [73 11],[28.13793103  3.86206897] ; [73.86206897 10.13793103],0
d4,1,0.63973,0.219095,[28  5] ; [69 16],[27.12711864  5.87288136] ; [69.87288136 15.12711864],0
p10,1,0.695388,0.153314,[19 14] ; [45 39],[18.05128205 14.94871795] ; [45.94871795 38.05128205],0
p3,1,0.695521,0.153173,[ 6 27] ; [18 66],[ 6.76923077 26.23076923] ; [17.23076923 66.76923077],0
p1,1,0.708953,0.139325,[ 3 30] ; [ 6 79],[ 2.51694915 30.48305085] ; [ 6.48305085 78.51694915],0
a7,1,0.72453,0.124194,[23 10] ; [62 23],[23.77118644  9.22881356] ; [61.22881356 23.77118644],0
p9,1,0.729861,0.11924,[21 10] ; [54 30],[20.2173913 10.7826087] ; [54.7826087 29.2173913],0
p11,1,0.760167,0.093184,[18 15] ; [49 36],[18.73728814 14.26271186] ; [48.26271186 36.73728814],0
p8,1,0.772017,0.083948,[ 6 26] ; [18 67],[ 6.56410256 25.43589744] ; [17.43589744 67.56410256],0
n2,1,0.772484,0.083595,[7 4] ; [17 12],[6.6 4.4] ; [17.4 11.6],0
v4,1,0.836605,0.042534,[27  5] ; [73 12],[27.35042735  4.64957265] ; [72.64957265 12.35042735],0
