Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,99.822458,[233  55] ; [38 88],[188.52173913  99.47826087] ; [82.47826087 43.52173913],1
a4,1,0.0,28.133538,[139 150] ; [ 26 101],[114.62740385 174.37259615] ; [50.37259615 76.62740385],1
a5,1,0.0,27.462898,[215  74] ; [61 66],[191.74038462  97.25961538] ; [84.25961538 42.74038462],1
s7,1,1e-06,24.239108,[141 135] ; [30 92],[118.58291457 157.41708543] ; [52.41708543 69.58291457],1
n6,1,3e-06,21.72832,[251  39] ; [85 42],[233.66906475  56.33093525] ; [102.33093525  24.66906475],1
a2,1,8.4e-05,15.462537,[ 74 216] ; [ 11 116],[ 59.11270983 230.88729017] ; [ 25.88729017 101.11270983],1
d2,1,0.000183,13.998582,[145 142] ; [39 88],[127.55555556 159.44444444] ; [56.44444444 70.55555556],1
a3,1,0.000442,12.345675,[206  83] ; [68 59],[190.35096154  98.64903846] ; [83.64903846 43.35096154],1
p3,1,0.000655,11.612476,[133 155] ; [36 91],[117.28192771 170.71807229] ; [51.71807229 75.28192771],1
r1,1,0.000879,11.06601,[231  59] ; [81 45],[217.5  72.5] ; [94.5 31.5],1
p11,1,0.001169,10.539304,[223  67] ; [78 49],[209.32853717  80.67146283] ; [91.67146283 35.32853717],0
u1,1,0.002338,9.263164,[ 51 239] ; [  8 119],[ 41.03117506 248.96882494] ; [ 17.96882494 109.03117506],0
s3,1,0.002726,8.982079,[160 125] ; [51 76],[145.95873786 139.04126214] ; [65.04126214 61.95873786],0
d1,1,0.005307,7.771622,[164 126] ; [53 74],[150.91127098 139.08872902] ; [66.08872902 60.91127098],0
v3,1,0.008938,6.835204,[ 88 193] ; [ 23 100],[ 77.20544554 203.79455446] ; [33.79455446 89.20544554],0
p10,1,0.00973,6.683618,[221  65] ; [82 44],[210.33495146  75.66504854] ; [92.66504854 33.33495146],0
s6,1,0.012286,6.269091,[181 104] ; [64 63],[169.47815534 115.52184466] ; [75.52184466 51.47815534],0
p9,1,0.012677,6.213692,[227  57] ; [85 39],[217.17647059  66.82352941] ; [94.82352941 29.17647059],0
a8,1,0.020799,5.343571,[ 34 233] ; [  6 114],[ 27.59689922 239.40310078] ; [ 12.40310078 107.59689922],0
p4,1,0.023243,5.15024,[155 131] ; [53 73],[144.38834951 141.61165049] ; [63.61165049 62.38834951],0
s8,1,0.0258,4.969353,[110 179] ; [34 93],[100.03846154 188.96153846] ; [43.96153846 83.03846154],0
p6,1,0.026141,4.946666,[ 94 192] ; [28 99],[ 84.4842615 201.5157385] ; [37.5157385 89.4842615],0
r4,1,0.028451,4.80053,[260  30] ; [104  23],[253.14148681  36.85851319] ; [110.85851319  16.14148681],0
s4,1,0.030449,4.683767,[ 50 236] ; [34 93],[ 58.16949153 227.83050847] ; [ 25.83050847 101.16949153],0
r2,1,0.049795,3.848346,[270  16] ; [113  14],[265.2251816  20.7748184] ; [117.7748184   9.2251816],0
p1,1,0.051442,3.793819,[ 24 263] ; [  4 123],[ 19.41062802 267.58937198] ; [  8.58937198 118.41062802],0
p2,1,0.051879,3.779669,[232  57] ; [91 36],[224.39182692  64.60817308] ; [98.60817308 28.39182692],0
p12,1,0.075985,3.14876,[ 19 269] ; [  3 124],[ 15.26746988 272.73253012] ; [  6.73253012 120.26746988],0
d5,1,0.082054,3.023737,[227  62] ; [89 37],[220.05783133  68.94216867] ; [95.94216867 30.05783133],0
d4,1,0.0822,3.020864,[228  59] ; [91 36],[221.14251208  65.85748792] ; [97.85748792 29.14251208],0
s2,1,0.090999,2.856605,[136 153] ; [48 78],[128.13493976 160.86506024] ; [55.86506024 70.13493976],0
a6,1,0.128424,2.311458,[201  87] ; [79 48],[194.31325301  93.68674699] ; [85.68674699 41.31325301],0
b2,1,0.171926,1.866069,[ 53 116] ; [14 49],[ 48.80603448 120.19396552] ; [18.19396552 44.80603448],0
b3,1,0.171926,1.866069,[ 53 116] ; [14 49],[ 48.80603448 120.19396552] ; [18.19396552 44.80603448],0
p5,1,0.19077,1.711661,[ 24 264] ; [  6 121],[ 20.81927711 267.18072289] ; [  9.18072289 117.81927711],0
n2,1,0.194478,1.683364,[58 19] ; [33 18],[54.7421875 22.2578125] ; [36.2578125 14.7421875],0
b5,1,0.195664,1.674449,[156 134] ; [77 50],[162.0383693 127.9616307] ; [70.9616307 56.0383693],0
r3,1,0.200317,1.640058,[269  19] ; [114  13],[265.79277108  22.20722892] ; [117.20722892   9.79277108],0
p7,1,0.211888,1.558482,[169 115] ; [65 58],[163.28255528 120.71744472] ; [70.71744472 52.28255528],0
u3,1,0.291112,1.114472,[42 41] ; [34 23],[45.05714286 37.94285714] ; [30.94285714 26.05714286],0
n3,1,0.301862,1.065952,[56 18] ; [35 17],[53.44444444 20.55555556] ; [37.55555556 14.44444444],0
p8,1,0.305169,1.051471,[134 150] ; [53 74],[129.21654501 154.78345499] ; [57.78345499 69.21654501],0
v2,1,0.325232,0.967791,[117 162] ; [44 76],[112.57894737 166.42105263] ; [48.42105263 71.57894737],0
n1,1,0.365395,0.819266,[26 48] ; [14 37],[23.68 50.32] ; [16.32 34.68],0
s5,1,0.403241,0.698639,[ 79 199] ; [30 93],[ 75.56608479 202.43391521] ; [33.43391521 89.56608479],0
b4,1,0.40542,0.692192,[168 122] ; [68 59],[164.12470024 125.87529976] ; [71.87529976 55.12470024],0
s1,1,0.509954,0.434162,[ 13 273] ; [  4 123],[ 11.77239709 274.22760291] ; [  5.22760291 121.77239709],0
u4,1,0.547156,0.362436,[  1 289] ; [  1 126],[  1.39088729 288.60911271] ; [  0.60911271 126.39088729],0
a7,1,0.668026,0.18392,[202  86] ; [91 35],[203.82608696  84.17391304] ; [89.17391304 36.82608696],0
b1,1,0.671441,0.179921,[116 174] ; [48 79],[114.05275779 175.94724221] ; [49.94724221 77.05275779],0
u2,1,0.708751,0.139528,[47 36] ; [31 27],[45.91489362 37.08510638] ; [32.08510638 25.91489362],0
a1,1,0.800754,0.063691,[ 13 277] ; [  5 122],[ 12.51798561 277.48201439] ; [  5.48201439 121.51798561],0
d3,1,0.861636,0.030378,[191  97] ; [84 41],[191.76755448  96.23244552] ; [83.23244552 41.76755448],0
