Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,23.306427,[40 12] ; [ 4 19],[30.50666667 21.49333333] ; [13.49333333  9.50666667],1
v4,1,0.000599,11.778763,[48  4] ; [13  9],[42.86486486  9.13513514] ; [18.13513514  3.86486486],1
s6,1,0.009796,6.671589,[28 24] ; [ 5 18],[22.88 29.12] ; [10.12 12.88],0
d2,1,0.012343,6.260872,[ 7 45] ; [ 9 14],[11.09333333 40.90666667] ; [ 4.90666667 18.09333333],0
s5,1,0.028624,4.790075,[14 38] ; [ 1 21],[10.54054054 41.45945946] ; [ 4.45945946 17.54054054],0
s7,1,0.038646,4.276364,[16 34] ; [ 2 20],[12.5 37.5] ; [ 5.5 16.5],0
s1,1,0.048118,3.905845,[ 1 51] ; [ 3 20],[ 2.77333333 49.22666667] ; [ 1.22666667 21.77333333],0
p11,1,0.050695,3.818334,[39 13] ; [12 11],[35.36 16.64] ; [15.64  7.36],0
a7,1,0.072257,3.231,[32 20] ; [ 9 14],[28.42666667 23.57333333] ; [12.57333333 10.42666667],0
p2,1,0.073552,3.201925,[40 12] ; [13 10],[36.74666667 15.25333333] ; [16.25333333  6.74666667],0
d3,1,0.074545,3.180001,[25 27] ; [ 6 17],[21.49333333 30.50666667] ; [ 9.50666667 13.49333333],0
s8,1,0.076007,3.148278,[17 35] ; [ 3 20],[13.86666667 38.13333333] ; [ 6.13333333 16.86666667],0
r4,1,0.076607,3.135452,[38 14] ; [12 11],[34.66666667 17.33333333] ; [15.33333333  7.66666667],0
n6,1,0.110153,2.552032,[35 17] ; [11 12],[31.89333333 20.10666667] ; [14.10666667  8.89333333],0
a6,1,0.127569,2.321842,[28 24] ; [ 8 15],[24.96 27.04] ; [11.04 11.96],0
a5,1,0.136802,2.213572,[23 29] ; [ 6 17],[20.10666667 31.89333333] ; [ 8.89333333 14.10666667],0
n1,1,0.142781,2.147727,[ 2 14] ; [4 7],[ 3.55555556 12.44444444] ; [2.44444444 8.55555556],0
r2,1,0.145909,2.114504,[42 10] ; [15  8],[39.52 12.48] ; [17.48  5.52],0
p6,1,0.156205,2.010583,[ 8 42] ; [ 7 16],[10.2739726 39.7260274] ; [ 4.7260274 18.2739726],0
p7,1,0.170532,1.878261,[28 21] ; [17  6],[30.625 18.375] ; [14.375  8.625],0
r3,1,0.18289,1.773981,[45  7] ; [17  6],[42.98666667  9.01333333] ; [19.01333333  3.98666667],0
d4,1,0.262658,1.254694,[31 21] ; [10 12],[28.81081081 23.18918919] ; [12.18918919  9.81081081],0
v1,1,0.273554,1.198838,[20 31] ; [ 6 17],[17.91891892 33.08108108] ; [ 8.08108108 14.91891892],0
n3,1,0.280077,1.166717,[10  6] ; [9 2],[11.25925926  4.74074074] ; [7.74074074 3.25925926],0
n2,1,0.304807,1.053044,[13  3] ; [7 4],[11.85185185  4.14814815] ; [8.14814815 2.85185185],0
d1,1,0.388768,0.742793,[ 2 50] ; [ 2 21],[ 2.77333333 49.22666667] ; [ 1.22666667 21.77333333],0
s2,1,0.504274,0.445931,[20 32] ; [ 7 16],[18.72 33.28] ; [ 8.28 14.72],0
p3,1,0.521015,0.411884,[15 37] ; [ 5 18],[13.86666667 38.13333333] ; [ 6.13333333 16.86666667],0
b5,1,0.547959,0.360987,[31 21] ; [12 11],[29.81333333 22.18666667] ; [13.18666667  9.81333333],0
b1,1,0.547959,0.360987,[21 31] ; [11 12],[22.18666667 29.81333333] ; [ 9.81333333 13.18666667],0
a3,1,0.550111,0.357119,[26 25] ; [10 13],[24.81081081 26.18918919] ; [11.18918919 11.81081081],0
p4,1,0.602045,0.271923,[21 30] ; [ 8 15],[19.98648649 31.01351351] ; [ 9.01351351 13.98648649],0
s4,1,0.649711,0.206264,[ 9 43] ; [ 5 18],[ 9.70666667 42.29333333] ; [ 4.29333333 18.70666667],0
v3,1,0.67909,0.171152,[11 40] ; [ 4 19],[10.33783784 40.66216216] ; [ 4.66216216 18.33783784],0
a8,1,0.697519,0.151066,[ 6 43] ; [ 2 20],[ 5.52112676 43.47887324] ; [ 2.47887324 19.52112676],0
s3,1,0.7128,0.135496,[25 27] ; [10 13],[24.26666667 27.73333333] ; [10.73333333 12.26666667],0
u2,1,0.732396,0.116923,[12 13] ; [7 6],[12.5 12.5] ; [6.5 6.5],0
b4,1,0.773037,0.083177,[29 23] ; [12 11],[28.42666667 23.57333333] ; [12.57333333 10.42666667],0
p1,1,0.800568,0.063813,[ 3 49] ; [ 1 22],[ 2.77333333 49.22666667] ; [ 1.22666667 21.77333333],0
v2,1,0.814574,0.055004,[16 35] ; [ 6 15],[15.58333333 35.41666667] ; [ 6.41666667 14.58333333],0
n5,1,0.868222,0.027528,[21 30] ; [ 9 14],[20.67567568 30.32432432] ; [ 9.32432432 13.67567568],0
u3,1,0.899192,0.016048,[11 14] ; [6 7],[11.18421053 13.81578947] ; [5.81578947 7.18421053],0
u1,1,0.918572,0.010452,[ 2 50] ; [ 1 22],[ 2.08 49.92] ; [ 0.92 22.08],0
r1,1,0.951727,0.003665,[29 23] ; [13 10],[29.12 22.88] ; [12.88 10.12],0
p8,1,0.966497,0.001764,[21 31] ; [ 9 13],[21.08108108 30.91891892] ; [ 8.91891892 13.08108108],0
a4,1,0.992962,7.8e-05,[ 9 43] ; [ 4 19],[ 9.01333333 42.98666667] ; [ 3.98666667 19.01333333],0
