Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,88.727952,[ 76 104] ; [413 106],[125.92274678  54.07725322] ; [363.07725322 155.92274678],1
d3,1,0.0,72.899051,[83 97] ; [414 106],[127.8  52.2] ; [369.2 150.8],1
a2,1,0.0,29.713174,[ 18 162] ; [159 363],[ 45.38461538 134.61538462] ; [131.61538462 390.38461538],1
u1,1,2e-06,22.9433,[ 12 168] ; [119 403],[ 33.58974359 146.41025641] ; [ 97.41025641 424.58974359],1
b5,1,7e-06,20.080486,[85 95] ; [345 177],[110.25641026  69.74358974] ; [319.74358974 202.25641026],1
d1,1,0.005083,7.849497,[95 85] ; [337 185],[110.76923077  69.23076923] ; [321.23076923 200.76923077],0
b3,1,0.007156,7.233382,[58 57] ; [111 197],[45.94562648 69.05437352] ; [123.05437352 184.94562648],0
b2,1,0.007156,7.233382,[58 57] ; [111 197],[45.94562648 69.05437352] ; [123.05437352 184.94562648],0
b1,1,0.008031,7.026484,[ 75 105] ; [161 361],[ 60.51282051 119.48717949] ; [175.48717949 346.51282051],0
r1,1,0.019271,5.476718,[143  37] ; [450  69],[152.70386266  27.29613734] ; [440.29613734  78.70386266],0
u3,1,0.021748,5.26582,[19 24] ; [90 51],[25.47282609 17.52717391] ; [83.52717391 57.47282609],0
s5,1,0.029042,4.765115,[75 94] ; [176 327],[ 63.1235119 105.8764881] ; [187.8764881 315.1235119],0
p4,1,0.043797,4.064389,[101  77] ; [339 181],[112.20630372  65.79369628] ; [327.79369628 192.20630372],0
v2,1,0.046421,3.966267,[91 82] ; [305 193],[102.09836066  70.90163934] ; [293.90163934 204.09836066],0
p2,1,0.060564,3.521878,[147  32] ; [457  64],[154.45142857  24.54857143] ; [449.54857143  71.45142857],0
a5,1,0.086154,2.944815,[129  51] ; [407 115],[137.43589744  42.56410256] ; [398.56410256 123.43589744],0
d5,1,0.087767,2.914866,[140  39] ; [436  84],[147.50214592  31.49785408] ; [428.49785408  91.50214592],0
n5,1,0.127778,2.319293,[146  32] ; [398 122],[138.7277937  39.2722063] ; [405.2722063 114.7277937],0
s7,1,0.155885,2.013694,[100  76] ; [252 246],[91.91691395 84.08308605] ; [260.08308605 237.91691395],0
v4,1,0.197943,1.657485,[174   6] ; [513   9],[176.15384615   3.84615385] ; [510.84615385  11.15384615],0
n1,1,0.226765,1.461039,[22 26] ; [34 62],[18.66666667 29.33333333] ; [37.33333333 58.66666667],0
d4,1,0.23334,1.420384,[145  34] ; [441  79],[150.06294707  28.93705293] ; [435.93705293  84.06294707],0
n4,1,0.234428,1.413789,[147  32] ; [406 115],[141.41  37.59] ; [411.59 109.41],0
u2,1,0.251786,1.313365,[22 21] ; [86 55],[25.23913043 17.76086957] ; [82.76086957 58.23913043],0
s8,1,0.264577,1.244647,[94 86] ; [246 273],[87.55364807 92.44635193] ; [252.44635193 266.55364807],0
p10,1,0.266774,1.233261,[161  19] ; [480  41],[164.59343795  15.40656205] ; [476.40656205  44.59343795],0
s4,1,0.287099,1.133177,[ 36 144] ; [ 85 430],[ 31.3381295 148.6618705] ; [ 89.6618705 425.3381295],0
s2,1,0.292941,1.106056,[90 89] ; [284 234],[96.04878049 82.95121951] ; [277.95121951 240.04878049],0
b4,1,0.32831,0.955552,[98 82] ; [306 216],[103.58974359  76.41025641] ; [300.41025641 221.58974359],0
r2,1,0.348332,0.879525,[172   6] ; [509  11],[173.66475645   4.33524355] ; [507.33524355  12.66475645],0
p12,1,0.370231,0.802889,[ 14 164] ; [ 53 469],[ 17.03714286 160.96285714] ; [ 49.96285714 472.03714286],0
a1,1,0.38813,0.744792,[ 10 170] ; [ 21 501],[  7.94871795 172.05128205] ; [ 23.05128205 498.94871795],0
a3,1,0.417052,0.658606,[137  43] ; [379 140],[132.87553648  47.12446352] ; [383.12446352 135.87553648],0
a8,1,0.494859,0.465944,[ 23 148] ; [ 73 394],[ 25.73040752 145.26959248] ; [ 70.26959248 396.73040752],0
r3,1,0.540316,0.374955,[176   4] ; [513   8],[176.91868759   3.08131241] ; [512.08131241   8.91868759],0
u4,1,0.547876,0.361135,[  6 174] ; [ 13 509],[  4.87179487 175.12820513] ; [ 14.12820513 507.87179487],0
s3,1,0.551325,0.354949,[107  71] ; [297 219],[103.61959654  74.38040346] ; [300.38040346 215.61959654],0
s1,1,0.55242,0.352999,[  4 174] ; [ 16 498],[  5.14450867 172.85549133] ; [ 14.85549133 499.14450867],0
p5,1,0.554457,0.349393,[ 25 153] ; [ 64 455],[ 22.72883788 155.27116212] ; [ 66.27116212 452.72883788],0
p11,1,0.561333,0.337401,[153  27] ; [434  88],[150.51282051  29.48717949] ; [436.48717949  85.51282051],0
n2,1,0.601103,0.273335,[38 10] ; [73 24],[36.74482759 11.25517241] ; [74.25517241 22.74482759],0
p6,1,0.675232,0.175543,[ 67 108] ; [208 311],[ 69.3443804 105.6556196] ; [205.6556196 313.3443804],0
n3,1,0.705584,0.142728,[35 12] ; [75 22],[35.90277778 11.09722222] ; [74.09722222 22.90277778],0
p8,1,0.709316,0.138961,[98 79] ; [294 222],[100.12121212  76.87878788] ; [291.87878788 224.12121212],0
v1,1,0.791191,0.0701,[99 77] ; [291 216],[100.49780381  75.50219619] ; [289.50219619 217.49780381],0
s6,1,0.79773,0.065683,[126  48] ; [367 147],[124.68313953  49.31686047] ; [368.31686047 145.68313953],0
d2,1,0.840022,0.04075,[89 90] ; [254 266],[87.83547926 91.16452074] ; [255.16452074 264.83547926],0
