Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000103,15.084214,[ 1 27] ; [18 20],[ 8.06060606 19.93939394] ; [10.93939394 27.06060606],1
d5,1,0.004968,7.891074,[11 17] ; [28 10],[16.54545455 11.45454545] ; [22.45454545 15.54545455],0
s5,1,0.019172,5.485714,[ 1 27] ; [ 9 27],[ 4.375 23.625] ; [ 5.625 30.375],0
d1,1,0.030379,4.687701,[ 6 22] ; [18 20],[10.18181818 17.81818182] ; [13.81818182 24.18181818],0
r1,1,0.050624,3.82068,[ 8 20] ; [20 18],[11.87878788 16.12121212] ; [16.12121212 21.87878788],0
d3,1,0.062274,3.475752,[ 9 19] ; [21 17],[12.72727273 15.27272727] ; [17.27272727 20.72727273],0
d2,1,0.064964,3.405887,[ 8 20] ; [19 18],[11.63076923 16.36923077] ; [15.36923077 21.63076923],0
b5,1,0.087923,2.911993,[17 11] ; [15 23],[13.57575758 14.42424242] ; [18.42424242 19.57575758],0
b3,1,0.090419,2.866891,[ 4 15] ; [11 13],[ 6.62790698 12.37209302] ; [ 8.37209302 15.62790698],0
b2,1,0.090419,2.866891,[ 4 15] ; [11 13],[ 6.62790698 12.37209302] ; [ 8.37209302 15.62790698],0
p3,1,0.092268,2.834351,[ 5 23] ; [14 24],[ 8.06060606 19.93939394] ; [10.93939394 27.06060606],0
s3,1,0.099662,2.710948,[ 7 19] ; [18 20],[10.15625 15.84375] ; [14.84375 23.15625],0
s7,1,0.173617,1.851429,[ 4 21] ; [11 24],[ 6.25 18.75] ; [ 8.75 26.25],0
r3,1,0.176022,1.830897,[14 13] ; [26 12],[16.61538462 10.38461538] ; [23.38461538 14.61538462],0
a8,1,0.19176,1.704042,[ 5 21] ; [ 3 34],[ 3.3015873 22.6984127] ; [ 4.6984127 32.3015873],0
v2,1,0.217309,1.522052,[ 8 19] ; [17 21],[10.38461538 16.61538462] ; [14.61538462 23.38461538],0
a6,1,0.282966,1.152787,[11 17] ; [20 18],[13.15151515 14.84848485] ; [17.84848485 20.15151515],0
u3,1,0.315691,1.006714,[ 1 13] ; [ 3 12],[ 1.93103448 12.06896552] ; [ 2.06896552 12.93103448],0
u1,1,0.384528,0.756176,[ 2 26] ; [ 1 37],[ 1.27272727 26.72727273] ; [ 1.72727273 36.27272727],0
v3,1,0.384902,0.754987,[ 5 23] ; [10 27],[ 6.46153846 21.53846154] ; [ 8.53846154 28.46153846],0
s4,1,0.388126,0.744804,[ 3 25] ; [ 7 31],[ 4.24242424 23.75757576] ; [ 5.75757576 32.24242424],0
s6,1,0.388633,0.743214,[ 8 20] ; [14 22],[ 9.625 18.375] ; [12.375 23.625],0
b1,1,0.394454,0.725168,[14 14] ; [23 15],[15.6969697 12.3030303] ; [21.3030303 16.6969697],0
b4,1,0.409597,0.679971,[19  9] ; [22 16],[17.39393939 10.60606061] ; [23.60606061 14.39393939],0
a7,1,0.432294,0.616652,[12 16] ; [20 18],[13.57575758 14.42424242] ; [18.42424242 19.57575758],0
a1,1,0.432839,0.615194,[ 2 26] ; [ 5 33],[ 2.96969697 25.03030303] ; [ 4.03030303 33.96969697],0
