Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,135.111111,[20 60] ; [265  35],[60. 20.] ; [225.  75.],1
p2,1,0.0,25.648371,[51 31] ; [261  40],[66.79895561 15.20104439] ; [245.20104439  55.79895561],1
p11,1,1e-06,24.309389,[43 39] ; [240  62],[60.43229167 21.56770833] ; [222.56770833  79.43229167],1
s8,1,8.4e-05,15.458682,[16 65] ; [132 170],[31.3002611 49.6997389] ; [116.6997389 185.3002611],1
p8,1,0.000271,13.261165,[25 57] ; [160 141],[39.60835509 42.39164491] ; [145.39164491 155.60835509],1
s6,1,0.000539,11.976012,[39 42] ; [204  92],[52.20954907 28.79045093] ; [190.79045093 105.20954907],1
s2,1,0.001055,10.728175,[25 56] ; [154 146],[38.05511811 42.94488189] ; [140.94488189 159.05511811],0
s7,1,0.002132,9.432643,[22 55] ; [140 151],[33.89673913 43.10326087] ; [128.10326087 162.89673913],0
n5,1,0.002166,9.403398,[47 35] ; [224  76],[58.17277487 23.82722513] ; [212.82722513  87.17277487],0
p4,1,0.0024,9.21519,[34 47] ; [183 118],[46.01308901 34.98691099] ; [170.98691099 130.01308901],0
s5,1,0.002541,9.110838,[14 67] ; [101 189],[25.10781671 55.89218329] ; [ 89.89218329 200.10781671],0
n6,1,0.002819,8.920793,[57 25] ; [254  48],[66.41145833 15.58854167] ; [244.58854167  57.41145833],0
v1,1,0.003391,8.583922,[20 62] ; [124 170],[31.40425532 50.59574468] ; [112.59574468 181.40425532],0
b1,1,0.004027,8.271622,[46 36] ; [116 186],[34.59375 47.40625] ; [127.40625 174.59375],0
p6,1,0.006764,7.334468,[18 64] ; [114 186],[28.33507853 53.66492147] ; [103.66492147 196.33507853],0
p3,1,0.00861,6.901891,[25 56] ; [142 159],[35.41099476 45.58900524] ; [131.58900524 169.41099476],0
d4,1,0.010804,6.497285,[54 28] ; [238  62],[62.68062827 19.31937173] ; [229.31937173  70.68062827],0
d3,1,0.021838,5.258613,[43 39] ; [198 101],[51.8687664 30.1312336] ; [189.1312336 109.8687664],0
p7,1,0.029653,4.729304,[38 43] ; [177 116],[46.56417112 34.43582888] ; [168.43582888 124.56417112],0
d1,1,0.040795,4.184496,[33 49] ; [160 142],[41.21354167 40.78645833] ; [151.78645833 150.21354167],0
n4,1,0.041945,4.137407,[52 30] ; [225  76],[59.30548303 22.69451697] ; [217.69451697  83.30548303],0
r4,1,0.047107,3.941565,[67 15] ; [271  31],[72.17708333  9.82291667] ; [265.82291667  36.17708333],0
p5,1,0.051369,3.796201,[ 4 78] ; [ 37 261],[ 8.84736842 73.15263158] ; [ 32.15263158 265.84736842],0
b5,1,0.058453,3.580745,[43 39] ; [193 109],[50.39583333 31.60416667] ; [185.60416667 116.39583333],0
b2,1,0.076483,3.138095,[13 41] ; [ 65 110],[18.3930131 35.6069869] ; [ 59.6069869 115.3930131],0
b3,1,0.076483,3.138095,[13 41] ; [ 65 110],[18.3930131 35.6069869] ; [ 59.6069869 115.3930131],0
p12,1,0.081185,3.041013,[ 1 80] ; [ 18 283],[ 4.02879581 76.97120419] ; [ 14.97120419 286.02879581],0
r3,1,0.097243,2.750196,[72 10] ; [281  20],[75.5770235  6.4229765] ; [277.4229765  23.5770235],0
a3,1,0.102309,2.669175,[46 36] ; [197 102],[52.2992126 29.7007874] ; [190.7007874 108.2992126],0
d2,1,0.122238,2.388411,[42 40] ; [125 175],[35.84816754 46.15183246] ; [131.15183246 168.84816754],0
s3,1,0.140431,2.173228,[39 43] ; [169 129],[44.88421053 37.11578947] ; [163.11578947 134.88421053],0
a6,1,0.183677,1.767618,[46 36] ; [193 108],[51.16971279 30.83028721] ; [187.83028721 113.16971279],0
a5,1,0.207042,1.591988,[49 33] ; [203  99],[53.8125 28.1875] ; [198.1875 103.8125],0
a8,1,0.234729,1.411973,[ 6 72] ; [ 35 244],[ 8.95798319 69.04201681] ; [ 32.04201681 246.95798319],0
s1,1,0.265452,1.240099,[ 6 75] ; [ 13 285],[ 4.06068602 76.93931398] ; [ 14.93931398 283.06068602],0
a7,1,0.313474,1.01598,[51 31] ; [205  96],[54.80939948 27.19060052] ; [201.19060052  99.80939948],0
v3,1,0.314596,1.011282,[18 62] ; [ 52 244],[14.89361702 65.10638298] ; [ 55.10638298 240.89361702],0
u3,1,0.323011,0.976714,[24 12] ; [59 44],[21.49640288 14.50359712] ; [61.50359712 41.49640288],0
r2,1,0.346519,0.886165,[75  7] ; [282  17],[76.83464567  5.16535433] ; [280.16535433  18.83464567],0
a4,1,0.367232,0.813011,[31 50] ; [132 169],[34.56282723 46.43717277] ; [128.43717277 172.56282723],0
a2,1,0.48599,0.485393,[14 68] ; [ 62 240],[16.22916667 65.77083333] ; [ 59.77083333 242.22916667],0
n3,1,0.509275,0.435557,[18 11] ; [53 24],[19.4245283  9.5754717] ; [51.5754717 25.4245283],0
n2,1,0.548557,0.359909,[22 10] ; [58 20],[23.27272727  8.72727273] ; [56.72727273 21.27272727],0
r1,1,0.604459,0.268323,[62 20] ; [219  82],[60.1618799 21.8381201] ; [220.8381201  80.1618799],0
u2,1,0.608267,0.262707,[19 17] ; [60 44],[20.31428571 15.68571429] ; [58.68571429 45.31428571],0
a1,1,0.608529,0.262323,[ 4 78] ; [ 11 291],[ 3.203125 78.796875] ; [ 11.796875 290.203125],0
p1,1,0.662394,0.190628,[ 6 75] ; [ 27 275],[ 6.97911227 74.02088773] ; [ 26.02088773 275.97911227],0
d5,1,0.700716,0.147728,[60 22] ; [225  74],[61.33858268 20.66141732] ; [223.66141732  75.33858268],0
n1,1,0.785184,0.074294,[12 19] ; [32 45],[12.62962963 18.37037037] ; [31.37037037 45.62962963],0
s4,1,0.823652,0.049662,[16 64] ; [ 63 235],[16.71957672 63.28042328] ; [ 62.28042328 235.71957672],0
u1,1,0.908683,0.013156,[11 71] ; [ 42 260],[11.31770833 70.68229167] ; [ 41.68229167 260.31770833],0
b4,1,0.939632,0.005735,[46 36] ; [168 134],[45.69791667 36.30208333] ; [168.30208333 133.69791667],0
u4,1,0.940712,0.005532,[ 1 81] ; [  4 298],[ 1.06770833 80.93229167] ; [  3.93229167 298.06770833],0
