Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,25.880556,[13 29] ; [31  4],[24. 18.] ; [20. 15.],1
s7,1,0.000535,11.988806,[10 29] ; [23 12],[17.39189189 21.60810811] ; [15.60810811 19.39189189],1
s6,1,0.000887,11.050313,[17 25] ; [28  8],[24.23076923 17.76923077] ; [20.76923077 15.23076923],1
s5,1,0.003831,8.362239,[ 6 36] ; [15 19],[11.60526316 30.39473684] ; [ 9.39473684 24.60526316],0
n5,1,0.011618,6.368294,[27 15] ; [32  4],[31.76923077 10.23076923] ; [27.23076923  8.76923077],0
d4,1,0.012272,6.271096,[16 27] ; [23 12],[21.5 21.5] ; [17.5 17.5],0
s8,1,0.024928,5.028885,[11 32] ; [18 18],[15.78481013 27.21518987] ; [13.21518987 22.78481013],0
a8,1,0.036003,4.396975,[ 2 38] ; [ 7 26],[ 4.93150685 35.06849315] ; [ 4.06849315 28.93150685],0
d1,1,0.053339,3.733259,[ 1 42] ; [ 5 31],[ 3.26582278 39.73417722] ; [ 2.73417722 33.26582278],0
p6,1,0.097763,2.741661,[13 30] ; [17 18],[16.53846154 26.46153846] ; [13.46153846 21.53846154],0
n1,1,0.121335,2.4,[2 8] ; [3 2],[3.33333333 6.66666667] ; [1.66666667 3.33333333],0
r4,1,0.135162,2.232193,[36  7] ; [34  2],[38.10126582  4.89873418] ; [31.89873418  4.10126582],0
p8,1,0.17578,1.832949,[23 20] ; [24 11],[25.91025641 17.08974359] ; [21.08974359 13.91025641],0
a4,1,0.262748,1.254219,[ 9 34] ; [ 4 31],[ 7.16666667 35.83333333] ; [ 5.83333333 29.16666667],0
d3,1,0.274385,1.194691,[18 25] ; [19 16],[20.3974359 22.6025641] ; [16.6025641 18.3974359],0
v3,1,0.275304,1.190124,[21 22] ; [22 14],[23.40506329 19.59493671] ; [19.59493671 16.40506329],0
u3,1,0.287901,1.129412,[ 7 10] ; [9 6],[8.5 8.5] ; [7.5 7.5],0
r1,1,0.290417,1.117689,[33 10] ; [31  5],[34.83544304  8.16455696] ; [29.16455696  6.83544304],0
a6,1,0.349231,0.876249,[29 14] ; [20 15],[27.01282051 15.98717949] ; [21.98717949 13.01282051],0
u1,1,0.45443,0.559579,[ 1 42] ; [ 2 34],[ 1.63291139 41.36708861] ; [ 1.36708861 34.63291139],0
d2,1,0.478187,0.502994,[ 9 34] ; [10 26],[10.34177215 32.65822785] ; [ 8.65822785 27.34177215],0
p9,1,0.482502,0.493203,[34  8] ; [26  9],[32.72727273  9.27272727] ; [27.27272727  7.72727273],0
a5,1,0.529368,0.395605,[24 19] ; [22 13],[25.35897436 17.64102564] ; [20.64102564 14.35897436],0
a2,1,0.531273,0.391957,[ 4 39] ; [ 2 34],[ 3.26582278 39.73417722] ; [ 2.73417722 33.26582278],0
s4,1,0.546922,0.362861,[ 5 37] ; [ 6 30],[ 5.92307692 36.07692308] ; [ 5.07692308 30.92307692],0
r2,1,0.554207,0.349834,[39  4] ; [33  2],[39.69230769  3.30769231] ; [32.30769231  2.69230769],0
p7,1,0.567357,0.327124,[29 13] ; [22 13],[27.81818182 14.18181818] ; [23.18181818 11.81818182],0
u2,1,0.576086,0.312605,[8 8] ; [9 6],[8.77419355 7.22580645] ; [8.22580645 6.77419355],0
n2,1,0.591208,0.288462,[9 1] ; [4 1],[8.66666667 1.33333333] ; [4.33333333 0.66666667],0
b2,1,0.610118,0.260003,[ 7 17] ; [ 9 16],[ 7.83673469 16.16326531] ; [ 8.16326531 16.83673469],0
b3,1,0.610118,0.260003,[ 7 17] ; [ 9 16],[ 7.83673469 16.16326531] ; [ 8.16326531 16.83673469],0
p11,1,0.713658,0.13465,[36  7] ; [29  7],[35.37974684  7.62025316] ; [29.62025316  6.37974684],0
p5,1,0.726933,0.121946,[ 5 38] ; [ 5 30],[ 5.51282051 37.48717949] ; [ 4.48717949 30.51282051],0
p4,1,0.739188,0.110841,[20 22] ; [18 17],[20.72727273 21.27272727] ; [17.27272727 17.72727273],0
b5,1,0.757278,0.095516,[23 20] ; [18 18],[22.3164557 20.6835443] ; [18.6835443 17.3164557],0
v1,1,0.765201,0.089196,[25 17] ; [22 13],[25.63636364 16.36363636] ; [21.36363636 13.63636364],0
p12,1,0.78504,0.074396,[ 4 38] ; [ 4 31],[ 4.36363636 37.63636364] ; [ 3.63636364 31.36363636],0
b4,1,0.817302,0.053368,[25 18] ; [20 16],[24.49367089 18.50632911] ; [20.50632911 15.49367089],0
v4,1,0.832329,0.044824,[41  2] ; [33  2],[40.79487179  2.20512821] ; [33.20512821  1.79487179],0
p10,1,0.846925,0.037266,[32 10] ; [26  9],[31.63636364 10.36363636] ; [26.36363636  8.63636364],0
r3,1,0.898601,0.016238,[42  1] ; [35  1],[41.91139241  1.08860759] ; [35.08860759  0.91139241],0
u4,1,0.898601,0.016238,[ 1 42] ; [ 1 35],[ 1.08860759 41.91139241] ; [ 0.91139241 35.08860759],0
n4,1,0.938106,0.00603,[30 12] ; [26 10],[30.15384615 11.84615385] ; [25.84615385 10.15384615],0
a7,1,0.948286,0.004207,[31 12] ; [25 10],[30.87179487 12.12820513] ; [25.12820513  9.87179487],0
p1,1,0.966555,0.001758,[ 6 37] ; [ 5 30],[ 6.06410256 36.93589744] ; [ 4.93589744 30.06410256],0
a3,1,0.966699,0.001743,[26 17] ; [21 14],[25.91025641 17.08974359] ; [21.08974359 13.91025641],0
p3,1,0.981365,0.000546,[21 22] ; [17 18],[20.94871795 22.05128205] ; [17.05128205 17.94871795],0
b1,1,0.981629,0.00053,[19 24] ; [16 20],[19.05063291 23.94936709] ; [15.94936709 20.05063291],0
p2,1,0.989334,0.000179,[32 11] ; [26  9],[31.97435897 11.02564103] ; [26.02564103  8.97435897],0
n6,1,0.99341,6.8e-05,[37  6] ; [31  5],[37.01265823  5.98734177] ; [30.98734177  5.01265823],0
n3,1,1.0,0.0,[8 2] ; [4 1],[8. 2.] ; [4. 1.],0
