Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,3e-06,21.87358,[47  5] ; [15 19],[37.48837209 14.51162791] ; [24.51162791  9.48837209],1
p8,1,0.000144,14.453281,[37 15] ; [10 24],[28.41860465 23.58139535] ; [18.58139535 15.41860465],1
p6,1,0.000273,13.25043,[27 23] ; [ 5 29],[19.04761905 30.95238095] ; [12.95238095 21.04761905],1
n5,1,0.006726,7.34463,[43  9] ; [19 15],[37.48837209 14.51162791] ; [24.51162791  9.48837209],0
n4,1,0.023384,5.13977,[41 11] ; [19 15],[36.27906977 15.72093023] ; [23.72093023 10.27906977],0
r2,1,0.036486,4.374241,[48  2] ; [28  6],[45.23809524  4.76190476] ; [30.76190476  3.23809524],0
d2,1,0.051563,3.789888,[10 42] ; [13 21],[13.90697674 38.09302326] ; [ 9.09302326 24.90697674],0
v2,1,0.056051,3.650534,[31 19] ; [12 18],[26.875 23.125] ; [16.125 13.875],0
p4,1,0.092126,2.836833,[34 18] ; [16 18],[30.23255814 21.76744186] ; [19.76744186 14.23255814],0
a7,1,0.092729,2.826355,[30 21] ; [26  8],[33.6 17.4] ; [22.4 11.6],0
n2,1,0.095437,2.780183,[8 1] ; [6 5],[6.3 2.7] ; [7.7 3.3],0
s7,1,0.095605,2.777367,[38 11] ; [18 12],[34.73417722 14.26582278] ; [21.26582278  8.73417722],0
v1,1,0.09706,2.7532,[29 21] ; [13 20],[25.30120482 24.69879518] ; [16.69879518 16.30120482],0
p10,1,0.105525,2.619985,[44  7] ; [23  9],[41.1686747  9.8313253] ; [25.8313253  6.1686747],0
b4,1,0.156436,2.008343,[24 28] ; [21 13],[27.20930233 24.79069767] ; [17.79069767 16.20930233],0
u3,1,0.173045,1.856361,[13  9] ; [15  4],[15.02439024  6.97560976] ; [12.97560976  6.02439024],0
p3,1,0.179379,1.802761,[26 26] ; [12 22],[22.97674419 29.02325581] ; [15.02325581 18.97674419],0
p5,1,0.193061,1.694104,[10 41] ; [ 3 30],[ 7.89285714 43.10714286] ; [ 5.10714286 27.89285714],0
a3,1,0.217832,1.518596,[30 22] ; [15 19],[27.20930233 24.79069767] ; [17.79069767 16.20930233],0
b5,1,0.270677,1.213312,[29 23] ; [23 11],[31.44186047 20.55813953] ; [20.55813953 13.44186047],0
n3,1,0.278503,1.174381,[7 2] ; [6 5],[5.85 3.15] ; [7.15 3.85],0
v3,1,0.307544,1.041195,[24 28] ; [10 19],[21.82716049 30.17283951] ; [12.17283951 16.82716049],0
s3,1,0.340526,0.908451,[41 11] ; [23 10],[39.15294118 12.84705882] ; [24.84705882  8.15294118],0
a4,1,0.340559,0.908326,[12 40] ; [ 5 29],[10.27906977 41.72093023] ; [ 6.72093023 27.27906977],0
n6,1,0.342626,0.900582,[44  8] ; [26  8],[42.3255814  9.6744186] ; [27.6744186  6.3255814],0
v4,1,0.346722,0.885417,[49  2] ; [31  3],[48.  3.] ; [32.  2.],0
r1,1,0.362874,0.827922,[36 15] ; [27  7],[37.8 13.2] ; [25.2  8.8],0
s2,1,0.37573,0.784627,[33 19] ; [24  9],[34.87058824 17.12941176] ; [22.12941176 10.87058824],0
d4,1,0.464266,0.535591,[36 16] ; [26  8],[37.48837209 14.51162791] ; [24.51162791  9.48837209],0
d1,1,0.48214,0.494019,[19 33] ; [15 19],[20.55813953 31.44186047] ; [13.44186047 20.55813953],0
s4,1,0.503757,0.447012,[14 38] ; [ 7 27],[12.69767442 39.30232558] ; [ 8.30232558 25.69767442],0
p1,1,0.596255,0.280681,[ 7 45] ; [ 6 28],[ 7.86046512 44.13953488] ; [ 5.13953488 28.86046512],0
b2,1,0.599579,0.275632,[ 9 28] ; [ 5 11],[ 9.77358491 27.22641509] ; [ 4.22641509 11.77358491],0
b3,1,0.599579,0.275632,[ 9 28] ; [ 5 11],[ 9.77358491 27.22641509] ; [ 4.22641509 11.77358491],0
p9,1,0.604681,0.267993,[43  9] ; [25  7],[42.0952381  9.9047619] ; [25.9047619  6.0952381],0
u1,1,0.661094,0.192197,[ 2 50] ; [ 2 32],[ 2.41860465 49.58139535] ; [ 1.58139535 32.41860465],0
d5,1,0.667758,0.184236,[36 16] ; [25  9],[36.88372093 15.11627907] ; [24.11627907  9.88372093],0
s5,1,0.669238,0.182494,[13 36] ; [ 9 20],[13.82051282 35.17948718] ; [ 8.17948718 20.82051282],0
d3,1,0.707024,0.141268,[30 22] ; [21 13],[30.8372093 21.1627907] ; [20.1627907 13.8372093],0
s6,1,0.734728,0.114815,[44  8] ; [27  6],[43.43529412  8.56470588] ; [27.56470588  5.43529412],0
s1,1,0.747351,0.103771,[ 4 48] ; [ 2 32],[ 3.62790698 48.37209302] ; [ 2.37209302 31.62790698],0
a1,1,0.759388,0.093811,[ 1 51] ; [ 1 33],[ 1.20930233 50.79069767] ; [ 0.79069767 33.20930233],0
a8,1,0.764404,0.089822,[ 8 41] ; [ 4 25],[ 7.53846154 41.46153846] ; [ 4.46153846 24.53846154],0
u2,1,0.78146,0.07696,[15  7] ; [13  5],[15.4  6.6] ; [12.6  5.4],0
a6,1,0.789635,0.071174,[26 26] ; [16 18],[25.39534884 26.60465116] ; [16.60465116 17.39534884],0
p12,1,0.819184,0.052255,[ 4 48] ; [ 3 30],[ 4.28235294 47.71764706] ; [ 2.71764706 30.28235294],0
p2,1,0.853601,0.03405,[42 10] ; [28  6],[42.3255814  9.6744186] ; [27.6744186  6.3255814],0
