Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.637928,[135  19] ; [11 13],[126.31460674  27.68539326] ; [19.68539326  4.31460674],1
r2,1,0.000592,11.800852,[146   5] ; [19  5],[142.37142857   8.62857143] ; [22.62857143  1.37142857],1
b1,1,0.001171,10.535163,[61 93] ; [18  6],[68.34831461 85.65168539] ; [10.65168539 13.34831461],0
v4,1,0.001972,9.575376,[150   4] ; [20  4],[147.07865169   6.92134831] ; [22.92134831  1.07865169],0
a5,1,0.002304,9.290176,[112  42] ; [10 14],[105.5505618  48.4494382] ; [16.4494382  7.5505618],0
r4,1,0.002786,8.942491,[141  13] ; [17  7],[136.69662921  17.30337079] ; [21.30337079  2.69662921],0
s4,1,0.010167,6.605374,[ 12 140] ; [ 6 18],[ 15.54545455 136.45454545] ; [ 2.45454545 21.54545455],0
a3,1,0.010696,6.5151,[110  43] ; [11 13],[104.59322034  48.40677966] ; [16.40677966  7.59322034],0
n5,1,0.022265,5.224982,[125  28] ; [14  9],[120.83522727  32.16477273] ; [18.16477273  4.83522727],0
p9,1,0.031166,4.643768,[134  19] ; [17  7],[130.52542373  22.47457627] ; [20.47457627  3.52542373],0
b5,1,0.039151,4.254315,[95 59] ; [20  4],[99.49438202 54.50561798] ; [15.50561798  8.49438202],0
r3,1,0.041834,4.141917,[149   5] ; [21  3],[147.07865169   6.92134831] ; [22.92134831  1.07865169],0
p3,1,0.063611,3.440641,[95 59] ; [10 14],[90.84269663 63.15730337] ; [14.15730337  9.84269663],0
s7,1,0.072009,3.23662,[77 70] ; [ 7 15],[73.06508876 73.93491124] ; [10.93491124 11.06508876],0
r1,1,0.10341,2.652142,[125  29] ; [16  8],[121.98876404  32.01123596] ; [19.01123596  4.98876404],0
v1,1,0.112763,2.515068,[89 62] ; [10 14],[85.42285714 65.57714286] ; [13.57714286 10.42285714],0
v3,1,0.113942,2.498683,[63 87] ; [ 6 18],[59.48275862 90.51724138] ; [ 9.51724138 14.48275862],0
p10,1,0.137212,2.208947,[121  30] ; [16  8],[118.21142857  32.78857143] ; [18.78857143  5.21142857],0
b2,1,0.13823,2.197552,[48 53] ; [3 9],[45.5840708 55.4159292] ; [5.4159292 6.5840708],0
b3,1,0.13823,2.197552,[48 53] ; [3 9],[45.5840708 55.4159292] ; [5.4159292 6.5840708],0
d1,1,0.141007,2.16693,[95 59] ; [11 13],[91.70786517 62.29213483] ; [14.29213483  9.70786517],0
p11,1,0.149777,2.074521,[128  26] ; [17  7],[125.4494382  28.5505618] ; [19.5505618  4.4494382],0
d4,1,0.177457,1.818794,[127  27] ; [17  7],[124.58426966  29.41573034] ; [19.41573034  4.58426966],0
u1,1,0.185906,1.749765,[ 30 124] ; [ 2 22],[ 27.68539326 126.31460674] ; [ 4.31460674 19.68539326],0
u2,1,0.190787,1.711527,[25 19] ; [10  3],[27.01754386 16.98245614] ; [7.98245614 5.01754386],0
p4,1,0.227073,1.459105,[120  34] ; [16  8],[117.66292135  36.33707865] ; [18.33707865  5.66292135],0
d5,1,0.284294,1.14645,[123  30] ; [17  7],[121.01694915  31.98305085] ; [18.98305085  5.01694915],0
p5,1,0.298954,1.078855,[ 17 137] ; [ 1 23],[ 15.57303371 138.42696629] ; [ 2.42696629 21.57303371],0
d2,1,0.319043,0.992865,[81 73] ; [10 14],[78.73033708 75.26966292] ; [12.26966292 11.73033708],0
p1,1,0.334648,0.930827,[ 16 138] ; [ 1 23],[ 14.70786517 139.29213483] ; [ 2.29213483 21.70786517],0
p12,1,0.370556,0.801799,[ 15 138] ; [ 1 23],[ 13.83050847 139.16949153] ; [ 2.16949153 21.83050847],0
a4,1,0.415078,0.664208,[71 82] ; [ 9 15],[69.15254237 83.84745763] ; [10.84745763 13.15254237],0
p7,1,0.436754,0.604795,[121  30] ; [20  3],[122.36206897  28.63793103] ; [18.63793103  4.36206897],0
