Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-06,22.108691,[109   5] ; [22 11],[101.59183673  12.40816327] ; [29.40816327  3.59183673],1
a5,1,0.000576,11.850439,[82 32] ; [13 20],[73.67346939 40.32653061] ; [21.32653061 11.67346939],1
r2,1,0.000808,11.2225,[111   3] ; [26  6],[106.97260274   7.02739726] ; [30.02739726  1.97260274],1
a2,1,0.00249,9.147632,[37 77] ; [ 2 31],[30.24489796 83.75510204] ; [ 8.75510204 24.24489796],0
s3,1,0.003824,8.365498,[56 57] ; [ 7 26],[48.76027397 64.23972603] ; [14.23972603 18.76027397],0
n4,1,0.005335,7.762167,[95 19] ; [20 13],[89.18367347 24.81632653] ; [25.81632653  7.18367347],0
d1,1,0.007584,7.129071,[68 46] ; [11 22],[61.26530612 52.73469388] ; [17.73469388 15.26530612],0
a3,1,0.017011,5.695204,[83 30] ; [17 16],[77.39726027 35.60273973] ; [22.60273973 10.39726027],0
u1,1,0.018942,5.506829,[23 91] ; [ 1 32],[18.6122449 95.3877551] ; [ 5.3877551 27.6122449],0
v1,1,0.029513,4.737463,[62 51] ; [11 22],[56.5 56.5] ; [16.5 16.5],0
a4,1,0.036859,4.356901,[61 52] ; [11 22],[55.7260274 57.2739726] ; [16.2739726 16.7260274],0
d4,1,0.040617,4.191903,[92 22] ; [21 12],[87.63265306 26.36734694] ; [25.36734694  7.63265306],0
d2,1,0.045423,4.002858,[57 57] ; [10 23],[51.95918367 62.04081633] ; [15.04081633 17.95918367],0
r3,1,0.056694,3.631544,[109   4] ; [29  4],[106.80821918   6.19178082] ; [31.19178082  1.80821918],0
s2,1,0.066572,3.365575,[51 62] ; [ 9 24],[46.43835616 66.56164384] ; [13.56164384 19.43835616],0
n5,1,0.078189,3.102156,[88 25] ; [20 12],[84.16551724 28.83448276] ; [23.83448276  8.16551724],0
a7,1,0.093092,2.820075,[91 23] ; [21 11],[87.45205479 26.54794521] ; [24.54794521  7.45205479],0
n6,1,0.094036,2.803888,[99 14] ; [25  8],[95.97260274 17.02739726] ; [28.02739726  4.97260274],0
p10,1,0.094813,2.790697,[93 20] ; [22 10],[89.62068966 23.37931034] ; [25.37931034  6.62068966],0
p7,1,0.108969,2.569115,[98 15] ; [24  8],[95.07586207 17.92413793] ; [26.92413793  5.07586207],0
b1,1,0.123386,2.373804,[45 69] ; [18 15],[48.85714286 65.14285714] ; [14.14285714 18.85714286],0
p2,1,0.126396,2.33622,[104  10] ; [27  6],[101.59183673  12.40816327] ; [29.40816327  3.59183673],0
p8,1,0.140297,2.174694,[78 36] ; [18 15],[74.44897959 39.55102041] ; [21.55102041 11.44897959],0
s7,1,0.159344,1.980441,[44 64] ; [ 8 22],[40.69565217 67.30434783] ; [11.30434783 18.69565217],0
p4,1,0.179755,1.799648,[89 25] ; [22 11],[86.08163265 27.91836735] ; [24.91836735  8.08163265],0
s6,1,0.183608,1.768177,[70 41] ; [16 16],[66.75524476 44.24475524] ; [19.24475524 12.75524476],0
v4,1,0.184828,1.758373,[110   4] ; [30  3],[108.57142857   5.42857143] ; [31.42857143  1.57142857],0
p3,1,0.193634,1.689752,[73 41] ; [17 16],[69.79591837 44.20408163] ; [20.20408163 12.79591837],0
n1,1,0.199053,1.649306,[ 7 17] ; [7 7],[ 8.84210526 15.15789474] ; [5.15789474 8.84210526],0
p1,1,0.218449,1.514533,[16 98] ; [ 2 31],[ 13.95918367 100.04081633] ; [ 4.04081633 28.95918367],0
u3,1,0.250234,1.321994,[18 13] ; [6 9],[16.17391304 14.82608696] ; [7.82608696 7.17391304],0
a6,1,0.254399,1.298986,[81 33] ; [20 13],[78.32653061 35.67346939] ; [22.67346939 10.32653061],0
d3,1,0.314873,1.010123,[84 30] ; [20 11],[81.76551724 32.23448276] ; [22.23448276  8.76551724],0
p5,1,0.332845,0.937799,[18 96] ; [ 3 30],[16.28571429 97.71428571] ; [ 4.71428571 28.28571429],0
u4,1,0.347098,0.884037,[  1 113] ; [ 1 32],[  1.55102041 112.44897959] ; [ 0.44897959 32.55102041],0
p11,1,0.384281,0.756961,[91 23] ; [24  9],[89.18367347 24.81632653] ; [25.81632653  7.18367347],0
p9,1,0.388543,0.743496,[97 17] ; [26  7],[95.3877551 18.6122449] ; [27.6122449  5.3877551],0
a1,1,0.419262,0.652382,[  6 108] ; [ 3 30],[  6.97959184 107.02040816] ; [ 2.02040816 30.97959184],0
a8,1,0.423966,0.639296,[11 88] ; [ 2 30],[ 9.82442748 89.17557252] ; [ 3.17557252 28.82442748],0
v3,1,0.459386,0.54739,[39 72] ; [ 9 23],[37.25874126 73.74125874] ; [10.74125874 21.25874126],0
p12,1,0.522576,0.408807,[ 11 103] ; [ 2 31],[ 10.08163265 103.91836735] ; [ 2.91836735 30.08163265],0
n3,1,0.549667,0.357914,[16  7] ; [11  3],[16.78378378  6.21621622] ; [10.21621622  3.78378378],0
b4,1,0.554538,0.349249,[66 48] ; [21 12],[67.46938776 46.53061224] ; [19.53061224 13.46938776],0
b2,1,0.581652,0.303571,[27 41] ; [8 9],[28. 40.] ; [ 7. 10.],0
b3,1,0.581652,0.303571,[27 41] ; [8 9],[28. 40.] ; [ 7. 10.],0
n2,1,0.588355,0.292921,[19  5] ; [10  4],[18.31578947  5.68421053] ; [10.68421053  3.31578947],0
v2,1,0.625886,0.237682,[62 51] ; [16 16],[60.7862069 52.2137931] ; [17.2137931 14.7862069],0
s5,1,0.800664,0.06375,[37 73] ; [10 22],[36.4084507 73.5915493] ; [10.5915493 21.4084507],0
d5,1,0.877561,0.023735,[87 27] ; [24  8],[86.67123288 27.32876712] ; [24.32876712  7.67123288],0
s4,1,0.906832,0.013697,[21 89] ; [ 6 27],[20.76923077 89.23076923] ; [ 6.23076923 26.76923077],0
u2,1,0.926526,0.008504,[17 14] ; [9 7],[17.14893617 13.85106383] ; [8.85106383 7.14893617],0
b5,1,0.954495,0.003256,[65 49] ; [19 14],[65.14285714 48.85714286] ; [18.85714286 14.14285714],0
