Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.00247,9.162414,[19 11] ; [80 11],[24.54545455  5.45454545] ; [74.45454545 16.54545455],0
d1,1,0.021591,5.27848,[25  5] ; [55 36],[19.83471074 10.16528926] ; [60.16528926 30.83471074],0
d2,1,0.050973,3.809157,[24  6] ; [55 36],[19.58677686 10.41322314] ; [59.41322314 31.58677686],0
p4,1,0.081364,3.037441,[20 10] ; [44 47],[15.8677686 14.1322314] ; [48.1322314 42.8677686],0
a5,1,0.108181,2.5806,[25  5] ; [62 29],[21.57024793  8.42975207] ; [65.42975207 25.57024793],0
p9,1,0.129804,2.294842,[28  2] ; [72 16],[25.42372881  4.57627119] ; [74.57627119 13.42372881],0
p8,1,0.14331,2.142055,[11 19] ; [21 70],[ 7.9338843 22.0661157] ; [24.0661157 66.9338843],0
d5,1,0.145104,2.122978,[28  2] ; [75 16],[25.53719008  4.46280992] ; [77.46280992 13.53719008],0
v2,1,0.14831,2.089544,[19 10] ; [42 42],[15.65486726 13.34513274] ; [45.34513274 38.65486726],0
b3,1,0.150216,2.070059,[11 11] ; [21 43],[ 8.18604651 13.81395349] ; [23.81395349 40.18604651],0
b2,1,0.150216,2.070059,[11 11] ; [21 43],[ 8.18604651 13.81395349] ; [23.81395349 40.18604651],0
n3,1,0.183725,1.767231,[9 2] ; [16 11],[7.23684211 3.76315789] ; [17.76315789  9.23684211],0
s3,1,0.206172,1.598103,[19 11] ; [67 22],[21.68067227  8.31932773] ; [64.31932773 24.68067227],0
n4,1,0.209887,1.572205,[26  4] ; [69 22],[23.55371901  6.44628099] ; [71.44628099 19.55371901],0
b1,1,0.211903,1.558378,[ 9 21] ; [39 52],[11.90082645 18.09917355] ; [36.09917355 54.90082645],0
p1,1,0.227048,1.45926,[ 5 25] ; [ 8 83],[ 3.2231405 26.7768595] ; [ 9.7768595 81.2231405],0
p2,1,0.229181,1.445937,[23  7] ; [59 32],[20.33057851  9.66942149] ; [61.66942149 29.33057851],0
v3,1,0.246741,1.34166,[10 19] ; [38 43],[12.65454545 16.34545455] ; [35.34545455 45.65454545],0
a2,1,0.302365,1.063736,[ 6 24] ; [27 64],[ 8.18181818 21.81818182] ; [24.81818182 66.18181818],0
p5,1,0.304891,1.05268,[ 1 29] ; [ 8 80],[ 2.28813559 27.71186441] ; [ 6.71186441 81.28813559],0
a4,1,0.317788,0.998028,[17 13] ; [42 49],[14.62809917 15.37190083] ; [44.37190083 46.62809917],0
d4,1,0.322208,0.979963,[27  3] ; [75 16],[25.2892562  4.7107438] ; [76.7107438 14.2892562],0
s6,1,0.331569,0.942761,[23  7] ; [76 14],[24.75  5.25] ; [74.25 15.75],0
v1,1,0.354646,0.856764,[16 12] ; [40 45],[13.87610619 14.12389381] ; [42.12389381 42.87610619],0
a6,1,0.360148,0.837376,[17 13] ; [60 31],[19.09090909 10.90909091] ; [57.90909091 33.09090909],0
n6,1,0.363123,0.827064,[24  6] ; [79 12],[25.53719008  4.46280992] ; [77.46280992 13.53719008],0
b4,1,0.366332,0.816067,[16 14] ; [57 34],[18.09917355 11.90082645] ; [54.90082645 36.09917355],0
u1,1,0.372065,0.796756,[ 9 21] ; [20 71],[ 7.19008264 22.80991736] ; [21.80991736 69.19008264],0
s1,1,0.398215,0.713709,[ 2 27] ; [ 3 88],[ 1.20833333 27.79166667] ; [ 3.79166667 87.20833333],0
u4,1,0.421259,0.646801,[ 2 28] ; [ 3 88],[ 1.23966942 28.76033058] ; [ 3.76033058 87.23966942],0
r2,1,0.424943,0.636605,[28  1] ; [84  7],[27.06666667  1.93333333] ; [84.93333333  6.06666667],0
s5,1,0.426674,0.631859,[10 16] ; [25 58],[ 8.34862385 17.65137615] ; [26.65137615 56.34862385],0
r4,1,0.470405,0.521025,[26  4] ; [83  8],[27.02479339  2.97520661] ; [81.97520661  9.02479339],0
s7,1,0.479476,0.500055,[23  7] ; [58 25],[21.50442478  8.49557522] ; [59.49557522 23.50442478],0
a3,1,0.483241,0.49154,[24  6] ; [67 24],[22.56198347  7.43801653] ; [68.43801653 22.56198347],0
s4,1,0.504421,0.445623,[ 6 23] ; [14 77],[ 4.83333333 24.16666667] ; [15.16666667 75.83333333],0
a8,1,0.545763,0.364963,[ 2 25] ; [ 9 69],[ 2.82857143 24.17142857] ; [ 8.17142857 69.82857143],0
n1,1,0.586682,0.295556,[6 4] ; [14 14],[5.26315789 4.73684211] ; [14.73684211 13.26315789],0
p3,1,0.637665,0.221809,[14 16] ; [38 53],[12.89256198 17.10743802] ; [39.10743802 51.89256198],0
p10,1,0.661388,0.191842,[22  8] ; [68 20],[22.88135593  7.11864407] ; [67.11864407 20.88135593],0
b5,1,0.681405,0.168548,[21  9] ; [60 31],[20.08264463  9.91735537] ; [60.91735537 30.08264463],0
r3,1,0.690558,0.158482,[27  3] ; [84  7],[27.52066116  2.47933884] ; [83.47933884  7.52066116],0
a7,1,0.705703,0.142607,[20 10] ; [64 27],[20.82644628  9.17355372] ; [63.17355372 27.82644628],0
s2,1,0.789438,0.071311,[22  8] ; [63 26],[21.42857143  8.57142857] ; [63.57142857 25.42857143],0
d3,1,0.796354,0.066599,[18 12] ; [57 34],[18.59504132 11.40495868] ; [56.40495868 34.59504132],0
v4,1,0.799874,0.064267,[29  1] ; [87  4],[28.76033058  1.23966942] ; [87.23966942  3.76033058],0
a1,1,0.799874,0.064267,[ 1 29] ; [ 4 87],[ 1.23966942 28.76033058] ; [ 3.76033058 87.23966942],0
n2,1,0.801336,0.063312,[7 4] ; [19  9],[7.33333333 3.66666667] ; [18.66666667  9.33333333],0
p12,1,0.873382,0.025397,[ 4 26] ; [11 79],[ 3.75 26.25] ; [11.25 78.75],0
n5,1,0.90416,0.014498,[22  8] ; [67 23],[22.25  7.75] ; [66.75 23.25],0
p11,1,0.970496,0.001368,[20 10] ; [61 30],[20.08264463  9.91735537] ; [60.91735537 30.08264463],0
