Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,40.49933,[41 59] ; [190  58],[66.37931034 33.62068966] ; [164.62068966  83.37931034],1
a6,1,0.0,38.106908,[46 54] ; [198  51],[69.91404011 30.08595989] ; [174.08595989  74.91404011],1
a2,1,0.00016,14.247849,[ 6 94] ; [ 58 191],[18.33810888 81.66189112] ; [ 45.66189112 203.33810888],1
r3,1,0.000898,11.027276,[86 14] ; [238  10],[93.10344828  6.89655172] ; [230.89655172  17.10344828],1
u1,1,0.001679,9.871506,[ 4 96] ; [ 41 208],[12.89398281 87.10601719] ; [ 32.10601719 216.89398281],0
r4,1,0.004189,8.199849,[79 21] ; [225  24],[87.10601719 12.89398281] ; [216.89398281  32.10601719],0
v4,1,0.005235,7.796417,[87 12] ; [238  10],[92.72334294  6.27665706] ; [232.27665706  15.72334294],0
s5,1,0.007121,7.242287,[29 67] ; [ 42 204],[19.92982456 76.07017544] ; [ 51.07017544 194.92982456],0
d5,1,0.008194,6.99055,[71 29] ; [208  41],[79.94269341 20.05730659] ; [199.05730659  49.94269341],0
v2,1,0.018929,5.50809,[45 53] ; [142  95],[54.70447761 43.29552239] ; [132.29552239 104.70447761],0
u3,1,0.059676,3.546368,[13 21] ; [46 34],[17.59649123 16.40350877] ; [41.40350877 38.59649123],0
b5,1,0.064607,3.414992,[49 51] ; [149 100],[56.73352436 43.26647564] ; [141.26647564 107.73352436],0
n5,1,0.071911,3.238842,[81 18] ; [180  68],[74.46397695 24.53602305] ; [186.53602305  61.46397695],0
r1,1,0.077323,3.120288,[72 28] ; [200  48],[78.16091954 21.83908046] ; [193.83908046  54.16091954],0
d2,1,0.084104,2.98376,[49 50] ; [ 98 151],[41.81896552 57.18103448] ; [105.18103448 143.81896552],0
d1,1,0.096413,2.763907,[46 54] ; [139 110],[53.00859599 46.99140401] ; [131.99140401 117.00859599],0
b2,1,0.119486,2.424052,[27 31] ; [49 92],[22.15075377 35.84924623] ; [53.84924623 87.15075377],0
b3,1,0.119486,2.424052,[27 31] ; [49 92],[22.15075377 35.84924623] ; [53.84924623 87.15075377],0
s1,1,0.11969,2.42137,[ 3 97] ; [  2 246],[ 1.43678161 98.56321839] ; [  3.56321839 244.43678161],0
s4,1,0.124339,2.3618,[15 85] ; [ 23 224],[10.95100865 89.04899135] ; [ 27.04899135 219.95100865],0
b1,1,0.13352,2.251094,[41 59] ; [ 81 168],[34.95702006 65.04297994] ; [ 87.04297994 161.95702006],0
n3,1,0.136641,2.215385,[20  4] ; [32 16],[17.33333333  6.66666667] ; [34.66666667 13.33333333],0
a8,1,0.1491,2.081433,[ 7 90] ; [ 28 192],[10.70977918 86.29022082] ; [ 24.29022082 195.70977918],0
v3,1,0.153261,2.03949,[30 68] ; [ 94 148],[35.74117647 62.25882353] ; [ 88.25882353 153.74117647],0
s3,1,0.188905,1.726134,[27 72] ; [ 51 195],[22.3826087 76.6173913] ; [ 55.6173913 190.3826087],0
