Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,9.8e-05,15.170744,[17 43] ; [22  9],[25.71428571 34.28571429] ; [13.28571429 17.71428571],1
p6,1,0.00017,14.133679,[ 8 52] ; [15 15],[15.33333333 44.66666667] ; [ 7.66666667 22.33333333],1
p2,1,0.003756,8.398032,[29 30] ; [25  6],[35.4 23.6] ; [18.6 12.4],0
p8,1,0.004962,7.89319,[12 48] ; [15 16],[17.8021978 42.1978022] ; [ 9.1978022 21.8021978],0
p9,1,0.007465,7.157567,[30 28] ; [25  6],[35.84269663 22.15730337] ; [19.15730337 11.84269663],0
p5,1,0.010544,6.540638,[ 4 56] ; [ 8 23],[ 7.91208791 52.08791209] ; [ 4.08791209 26.91208791],0
n6,1,0.017378,5.657759,[32 27] ; [24  6],[37.12359551 21.87640449] ; [18.87640449 11.12359551],0
p7,1,0.027349,4.868659,[17 41] ; [16 14],[21.75 36.25] ; [11.25 18.75],0
s2,1,0.03114,4.645203,[17 43] ; [15 14],[21.57303371 38.42696629] ; [10.42696629 18.57303371],0
b1,1,0.066221,3.374298,[27 34] ; [20 11],[31.16304348 29.83695652] ; [15.83695652 15.16304348],0
s1,1,0.07394,3.193308,[ 1 60] ; [ 3 28],[ 2.65217391 58.34782609] ; [ 1.34782609 29.65217391],0
p11,1,0.088339,2.904391,[32 29] ; [22  9],[35.80434783 25.19565217] ; [18.19565217 12.80434783],0
s7,1,0.104586,2.634185,[19 38] ; [14 13],[22.39285714 34.60714286] ; [10.60714286 16.39285714],0
v1,1,0.106163,2.610422,[17 41] ; [14 16],[20.43181818 37.56818182] ; [10.56818182 19.43181818],0
p10,1,0.106771,2.601372,[30 29] ; [20  9],[33.52272727 25.47727273] ; [16.47727273 12.52272727],0
a5,1,0.143547,2.139515,[38 23] ; [24  7],[41.10869565 19.89130435] ; [20.89130435 10.10869565],0
n2,1,0.168685,1.894587,[15 14] ; [9 3],[16.97560976 12.02439024] ; [7.02439024 4.97560976],0
s5,1,0.178773,1.807792,[12 48] ; [ 9 18],[14.48275862 45.51724138] ; [ 6.51724138 20.48275862],0
p1,1,0.179956,1.797984,[ 3 57] ; [ 4 27],[ 4.61538462 55.38461538] ; [ 2.38461538 28.61538462],0
b4,1,0.194665,1.681952,[40 21] ; [16 15],[37.13043478 23.86956522] ; [18.86956522 12.13043478],0
d2,1,0.206855,1.593302,[33 26] ; [13 18],[30.15555556 28.84444444] ; [15.84444444 15.15555556],0
d4,1,0.208463,1.582071,[48 12] ; [28  3],[50.10989011  9.89010989] ; [25.89010989  5.10989011],0
u2,1,0.211555,1.56075,[14  8] ; [4 6],[12.375  9.625] ; [5.625 4.375],0
s4,1,0.216812,1.525347,[ 8 53] ; [ 7 23],[10.05494505 50.94505495] ; [ 4.94505495 25.05494505],0
p12,1,0.219303,1.508926,[ 1 60] ; [ 2 29],[ 1.98913043 59.01086957] ; [ 1.01086957 29.98913043],0
r3,1,0.304519,1.054298,[34 25] ; [20  9],[36.20454545 22.79545455] ; [17.79545455 11.20454545],0
a6,1,0.329677,0.950166,[37 24] ; [22  9],[39.11956522 21.88043478] ; [19.88043478 11.11956522],0
n4,1,0.329677,0.950166,[37 24] ; [22  9],[39.11956522 21.88043478] ; [19.88043478 11.11956522],0
d3,1,0.372392,0.795666,[39 21] ; [23  8],[40.87912088 19.12087912] ; [21.12087912  9.87912088],0
v2,1,0.411409,0.674725,[31 28] ; [13 17],[29.16853933 29.83146067] ; [14.83146067 15.16853933],0
b3,1,0.432088,0.617204,[13 24] ; [ 5 15],[11.68421053 25.31578947] ; [ 6.31578947 13.68421053],0
b2,1,0.432088,0.617204,[13 24] ; [ 5 15],[11.68421053 25.31578947] ; [ 6.31578947 13.68421053],0
a1,1,0.443275,0.587791,[ 7 54] ; [ 2 29],[ 5.9673913 55.0326087] ; [ 3.0326087 27.9673913],0
s3,1,0.482832,0.492459,[23 34] ; [14 15],[24.52325581 32.47674419] ; [12.47674419 16.52325581],0
a8,1,0.537282,0.3806,[ 4 52] ; [ 1 26],[ 3.37349398 52.62650602] ; [ 1.62650602 25.37349398],0
u3,1,0.538195,0.378896,[10 13] ; [5 4],[10.78125 12.21875] ; [4.21875 4.78125],0
s6,1,0.555874,0.346898,[25 35] ; [14 15],[26.29213483 33.70786517] ; [12.70786517 16.29213483],0
s8,1,0.568689,0.324882,[13 48] ; [ 8 22],[14.07692308 46.92307692] ; [ 6.92307692 23.07692308],0
a3,1,0.60664,0.265097,[38 23] ; [21 10],[39.11956522 21.88043478] ; [19.88043478 11.11956522],0
r1,1,0.635256,0.225,[21 39] ; [ 9 21],[20. 40.] ; [10. 20.],0
d1,1,0.810651,0.057402,[37 24] ; [18 13],[36.4673913 24.5326087] ; [18.5326087 12.4673913],0
r2,1,0.829296,0.046485,[36 18] ; [18 10],[35.56097561 18.43902439] ; [18.43902439  9.56097561],0
v4,1,0.829704,0.04626,[38 19] ; [20  9],[38.44186047 18.55813953] ; [19.55813953  9.44186047],0
n5,1,0.831636,0.0452,[36 23] ; [19 11],[36.46067416 22.53932584] ; [18.53932584 11.46067416],0
n3,1,0.835792,0.042965,[13 15] ; [6 6],[13.3 14.7] ; [5.7 6.3],0
u1,1,0.841861,0.039806,[ 7 54] ; [ 4 27],[ 7.29347826 53.70652174] ; [ 3.70652174 27.29347826],0
a7,1,0.848582,0.036454,[38 22] ; [19 12],[37.58241758 22.41758242] ; [19.41758242 11.58241758],0
v3,1,0.867834,0.027692,[17 43] ; [ 8 22],[16.66666667 43.33333333] ; [ 8.33333333 21.66666667],0
