Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,6e-06,20.552135,[  9 148] ; [4 4],[ 12.36969697 144.63030303] ; [0.63030303 7.36969697],1
p4,1,0.001958,9.588105,[ 52 103] ; [7 1],[56.10429448 98.89570552] ; [2.89570552 5.10429448],0
s8,1,0.002671,9.019747,[ 29 128] ; [5 3],[ 32.35151515 124.64848485] ; [1.64848485 6.35151515],0
s7,1,0.004657,8.008021,[ 40 104] ; [6 2],[ 43.57894737 100.42105263] ; [2.42105263 5.57894737],0
s3,1,0.006567,7.387683,[60 94] ; [7 1],[63.69135802 90.30864198] ; [3.30864198 4.69135802],0
a6,1,0.009669,6.694898,[92 64] ; [1 7],[88.46341463 67.53658537] ; [4.53658537 3.46341463],0
s6,1,0.01033,6.577123,[65 92] ; [7 1],[68.50909091 88.49090909] ; [3.49090909 4.50909091],0
p6,1,0.033962,4.496636,[ 29 124] ; [4 4],[ 31.36024845 121.63975155] ; [1.63975155 6.36024845],0
p3,1,0.04914,3.870571,[ 46 110] ; [5 3],[ 48.51219512 107.48780488] ; [2.48780488 5.51219512],0
s1,1,0.089359,2.885886,[ 12 143] ; [2 6],[ 13.31288344 141.68711656] ; [0.68711656 7.31288344],0
v2,1,0.124398,2.361051,[59 90] ; [1 7],[56.94267516 92.05732484] ; [3.05732484 4.94267516],0
p9,1,0.136672,2.215038,[72 78] ; [6 2],[74.05063291 75.94936709] ; [3.94936709 4.05063291],0
r4,1,0.168926,1.892452,[100  57] ; [7 1],[101.81212121  55.18787879] ; [5.18787879 2.81212121],0
a3,1,0.198905,1.650393,[93 61] ; [3 5],[91.25925926 62.74074074] ; [4.74074074 3.25925926],0
p8,1,0.224171,1.47747,[ 46 109] ; [4 4],[ 47.54601227 107.45398773] ; [2.45398773 5.54601227],0
u1,1,0.252546,1.309164,[ 18 139] ; [2 6],[ 19.03030303 137.96969697] ; [0.96969697 7.03030303],0
a5,1,0.286477,1.136103,[89 68] ; [3 5],[87.53939394 69.46060606] ; [4.46060606 3.53939394],0
p2,1,0.291005,1.114967,[88 69] ; [6 2],[89.44242424 67.55757576] ; [4.55757576 3.44242424],0
u2,1,0.322596,0.978394,[26 35] ; [1 4],[24.95454545 36.04545455] ; [2.04545455 2.95454545],0
b2,1,0.33351,0.935221,[30 53] ; [1 5],[28.91011236 54.08988764] ; [2.08988764 3.91011236],0
b3,1,0.33351,0.935221,[30 53] ; [1 5],[28.91011236 54.08988764] ; [2.08988764 3.91011236],0
n2,1,0.384528,0.756176,[37 26] ; [1 2],[36.27272727 26.72727273] ; [1.72727273 1.27272727],0
r3,1,0.397635,0.715468,[115  40] ; [7 1],[116.01226994  38.98773006] ; [5.98773006 2.01226994],0
a8,1,0.40786,0.685029,[  9 134] ; [1 6],[  9.53333333 133.46666667] ; [0.46666667 6.53333333],0
n3,1,0.427355,0.63,[34 26] ; [1 2],[33.33333333 26.66666667] ; [1.66666667 1.33333333],0
b1,1,0.436718,0.60489,[81 76] ; [3 5],[79.92727273 77.07272727] ; [4.07272727 3.92727273],0
b5,1,0.529095,0.396129,[96 61] ; [4 4],[95.15151515 61.84848485] ; [4.84848485 3.15151515],0
u3,1,0.568983,0.324387,[29 33] ; [3 2],[29.6119403 32.3880597] ; [2.3880597 2.6119403],0
p10,1,0.569143,0.324118,[61 92] ; [4 4],[61.77018634 91.22981366] ; [3.22981366 4.77018634],0
v4,1,0.576106,0.312573,[123  32] ; [7 1],[123.6196319  31.3803681] ; [6.3803681 1.6196319],0
a1,1,0.618925,0.247381,[ 12 145] ; [1 7],[ 12.36969697 144.63030303] ; [0.63030303 7.36969697],0
d2,1,0.62613,0.237345,[64 91] ; [4 4],[64.66257669 90.33742331] ; [3.33742331 4.66257669],0
p7,1,0.63714,0.222502,[64 90] ; [4 4],[64.64197531 89.35802469] ; [3.35802469 4.64197531],0
d5,1,0.694045,0.154741,[106  49] ; [6 2],[106.50306748  48.49693252] ; [5.49693252 2.50306748],0
d4,1,0.72114,0.127403,[107  48] ; [6 2],[107.45398773  47.54601227] ; [5.54601227 2.45398773],0
d1,1,0.736774,0.112982,[69 88] ; [4 4],[69.46060606 87.53939394] ; [3.53939394 4.46060606],0
d3,1,0.738092,0.11181,[87 67] ; [5 3],[87.45679012 66.54320988] ; [4.54320988 3.45679012],0
r2,1,0.74017,0.109977,[127  26] ; [7 1],[127.34161491  25.65838509] ; [6.65838509 1.34161491],0
s2,1,0.797727,0.065685,[ 52 105] ; [3 5],[ 52.33333333 104.66666667] ; [2.66666667 5.33333333],0
v3,1,0.805276,0.060774,[ 43 105] ; [2 6],[ 42.69230769 105.30769231] ; [2.30769231 5.69230769],0
a7,1,0.847715,0.036878,[102  53] ; [5 3],[101.74846626  53.25153374] ; [5.25153374 2.74846626],0
v1,1,0.867288,0.027924,[ 54 102] ; [3 5],[ 54.2195122 101.7804878] ; [2.7804878 5.2195122],0
b4,1,0.874145,0.025089,[83 74] ; [4 4],[82.78181818 74.21818182] ; [4.21818182 3.78181818],0
a4,1,0.966891,0.001723,[57 98] ; [3 5],[57.05521472 97.94478528] ; [2.94478528 5.05521472],0
