Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.371652,[ 32 144] ; [26 23],[ 45.36888889 130.63111111] ; [12.63111111 36.36888889],1
v3,1,2e-06,22.40682,[ 57 126] ; [34 16],[ 71.472103 111.527897] ; [19.527897 30.472103],1
s2,1,0.000244,13.45401,[ 28 161] ; [19 31],[ 37.16736402 151.83263598] ; [ 9.83263598 40.16736402],1
d1,1,0.000475,12.210578,[94 95] ; [40 12],[105.08713693  83.91286307] ; [28.91286307 23.08713693],1
p8,1,0.000903,11.016383,[ 73 112] ; [34 18],[ 83.52320675 101.47679325] ; [23.47679325 28.52320675],1
p6,1,0.001201,10.489073,[ 41 143] ; [23 28],[ 50.1106383 133.8893617] ; [13.8893617 37.1106383],0
v2,1,0.00293,8.85065,[86 94] ; [37 15],[95.43103448 84.56896552] ; [27.56896552 24.43103448],0
p9,1,0.003596,8.477084,[125  60] ; [45  6],[133.26271186  51.73728814] ; [36.73728814 14.26271186],0
p11,1,0.004007,8.280558,[134  55] ; [47  5],[141.94605809  47.05394191] ; [39.05394191 12.94605809],0
p3,1,0.004798,7.954226,[ 74 113] ; [32 20],[ 82.93723849 104.06276151] ; [23.06276151 28.93723849],0
s5,1,0.005737,7.631207,[ 19 167] ; [12 35],[ 24.74678112 161.25321888] ; [ 6.25321888 40.74678112],0
n6,1,0.006619,7.37355,[140  47] ; [48  4],[147.09623431  39.90376569] ; [40.90376569 11.09623431],0
d2,1,0.008113,7.008367,[ 83 103] ; [34 18],[91.43697479 94.56302521] ; [25.56302521 26.43697479],0
s3,1,0.009945,6.644735,[ 44 142] ; [21 29],[ 51.22881356 134.77118644] ; [13.77118644 36.22881356],0
v1,1,0.010896,6.48228,[ 77 108] ; [32 20],[85.08438819 99.91561181] ; [23.91561181 28.08438819],0
p4,1,0.012193,6.282532,[ 78 108] ; [32 20],[ 85.96638655 100.03361345] ; [24.03361345 27.96638655],0
p7,1,0.012585,6.226546,[93 94] ; [36 16],[100.93305439  86.06694561] ; [28.06694561 23.93305439],0
p12,1,0.021803,5.261448,[  3 183] ; [ 4 48],[  5.47058824 180.52941176] ; [ 1.52941176 50.47058824],0
p10,1,0.031899,4.603909,[125  62] ; [42  9],[131.21428571  55.78571429] ; [35.78571429 15.21428571],0
b2,1,0.035371,4.427165,[42 65] ; [25 18],[47.79333333 59.20666667] ; [19.20666667 23.79333333],0
