Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1e-06,25.093815,[ 56 231] ; [21 16],[ 68.20679012 218.79320988] ; [ 8.79320988 28.20679012],1
p12,1,2e-06,22.223095,[  9 283] ; [ 8 30],[ 15.04242424 276.95757576] ; [ 1.95757576 36.04242424],1
p3,1,0.002069,9.487626,[133 159] ; [28 11],[142.03021148 149.96978852] ; [18.96978852 20.03021148],0
p4,1,0.006091,7.523123,[165 127] ; [31  8],[172.90634441 119.09365559] ; [23.09365559 15.90634441],0
v3,1,0.006627,7.371438,[ 97 189] ; [21 16],[104.48297214 181.51702786] ; [13.51702786 23.48297214],0
p7,1,0.012093,6.297255,[170 120] ; [31  8],[177.17325228 112.82674772] ; [23.82674772 15.17325228],0
r2,1,0.015465,5.862719,[266  24] ; [31  8],[261.79331307  28.20668693] ; [35.20668693  3.79331307],0
u2,1,0.021624,5.27579,[50 46] ; [9 1],[53.43396226 42.56603774] ; [5.56603774 4.43396226],0
p8,1,0.023894,5.102286,[151 136] ; [28 11],[157.58588957 129.41411043] ; [21.41411043 17.58588957],0
b4,1,0.025839,4.966767,[155 138] ; [28 11],[161.50301205 131.49698795] ; [21.49698795 17.50301205],0
a1,1,0.045748,3.990839,[ 10 283] ; [ 4 35],[ 12.35542169 280.64457831] ; [ 1.64457831 37.35542169],0
b3,1,0.054976,3.682822,[ 60 106] ; [15 12],[ 64.50777202 101.49222798] ; [10.49222798 16.50777202],0
b2,1,0.054976,3.682822,[ 60 106] ; [15 12],[ 64.50777202 101.49222798] ; [10.49222798 16.50777202],0
s6,1,0.067906,3.332934,[131 160] ; [22 14],[136.1559633 154.8440367] ; [16.8440367 19.1559633],0
s7,1,0.074264,3.186164,[ 79 201] ; [15 20],[ 83.55555556 196.44444444] ; [10.44444444 24.55555556],0
p1,1,0.077774,3.11081,[ 21 272] ; [ 6 33],[ 23.82831325 269.17168675] ; [ 3.17168675 35.82831325],0
a5,1,0.101907,2.67545,[212  81] ; [33  6],[216.21987952  76.78012048] ; [28.78012048 10.21987952],0
p11,1,0.103353,2.653027,[240  53] ; [36  3],[243.57831325  49.42168675] ; [32.42168675  6.57831325],0
p6,1,0.112913,2.512963,[ 99 190] ; [18 20],[103.40366972 185.59633028] ; [13.59633028 24.40366972],0
n3,1,0.134261,2.242531,[51 20] ; [2 3],[49.51315789 21.48684211] ; [3.48684211 1.51315789],0
v2,1,0.138881,2.190318,[156 129] ; [25 12],[160.20186335 124.79813665] ; [20.79813665 16.20186335],0
b1,1,0.165874,1.919846,[ 95 198] ; [17 22],[ 98.84337349 194.15662651] ; [13.15662651 25.84337349],0
v1,1,0.208655,1.580735,[157 134] ; [24 13],[160.58231707 130.41768293] ; [20.41768293 16.58231707],0
b5,1,0.2263,1.463964,[187 106] ; [21 18],[183.56626506 109.43373494] ; [24.43373494 14.56626506],0
u3,1,0.240861,1.37555,[48 47] ; [7 3],[49.76190476 45.23809524] ; [5.23809524 4.76190476],0
s8,1,0.248518,1.331618,[ 79 213] ; [14 25],[ 82.04229607 209.95770393] ; [10.95770393 28.04229607],0
d3,1,0.277838,1.177637,[197  94] ; [23 16],[194.  97.] ; [26. 13.],0
d5,1,0.314977,1.009692,[237  55] ; [29 10],[234.65861027  57.34138973] ; [31.34138973  7.65861027],0
p2,1,0.346745,0.885334,[244  48] ; [34  4],[245.98787879  46.01212121] ; [32.01212121  5.98787879],0
n4,1,0.366702,0.814811,[213  80] ; [31  8],[215.3373494  77.6626506] ; [28.6626506 10.3373494],0
n5,1,0.37105,0.800144,[211  79] ; [31  8],[213.31306991  76.68693009] ; [28.68693009 10.31306991],0
a3,1,0.384966,0.754783,[197  95] ; [29 10],[199.37160121  92.62839879] ; [26.62839879 12.37160121],0
r1,1,0.431286,0.619359,[220  73] ; [27 12],[217.98493976  75.01506024] ; [29.01506024  9.98493976],0
s4,1,0.478956,0.501239,[ 35 255] ; [ 3 34],[ 33.70030581 256.29969419] ; [ 4.29969419 32.70030581],0
u1,1,0.509334,0.435435,[ 41 252] ; [ 7 32],[ 42.36144578 250.63855422] ; [ 5.63855422 33.36144578],0
a8,1,0.517528,0.418818,[ 33 227] ; [ 3 31],[ 31.83673469 228.16326531] ; [ 4.16326531 29.83673469],0
