Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,38.309616,[101  13] ; [16 24],[86.61038961 27.38961039] ; [30.38961039  9.61038961],1
n6,1,5.2e-05,16.367412,[103  11] ; [25 15],[94.75324675 19.24675325] ; [33.24675325  6.75324675],1
s7,1,0.011867,6.330654,[57 50] ; [12 28],[50.2244898 56.7755102] ; [18.7755102 21.2244898],0
n2,1,0.016785,5.718726,[25  5] ; [8 8],[21.52173913  8.47826087] ; [11.47826087  4.52173913],0
s8,1,0.02555,4.986187,[57 56] ; [12 28],[50.96078431 62.03921569] ; [18.03921569 21.96078431],0
d3,1,0.034229,4.483225,[77 37] ; [34  6],[82.16883117 31.83116883] ; [28.83116883 11.16883117],0
a7,1,0.040047,4.215904,[77 36] ; [34  6],[81.98039216 31.01960784] ; [29.01960784 10.98039216],0
s2,1,0.047199,3.938266,[63 50] ; [15 25],[57.60784314 55.39215686] ; [20.39215686 19.60784314],0
p11,1,0.047811,3.91661,[87 27] ; [24 16],[82.16883117 31.83116883] ; [28.83116883 11.16883117],0
s4,1,0.05721,3.616466,[ 10 104] ; [ 8 32],[ 13.32467532 100.67532468] ; [ 4.67532468 35.32467532],0
s3,1,0.071557,3.246934,[63 46] ; [16 23],[58.18243243 50.81756757] ; [20.81756757 18.18243243],0
n1,1,0.082934,3.006447,[10 17] ; [ 2 14],[ 7.53488372 19.46511628] ; [ 4.46511628 11.53488372],0
a2,1,0.089609,2.881375,[29 85] ; [ 5 35],[25.16883117 88.83116883] ; [ 8.83116883 31.16883117],0
s6,1,0.093057,2.820683,[77 35] ; [21 18],[72.68874172 39.31125828] ; [25.31125828 13.68874172],0
r1,1,0.094802,2.79089,[94 20] ; [28 12],[90.31168831 23.68831169] ; [31.68831169  8.31168831],0
u3,1,0.099228,2.717906,[19 12] ; [4 8],[16.58139535 14.41860465] ; [6.41860465 5.58139535],0
p6,1,0.124212,2.363395,[31 81] ; [ 6 33],[27.44370861 84.55629139] ; [ 9.55629139 29.44370861],0
p7,1,0.13002,2.29227,[54 54] ; [14 25],[49.95918367 58.04081633] ; [18.04081633 20.95918367],0
p10,1,0.182714,1.775409,[85 27] ; [26 14],[81.78947368 30.21052632] ; [29.21052632 10.78947368],0
d5,1,0.29507,1.096342,[88 26] ; [34  6],[90.31168831 23.68831169] ; [31.68831169  8.31168831],0
s5,1,0.318476,0.995193,[35 76] ; [ 9 30],[32.56 78.44] ; [11.44 27.56],0
a4,1,0.324488,0.97077,[53 61] ; [15 25],[50.33766234 63.66233766] ; [17.66233766 22.33766234],0
u1,1,0.367965,0.810526,[18 96] ; [ 4 36],[16.28571429 97.71428571] ; [ 5.71428571 34.28571429],0
u2,1,0.375678,0.784798,[17 14] ; [9 4],[18.31818182 12.68181818] ; [7.68181818 5.31818182],0
b1,1,0.378274,0.776304,[37 77] ; [10 30],[34.79220779 79.20779221] ; [12.20779221 27.79220779],0
d4,1,0.378598,0.775249,[92 21] ; [35  5],[93.79738562 19.20261438] ; [33.20261438  6.79738562],0
b5,1,0.379528,0.772229,[68 46] ; [27 13],[70.32467532 43.67532468] ; [24.67532468 15.32467532],0
