Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,74.408979,[55 37] ; [272  14],[79.58730159 12.41269841] ; [247.41269841  38.58730159],1
r2,1,0.0,25.570496,[70 18] ; [272  11],[81.1212938  6.8787062] ; [260.8787062  22.1212938],1
a5,1,1e-06,23.783796,[43 49] ; [212  74],[62.06349206 29.93650794] ; [192.93650794  93.06349206],1
r3,1,1.2e-05,19.166036,[78 13] ; [278   7],[86.15957447  4.84042553] ; [269.84042553  15.15957447],1
d1,1,1.7e-05,18.542352,[30 62] ; [167 119],[47.94708995 44.05291005] ; [149.05291005 136.94708995],1
d5,1,2.6e-05,17.725006,[54 37] ; [231  54],[68.97606383 22.02393617] ; [216.02393617  68.97606383],1
s6,1,7.2e-05,15.749211,[41 48] ; [196  87],[56.7016129 32.2983871] ; [180.2983871 102.7016129],1
v4,1,7.4e-05,15.69399,[77 13] ; [275   9],[84.70588235  5.29411765] ; [267.29411765  16.70588235],1
d3,1,0.000132,14.609771,[47 43] ; [210  75],[61.68 28.32] ; [195.32  89.68],1
v2,1,0.000141,14.491211,[30 58] ; [154 114],[45.48314607 42.51685393] ; [138.51685393 129.48314607],1
a7,1,0.000208,13.753313,[51 40] ; [218  68],[64.93103448 26.06896552] ; [204.06896552  81.93103448],1
d4,1,0.000217,13.673957,[62 30] ; [242  43],[74.18567639 17.81432361] ; [229.81432361  55.18567639],1
a6,1,0.000243,13.467186,[46 46] ; [202  83],[60.5198939 31.4801061] ; [187.4801061  97.5198939],1
s8,1,0.000392,12.569902,[21 71] ; [124 161],[35.38461538 56.61538462] ; [109.61538462 175.38461538],1
s7,1,0.000595,11.791468,[23 66] ; [130 150],[36.90243902 52.09756098] ; [116.09756098 163.90243902],1
v1,1,0.001456,10.133176,[29 58] ; [148 132],[41.95912807 45.04087193] ; [135.04087193 144.95912807],0
a3,1,0.006259,7.474259,[49 42] ; [198  87],[59.77925532 31.22074468] ; [187.22074468  97.77925532],0
a2,1,0.007767,7.086312,[ 9 83] ; [ 64 222],[17.76719577 74.23280423] ; [ 55.23280423 230.76719577],0
p7,1,0.007865,7.064004,[34 54] ; [151 124],[44.84848485 43.15151515] ; [140.15151515 134.84848485],0
a4,1,0.0103,6.582238,[28 64] ; [130 155],[38.55702918 53.44297082] ; [119.44297082 165.55702918],0
s3,1,0.012599,6.224592,[39 52] ; [162 118],[49.30188679 41.69811321] ; [151.69811321 128.30188679],0
u1,1,0.032872,4.552413,[ 5 87] ; [ 39 247],[10.70899471 81.29100529] ; [ 33.29100529 252.70899471],0
u3,1,0.034276,4.480889,[16 27] ; [49 37],[21.66666667 21.33333333] ; [43.33333333 42.66666667],0
a1,1,0.039746,4.228706,[ 7 85] ; [  8 278],[ 3.65079365 88.34920635] ; [ 11.34920635 274.65079365],0
n6,1,0.043792,4.064577,[68 24] ; [236  47],[74.58133333 17.41866667] ; [229.41866667  53.58133333],0
n4,1,0.049653,3.853127,[57 35] ; [208  78],[64.4973545 27.5026455] ; [200.5026455  85.4973545],0
s2,1,0.091959,2.839735,[38 54] ; [145 137],[45.01604278 46.98395722] ; [137.98395722 144.01604278],0
d2,1,0.108418,2.577132,[31 61] ; [123 162],[37.58090186 54.41909814] ; [116.41909814 168.58090186],0
v3,1,0.12726,2.325613,[23 66] ; [ 94 178],[28.84487535 60.15512465] ; [ 88.15512465 183.84487535],0
p2,1,0.143209,2.143134,[68 22] ; [236  50],[72.76595745 17.23404255] ; [231.23404255  54.76595745],0
p4,1,0.157379,1.999231,[29 62] ; [114 170],[34.70133333 56.29866667] ; [108.29866667 175.70133333],0
b1,1,0.170024,1.882728,[33 59] ; [ 81 205],[27.74603175 64.25396825] ; [ 86.25396825 199.74603175],0
p10,1,0.194158,1.685778,[75 16] ; [251  35],[78.68965517 12.31034483] ; [247.31034483  38.68965517],0
p11,1,0.210613,1.567207,[68 24] ; [229  57],[72.28571429 19.71428571] ; [224.71428571  61.28571429],0
b4,1,0.278983,1.17204,[58 34] ; [162 124],[53.54497354 38.45502646] ; [166.45502646 119.54497354],0
s5,1,0.284726,1.144394,[21 68] ; [ 81 194],[24.93956044 64.06043956] ; [ 77.06043956 197.93956044],0
p8,1,0.371419,0.798912,[32 57] ; [116 165],[35.6 53.4] ; [112.4 168.6],0
s4,1,0.376198,0.783089,[19 73] ; [ 47 236],[16.192 75.808] ; [ 49.808 233.192],0
u2,1,0.383068,0.760833,[20 23] ; [47 39],[22.33333333 20.66666667] ; [44.66666667 41.33333333],0
p5,1,0.476331,0.507253,[ 7 84] ; [ 16 268],[ 5.58133333 85.41866667] ; [ 17.41866667 266.58133333],0
n2,1,0.496513,0.462382,[27  6] ; [60 19],[25.63392857  7.36607143] ; [61.36607143 17.63392857],0
n5,1,0.506927,0.440406,[63 29] ; [204  79],[65.504 26.496] ; [201.496  81.504],0
u4,1,0.604773,0.267858,[ 2 90] ; [  4 282],[ 1.46031746 90.53968254] ; [  4.53968254 281.46031746],0
a8,1,0.622147,0.242861,[11 75] ; [ 39 222],[12.39193084 73.60806916] ; [ 37.60806916 223.39193084],0
b5,1,0.635199,0.225076,[62 30] ; [185 101],[60.11640212 31.88359788] ; [186.88359788  99.11640212],0
p12,1,0.656755,0.19749,[ 4 87] ; [ 16 270],[ 4.82758621 86.17241379] ; [ 15.17241379 270.82758621],0
s1,1,0.660466,0.192958,[ 3 89] ; [ 12 267],[ 3.71967655 88.28032345] ; [ 11.28032345 267.71967655],0
n1,1,0.72719,0.121708,[13 20] ; [28 50],[12.18918919 20.81081081] ; [28.81081081 49.18918919],0
p6,1,0.751228,0.100502,[22 67] ; [ 75 209],[23.14477212 65.85522788] ; [ 73.85522788 210.14477212],0
p1,1,0.819916,0.051826,[ 5 86] ; [ 14 272],[ 4.5862069 86.4137931] ; [ 14.4137931 271.5862069],0
n3,1,0.920282,0.010016,[24  9] ; [56 22],[23.78378378  9.21621622] ; [56.21621622 21.78378378],0
b3,1,0.952821,0.003501,[18 33] ; [ 54 101],[17.82524272 33.17475728] ; [ 54.17475728 100.82524272],0
b2,1,0.952821,0.003501,[18 33] ; [ 54 101],[17.82524272 33.17475728] ; [ 54.17475728 100.82524272],0
