Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000339,12.841933,[32  5] ; [12 15],[25.4375 11.5625] ; [18.5625  8.4375],1
n1,1,0.015629,5.844156,[6 3] ; [1 8],[3.5 5.5] ; [3.5 5.5],0
s3,1,0.020932,5.33241,[36  2] ; [21  7],[32.81818182  5.18181818] ; [24.18181818  3.81818182],0
r4,1,0.031096,4.647634,[35  3] ; [21  8],[31.76119403  6.23880597] ; [24.23880597  4.76119403],0
s6,1,0.033246,4.53306,[33  4] ; [19  9],[29.6  7.4] ; [22.4  5.6],0
a8,1,0.034354,4.476976,[ 8 26] ; [ 1 25],[ 5.1 28.9] ; [ 3.9 22.1],0
v1,1,0.04815,3.904746,[21 17] ; [ 9 20],[17.01492537 20.98507463] ; [12.98507463 16.01492537],0
a5,1,0.052376,3.76372,[26 12] ; [13 16],[22.11940299 15.88059701] ; [16.88059701 12.11940299],0
p4,1,0.066811,3.359689,[23 15] ; [11 18],[19.28358209 18.71641791] ; [14.71641791 14.28358209],0
r3,1,0.112249,2.522271,[36  2] ; [24  5],[34.02985075  3.97014925] ; [25.97014925  3.02985075],0
s4,1,0.172863,1.857936,[ 9 29] ; [11 17],[11.51515152 26.48484848] ; [ 8.48484848 19.51515152],0
d2,1,0.181461,1.785618,[12 26] ; [ 5 24],[ 9.64179104 28.35820896] ; [ 7.35820896 21.64179104],0
n5,1,0.198579,1.652791,[31  7] ; [19  9],[28.78787879  9.21212121] ; [21.21212121  6.78787879],0
v4,1,0.220653,1.50012,[35  2] ; [24  4],[33.58461538  3.41538462] ; [25.41538462  2.58461538],0
p10,1,0.23723,1.396981,[32  5] ; [21  7],[30.16923077  6.83076923] ; [22.83076923  5.16923077],0
p9,1,0.239291,1.384765,[32  6] ; [21  8],[30.05970149  7.94029851] ; [22.94029851  6.05970149],0
n6,1,0.247388,1.337995,[34  4] ; [23  6],[32.32835821  5.67164179] ; [24.67164179  4.32835821],0
u3,1,0.260679,1.265147,[9 7] ; [5 9],[7.46666667 8.53333333] ; [6.53333333 7.46666667],0
a4,1,0.265493,1.239888,[11 27] ; [ 5 24],[ 9.07462687 28.92537313] ; [ 6.92537313 22.07462687],0
s5,1,0.3102,1.029824,[16 21] ; [ 9 20],[14.01515152 22.98484848] ; [10.98484848 18.01515152],0
u2,1,0.337904,0.918367,[ 6 10] ; [ 3 11],[ 4.8 11.2] ; [4.2 9.8],0
v2,1,0.383916,0.758124,[18 19] ; [11 18],[16.25757576 20.74242424] ; [12.74242424 16.25757576],0
d5,1,0.394454,0.725168,[23 15] ; [14 14],[21.3030303 16.6969697] ; [15.6969697 12.3030303],0
d3,1,0.411577,0.67424,[10 28] ; [10 18],[11.51515152 26.48484848] ; [ 8.48484848 19.51515152],0
r2,1,0.416901,0.659033,[36  1] ; [27  2],[35.31818182  1.68181818] ; [27.68181818  1.31818182],0
p5,1,0.432839,0.615194,[ 5 33] ; [ 2 26],[ 4.03030303 33.96969697] ; [ 2.96969697 25.03030303],0
p7,1,0.446513,0.579488,[26 12] ; [16 11],[24.55384615 13.44615385] ; [17.44615385  9.55384615],0
u1,1,0.446597,0.579275,[ 3 35] ; [ 1 28],[ 2.26865672 35.73134328] ; [ 1.73134328 27.26865672],0
n3,1,0.465693,0.532176,[9 1] ; [7 2],[8.42105263 1.57894737] ; [7.57894737 1.42105263],0
p6,1,0.475337,0.509541,[15 23] ; [ 9 20],[13.6119403 24.3880597] ; [10.3880597 18.6119403],0
v3,1,0.481157,0.496241,[14 24] ; [ 8 20],[12.66666667 25.33333333] ; [ 9.33333333 18.66666667],0
r1,1,0.513024,0.427894,[27 10] ; [19 10],[25.78787879 11.21212121] ; [20.21212121  8.78787879],0
b4,1,0.526691,0.400772,[18 20] ; [16 13],[19.28358209 18.71641791] ; [14.71641791 14.28358209],0
p3,1,0.540618,0.374396,[15 23] ; [ 9 19],[13.81818182 24.18181818] ; [10.18181818 17.81818182],0
p11,1,0.562497,0.335399,[25 13] ; [21  8],[26.08955224 11.91044776] ; [19.91044776  9.08955224],0
b1,1,0.575736,0.313179,[17 21] ; [11 18],[15.88059701 22.11940299] ; [12.11940299 16.88059701],0
a3,1,0.61478,0.253273,[22 16] ; [15 14],[20.98507463 17.01492537] ; [16.01492537 12.98507463],0
p2,1,0.653629,0.201356,[29  9] ; [20  8],[28.21212121  9.78787879] ; [20.78787879  7.21212121],0
s1,1,0.753739,0.098416,[ 3 34] ; [ 3 26],[ 3.36363636 33.63636364] ; [ 2.63636364 26.36363636],0
b5,1,0.773455,0.082863,[21 17] ; [15 14],[20.41791045 17.58208955] ; [15.58208955 13.41791045],0
p12,1,0.84568,0.037882,[ 1 37] ; [ 1 28],[ 1.13432836 36.86567164] ; [ 0.86567164 28.13432836],0
