Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,4.1e-05,16.814357,[ 1 27] ; [13 11],[ 7.53846154 20.46153846] ; [ 6.46153846 17.53846154],1
p11,1,0.000246,13.442139,[ 6 23] ; [17  7],[12.58490566 16.41509434] ; [10.41509434 13.58490566],1
p10,1,0.000567,11.882075,[ 5 23] ; [15  8],[10.98039216 17.01960784] ; [ 9.01960784 13.98039216],1
p9,1,0.006002,7.549634,[ 7 21] ; [14  8],[11.76 16.24] ; [ 9.24 12.76],0
s2,1,0.016535,5.745082,[ 4 25] ; [10 13],[ 7.80769231 21.19230769] ; [ 6.19230769 16.80769231],0
n6,1,0.020484,5.370198,[ 8 20] ; [14  9],[12.07843137 15.92156863] ; [ 9.92156863 13.07843137],0
s6,1,0.021959,5.249011,[ 4 25] ; [10 14],[ 7.66037736 21.33962264] ; [ 6.33962264 17.66037736],0
p2,1,0.038279,4.292573,[ 6 23] ; [11 12],[ 9.48076923 19.51923077] ; [ 7.51923077 15.48076923],0
p1,1,0.043217,4.086897,[ 7 22] ; [ 1 23],[ 4.37735849 24.62264151] ; [ 3.62264151 20.37735849],0
n3,1,0.054319,3.702857,[ 4 11] ; [6 3],[6.25 8.75] ; [3.75 5.25],0
d5,1,0.066405,3.369721,[12 17] ; [16  8],[15.32075472 13.67924528] ; [12.67924528 11.32075472],0
b5,1,0.074914,3.171916,[11 18] ; [15  9],[14.22641509 14.77358491] ; [11.77358491 12.22641509],0
a1,1,0.076979,3.127566,[ 6 23] ; [ 1 23],[ 3.83018868 25.16981132] ; [ 3.16981132 20.83018868],0
u2,1,0.077598,3.11451,[ 1 11] ; [4 6],[2.72727273 9.27272727] ; [2.27272727 7.72727273],0
d4,1,0.08184,3.027978,[15 14] ; [18  6],[18.05660377 10.94339623] ; [14.94339623  9.05660377],0
b4,1,0.08184,3.027978,[15 14] ; [18  6],[18.05660377 10.94339623] ; [14.94339623  9.05660377],0
a7,1,0.088897,2.894236,[ 9 20] ; [13 11],[12.03773585 16.96226415] ; [ 9.96226415 14.03773585],0
s7,1,0.129942,2.293202,[ 4 23] ; [ 7 14],[ 6.1875 20.8125] ; [ 4.8125 16.1875],0
p8,1,0.151872,2.05335,[ 3 25] ; [ 6 17],[ 4.94117647 23.05882353] ; [ 4.05882353 18.94117647],0
b1,1,0.219077,1.510405,[17 12] ; [10 14],[14.77358491 14.22641509] ; [12.22641509 11.77358491],0
a5,1,0.271794,1.207672,[15 14] ; [16  8],[16.96226415 12.03773585] ; [14.03773585  9.96226415],0
s5,1,0.288368,1.127223,[ 3 26] ; [ 5 19],[ 4.37735849 24.62264151] ; [ 3.62264151 20.37735849],0
p4,1,0.291533,1.112528,[ 7 22] ; [ 9 15],[ 8.75471698 20.24528302] ; [ 7.24528302 16.75471698],0
n2,1,0.404657,0.694444,[ 5 10] ; [5 5],[6. 9.] ; [4. 6.],0
n1,1,0.404657,0.694444,[7 8] ; [3 7],[6. 9.] ; [4. 6.],0
n4,1,0.421725,0.645502,[20  9] ; [14 10],[18.60377358 10.39622642] ; [15.39622642  8.60377358],0
d1,1,0.421725,0.645502,[ 9 20] ; [10 14],[10.39622642 18.60377358] ; [ 8.60377358 15.39622642],0
s3,1,0.42606,0.63354,[ 8 20] ; [ 9 14],[ 9.33333333 18.66666667] ; [ 7.66666667 15.33333333],0
a6,1,0.465329,0.533046,[15 14] ; [10 14],[13.67924528 15.32075472] ; [11.32075472 12.67924528],0
a8,1,0.480737,0.497191,[ 2 26] ; [ 3 20],[ 2.74509804 25.25490196] ; [ 2.25490196 20.74509804],0
a2,1,0.498634,0.457843,[ 3 26] ; [ 4 20],[ 3.83018868 25.16981132] ; [ 3.16981132 20.83018868],0
r2,1,0.600532,0.274195,[13 15] ; [ 9 14],[12.07843137 15.92156863] ; [ 9.92156863 13.07843137],0
d2,1,0.606498,0.265306,[12 16] ; [12 12],[12.92307692 15.07692308] ; [11.07692308 12.92307692],0
n5,1,0.620785,0.244766,[20  9] ; [15  9],[19.1509434  9.8490566] ; [15.8490566  8.1509434],0
s1,1,0.631263,0.230352,[ 5 24] ; [ 3 21],[ 4.37735849 24.62264151] ; [ 3.62264151 20.37735849],0
s4,1,0.631263,0.230352,[ 5 24] ; [ 3 21],[ 4.37735849 24.62264151] ; [ 3.62264151 20.37735849],0
p7,1,0.650072,0.205809,[ 8 21] ; [ 8 16],[ 8.75471698 20.24528302] ; [ 7.24528302 16.75471698],0
r1,1,0.650072,0.205809,[ 8 21] ; [ 8 16],[ 8.75471698 20.24528302] ; [ 7.24528302 16.75471698],0
a4,1,0.656776,0.197463,[11 17] ; [ 8 16],[10.23076923 17.76923077] ; [ 8.76923077 15.23076923],0
v3,1,0.709437,0.13884,[ 6 23] ; [ 4 20],[ 5.47169811 23.52830189] ; [ 4.52830189 19.47169811],0
b3,1,0.742867,0.107622,[ 8 14] ; [ 5 11],[ 7.52631579 14.47368421] ; [ 5.47368421 10.52631579],0
b2,1,0.742867,0.107622,[ 8 14] ; [ 5 11],[ 7.52631579 14.47368421] ; [ 5.47368421 10.52631579],0
d3,1,0.817224,0.053415,[13 16] ; [10 14],[12.58490566 16.41509434] ; [10.41509434 13.58490566],0
v1,1,0.821833,0.05071,[ 8 21] ; [ 7 16],[ 8.36538462 20.63461538] ; [ 6.63461538 16.36538462],0
p3,1,0.831659,0.045188,[ 8 21] ; [ 6 18],[ 7.66037736 21.33962264] ; [ 6.33962264 17.66037736],0
a3,1,0.86152,0.030429,[17 11] ; [14 10],[16.69230769 11.30769231] ; [14.30769231  9.69230769],0
p5,1,0.872405,0.025794,[ 2 26] ; [ 2 22],[ 2.15384615 25.84615385] ; [ 1.84615385 22.15384615],0
p12,1,0.891334,0.018664,[ 1 28] ; [ 1 23],[ 1.09433962 27.90566038] ; [ 0.90566038 23.09433962],0
