Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.775915,[ 5 13] ; [68 14],[13.14  4.86] ; [59.86 22.14],1
p9,1,1.2e-05,19.134722,[ 3 14] ; [59 21],[10.86597938  6.13402062] ; [51.13402062 28.86597938],1
p10,1,0.000535,11.989907,[ 4 14] ; [54 27],[10.54545455  7.45454545] ; [47.45454545 33.54545455],1
r3,1,0.000619,11.71765,[10  8] ; [73  9],[14.94  3.06] ; [68.06 13.94],1
s8,1,0.000865,11.095551,[ 1 17] ; [39 42],[ 7.27272727 10.72727273] ; [32.72727273 48.27272727],1
r1,1,0.001469,10.117435,[ 7 11] ; [63 19],[12.6  5.4] ; [57.4 24.6],0
n6,1,0.001501,10.07733,[ 7 10] ; [64 17],[12.31632653  4.68367347] ; [58.68367347 22.31632653],0
s2,1,0.001908,9.636434,[ 2 16] ; [42 40],[ 7.92 10.08] ; [36.08 45.92],0
s6,1,0.011687,6.357819,[ 5 13] ; [49 32],[9.81818182 8.18181818] ; [44.18181818 36.81818182],0
r2,1,0.016618,5.736296,[12  3] ; [78  3],[14.0625  0.9375] ; [75.9375  5.0625],0
a7,1,0.030135,4.701548,[9 9] ; [62 20],[12.78  5.22] ; [58.22 23.78],0
u1,1,0.035388,4.426378,[ 1 17] ; [24 58],[ 4.5 13.5] ; [20.5 61.5],0
a2,1,0.035901,4.401801,[ 2 16] ; [30 52],[ 5.76 12.24] ; [26.24 55.76],0
a6,1,0.039588,4.235458,[ 8 10] ; [56 24],[11.75510204  6.24489796] ; [52.24489796 27.75510204],0
d2,1,0.047221,3.93749,[16  1] ; [57 23],[12.79381443  4.20618557] ; [60.20618557 19.79381443],0
a8,1,0.049481,3.858966,[ 3 15] ; [ 3 72],[ 1.16129032 16.83870968] ; [ 4.83870968 70.16129032],0
v1,1,0.055387,3.670399,[ 3 14] ; [34 46],[ 6.48453608 10.51546392] ; [30.51546392 49.48453608],0
n5,1,0.056289,3.643481,[ 8 10] ; [56 26],[11.52  6.48] ; [52.48 29.52],0
p8,1,0.062899,3.459233,[ 1 17] ; [21 61],[ 3.96 14.04] ; [18.04 63.96],0
p6,1,0.069294,3.299663,[ 1 17] ; [20 60],[ 3.85714286 14.14285714] ; [17.14285714 62.85714286],0
p1,1,0.075886,3.150875,[ 3 15] ; [ 4 78],[ 1.26 16.74] ; [ 5.74 76.26],0
p4,1,0.091063,2.855478,[ 3 15] ; [30 50],[ 6.06122449 11.93877551] ; [26.93877551 53.06122449],0
v3,1,0.136209,2.220273,[ 3 14] ; [27 47],[ 5.6043956 11.3956044] ; [24.3956044 49.6043956],0
n2,1,0.200123,1.641477,[5 7] ; [22 13],[6.89361702 5.10638298] ; [20.10638298 14.89361702],0
d5,1,0.2431,1.362529,[17  1] ; [79  1],[17.63265306  0.36734694] ; [78.36734694  1.63265306],0
s7,1,0.251658,1.314075,[ 6 10] ; [41 36],[8.08602151 7.91397849] ; [38.91397849 38.08602151],0
p11,1,0.320182,0.988202,[ 8 10] ; [47 35],[9.9 8.1] ; [45.1 36.9],0
s1,1,0.320805,0.985663,[ 2 16] ; [ 4 77],[ 1.09090909 16.90909091] ; [ 4.90909091 76.09090909],0
p3,1,0.342003,0.902908,[ 4 14] ; [27 53],[ 5.69387755 12.30612245] ; [25.30612245 54.69387755],0
p7,1,0.359281,0.840404,[ 4 14] ; [26 52],[ 5.625 12.375] ; [24.375 53.625],0
v2,1,0.408166,0.684136,[ 8 10] ; [42 34],[9.57446809 8.42553191] ; [40.42553191 35.57446809],0
b1,1,0.421894,0.645032,[10  8] ; [37 45],[8.46 9.54] ; [38.54 43.46],0
a5,1,0.435603,0.607837,[13  5] ; [66 16],[14.22  3.78] ; [64.78 17.22],0
n3,1,0.437967,0.601604,[5 6] ; [20 14],[6.11111111 4.88888889] ; [18.88888889 15.11111111],0
b5,1,0.447603,0.576715,[9 9] ; [49 33],[10.44  7.56] ; [47.56 34.44],0
d3,1,0.45384,0.561043,[14  4] ; [68 12],[15.06122449  2.93877551] ; [66.93877551 13.06122449],0
a3,1,0.546368,0.363864,[15  3] ; [63 19],[14.04  3.96] ; [63.96 18.04],0
s5,1,0.586482,0.295872,[ 4 14] ; [22 55],[ 4.92631579 13.07368421] ; [21.07368421 55.92631579],0
b2,1,0.653556,0.201446,[ 5 10] ; [23 35],[5.75342466 9.24657534] ; [22.24657534 35.75342466],0
b3,1,0.653556,0.201446,[ 5 10] ; [23 35],[5.75342466 9.24657534] ; [22.24657534 35.75342466],0
s3,1,0.669408,0.182295,[ 8 10] ; [41 41],[8.82 9.18] ; [40.18 41.82],0
a4,1,0.721767,0.126806,[10  7] ; [52 30],[10.64646465  6.35353535] ; [51.35353535 30.64646465],0
b4,1,0.721976,0.126607,[12  6] ; [51 31],[11.34  6.66] ; [51.66 30.34],0
a1,1,0.729629,0.119453,[ 2 16] ; [ 7 75],[ 1.62 16.38] ; [ 7.38 74.62],0
n4,1,0.733255,0.116144,[12  6] ; [58 24],[12.6  5.4] ; [57.4 24.6],0
s4,1,0.746537,0.104464,[ 3 15] ; [16 64],[ 3.48979592 14.51020408] ; [15.51020408 64.48979592],0
p5,1,0.762834,0.09106,[ 1 17] ; [ 6 73],[ 1.29896907 16.70103093] ; [ 5.70103093 73.29896907],0
n1,1,0.797369,0.065922,[6 6] ; [16 19],[5.61702128 6.38297872] ; [16.38297872 18.61702128],0
u4,1,0.93013,0.007688,[ 1 17] ; [ 5 77],[ 1.08 16.92] ; [ 4.92 77.08],0
