Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.9e-05,17.461182,[12 30] ; [28  9],[21.26582278 20.73417722] ; [18.73417722 18.26582278],1
p2,1,8e-05,15.548219,[21 23] ; [33  4],[29.33333333 14.66666667] ; [24.66666667 12.33333333],1
p6,1,0.000978,10.869504,[ 4 38] ; [15 21],[10.23076923 31.76923077] ; [ 8.76923077 27.23076923],1
r4,1,0.001227,10.449178,[27 17] ; [35  3],[33.26829268 10.73170732] ; [28.73170732  9.26829268],0
p3,1,0.00146,10.127909,[10 33] ; [22 16],[16.98765432 26.01234568] ; [15.01234568 22.98765432],0
p11,1,0.002862,8.893616,[18 26] ; [28 10],[24.68292683 19.31707317] ; [21.31707317 16.68292683],0
s6,1,0.006177,7.49799,[20 23] ; [29  9],[26.01234568 16.98765432] ; [22.98765432 15.01234568],0
p10,1,0.009242,6.775531,[22 21] ; [30  8],[27.60493827 15.39506173] ; [24.39506173 13.60493827],0
s8,1,0.010078,6.621093,[11 33] ; [20 18],[16.63414634 27.36585366] ; [14.36585366 23.63414634],0
p8,1,0.023139,5.158071,[11 32] ; [19 19],[15.92592593 27.07407407] ; [14.07407407 23.92592593],0
u3,1,0.038214,4.295455,[5 5] ; [10  1],[7.14285714 2.85714286] ; [7.85714286 3.14285714],0
p9,1,0.045303,4.007327,[25 18] ; [30  8],[29.19753086 13.80246914] ; [25.80246914 12.19753086],0
a5,1,0.110267,2.550388,[29 15] ; [31  7],[32.19512195 11.80487805] ; [27.80487805 10.19512195],0
r2,1,0.115828,2.472849,[37  5] ; [37  1],[38.85  3.15] ; [35.15  2.85],0
p5,1,0.125896,2.342389,[ 1 42] ; [ 4 34],[ 2.65432099 40.34567901] ; [ 2.34567901 35.65432099],0
v2,1,0.149923,2.073034,[19 22] ; [22 13],[22.11842105 18.88157895] ; [18.88157895 16.11842105],0
r1,1,0.15846,1.988863,[31 13] ; [31  6],[33.67901235 10.32098765] ; [28.32098765  8.67901235],0
