Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.001108,10.637856,[11 16] ; [46 14],[17.68965517  9.31034483] ; [39.31034483 20.68965517],0
p2,1,0.00652,7.40071,[17 10] ; [52  7],[21.6627907  5.3372093] ; [47.3372093 11.6627907],0
s8,1,0.007654,7.112725,[ 4 23] ; [27 34],[ 9.51136364 17.48863636] ; [21.48863636 39.51136364],0
r3,1,0.013488,6.103925,[21  6] ; [58  3],[24.23863636  2.76136364] ; [54.76136364  6.23863636],0
p9,1,0.018093,5.587167,[14 13] ; [47 14],[18.71590909  8.28409091] ; [42.28409091 18.71590909],0
p8,1,0.047117,3.9412,[10 16] ; [37 23],[14.20930233 11.79069767] ; [32.79069767 27.20930233],0
p4,1,0.050518,3.824176,[12 15] ; [40 20],[16.13793103 10.86206897] ; [35.86206897 24.13793103],0
v4,1,0.08044,3.055996,[21  5] ; [56  4],[23.27906977  2.72093023] ; [53.72093023  6.27906977],0
r4,1,0.125666,2.34524,[16 11] ; [46 15],[19.02272727  7.97727273] ; [42.97727273 18.02272727],0
r1,1,0.125666,2.34524,[16 11] ; [46 15],[19.02272727  7.97727273] ; [42.97727273 18.02272727],0
n4,1,0.149606,2.076266,[11 16] ; [35 26],[14.11363636 12.88636364] ; [31.88636364 29.11363636],0
b1,1,0.154162,2.030577,[21  6] ; [38 23],[18.10227273  8.89772727] ; [40.89772727 20.10227273],0
a4,1,0.172824,1.858275,[12 15] ; [18 43],[ 9.20454545 17.79545455] ; [20.79545455 40.20454545],0
s4,1,0.210169,1.570262,[ 7 20] ; [ 9 52],[ 4.90909091 22.09090909] ; [11.09090909 49.90909091],0
d2,1,0.225019,1.472073,[13 13] ; [22 39],[10.45977011 15.54022989] ; [24.54022989 36.45977011],0
s1,1,0.298022,1.083025,[ 3 24] ; [ 3 57],[ 1.86206897 25.13793103] ; [ 4.13793103 55.86206897],0
n1,1,0.332474,0.939239,[2 9] ; [5 9],[3.08 7.92] ; [ 3.92 10.08],0
d5,1,0.338214,0.917188,[17  9] ; [46 15],[18.82758621  7.17241379] ; [44.17241379 16.82758621],0
s7,1,0.360821,0.835032,[ 7 16] ; [24 34],[ 8.80246914 14.19753086] ; [22.19753086 35.80246914],0
s3,1,0.366472,0.815594,[17 10] ; [31 28],[15.06976744 11.93023256] ; [32.93023256 26.06976744],0
n2,1,0.372929,0.793882,[8 3] ; [13  2],[8.88461538 2.11538462] ; [12.11538462  2.88461538],0
b3,1,0.386469,0.750022,[ 2 15] ; [ 8 29],[ 3.14814815 13.85185185] ; [ 6.85185185 30.14814815],0
b2,1,0.386469,0.750022,[ 2 15] ; [ 8 29],[ 3.14814815 13.85185185] ; [ 6.85185185 30.14814815],0
n3,1,0.389505,0.740488,[9 2] ; [10  5],[8.03846154 2.96153846] ; [10.96153846  4.03846154],0
d3,1,0.404249,0.69565,[14 11] ; [40 21],[15.69767442  9.30232558] ; [38.30232558 22.69767442],0
a5,1,0.456602,0.55421,[15 12] ; [39 22],[16.56818182 10.43181818] ; [37.43181818 23.56818182],0
s2,1,0.491546,0.473141,[12 15] ; [22 38],[10.55172414 16.44827586] ; [23.44827586 36.55172414],0
a6,1,0.507683,0.43884,[16 10] ; [42 19],[17.33333333  8.66666667] ; [40.66666667 20.33333333],0
a2,1,0.513246,0.427444,[ 6 21] ; [10 51],[ 4.90909091 22.09090909] ; [11.09090909 49.90909091],0
p3,1,0.553638,0.35084,[14 13] ; [27 33],[12.72413793 14.27586207] ; [28.27586207 31.72413793],0
a7,1,0.570114,0.322491,[16 11] ; [40 21],[17.18181818  9.81818182] ; [38.81818182 22.18181818],0
n5,1,0.590265,0.289931,[12 14] ; [32 29],[13.14942529 12.85057471] ; [30.85057471 30.14942529],0
d4,1,0.605072,0.267414,[19  6] ; [43 18],[18.02325581  6.97674419] ; [43.97674419 17.02325581],0
v1,1,0.640173,0.218516,[10 17] ; [25 34],[10.98837209 16.01162791] ; [24.01162791 34.98837209],0
d1,1,0.788277,0.072119,[12 15] ; [29 32],[12.57954545 14.42045455] ; [28.42045455 32.57954545],0
a1,1,0.800882,0.063608,[ 1 26] ; [ 3 58],[ 1.22727273 25.77272727] ; [ 2.77272727 58.22727273],0
p1,1,0.800882,0.063608,[ 1 26] ; [ 3 58],[ 1.22727273 25.77272727] ; [ 2.77272727 58.22727273],0
u3,1,0.804113,0.061517,[6 3] ; [13  8],[5.7 3.3] ; [13.3  7.7],0
v2,1,0.810421,0.057544,[12 13] ; [29 28],[12.5 12.5] ; [28.5 28.5],0
b5,1,0.813081,0.05591,[17 10] ; [40 21],[17.48863636  9.51136364] ; [39.51136364 21.48863636],0
a3,1,0.813081,0.05591,[17 10] ; [40 21],[17.48863636  9.51136364] ; [39.51136364 21.48863636],0
r2,1,0.842077,0.039696,[21  6] ; [47 12],[21.34883721  5.65116279] ; [46.65116279 12.34883721],0
p5,1,0.848343,0.03657,[ 2 24] ; [ 4 57],[ 1.79310345 24.20689655] ; [ 4.20689655 56.79310345],0
s5,1,0.855233,0.033287,[ 6 20] ; [13 48],[ 5.67816092 20.32183908] ; [13.32183908 47.67816092],0
u1,1,0.855547,0.03314,[ 3 24] ; [ 6 55],[ 2.76136364 24.23863636] ; [ 6.23863636 54.76136364],0
