Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,33.942857,[17 60] ; [53 24],[35. 42.] ; [35. 42.],1
s8,1,2e-06,22.763198,[12 65] ; [40 37],[26. 51.] ; [26. 51.],1
s6,1,8.3e-05,15.49442,[32 44] ; [54 19],[43.86577181 32.13422819] ; [42.13422819 30.86577181],1
s7,1,0.001625,9.931418,[20 52] ; [40 35],[29.3877551 42.6122449] ; [30.6122449 44.3877551],0
r2,1,0.031104,4.647228,[56 20] ; [64  9],[61.20805369 14.79194631] ; [58.79194631 14.20805369],0
v1,1,0.041977,4.136146,[27 49] ; [38 35],[33.15436242 42.84563758] ; [31.84563758 41.15436242],0
s5,1,0.055527,3.666176,[15 61] ; [23 45],[20.05555556 55.94444444] ; [17.94444444 50.05555556],0
v3,1,0.066135,3.376427,[17 60] ; [27 49],[22.14379085 54.85620915] ; [21.85620915 54.14379085],0
n4,1,0.088389,2.903469,[46 31] ; [56 21],[51. 26.] ; [51. 26.],0
b3,1,0.098044,2.737076,[16 23] ; [12 37],[12.40909091 26.59090909] ; [15.59090909 33.40909091],0
b2,1,0.098044,2.737076,[16 23] ; [12 37],[12.40909091 26.59090909] ; [15.59090909 33.40909091],0
u3,1,0.099528,2.713086,[12 24] ; [17 15],[15.35294118 20.64705882] ; [13.64705882 18.35294118],0
n2,1,0.128955,2.305043,[19 10] ; [17  3],[21.30612245  7.69387755] ; [14.69387755  5.30612245],0
n5,1,0.147462,2.098316,[48 28] ; [57 20],[52.15686275 23.84313725] ; [52.84313725 24.15686275],0
p12,1,0.151645,2.055621,[ 2 74] ; [ 6 71],[ 3.97385621 72.02614379] ; [ 4.02614379 72.97385621],0
a6,1,0.194213,1.685363,[39 38] ; [47 30],[43. 34.] ; [43. 34.],0
p3,1,0.196342,1.669377,[32 45] ; [40 37],[36. 41.] ; [36. 41.],0
a5,1,0.19725,1.662618,[35 42] ; [43 34],[39. 38.] ; [39. 38.],0
v2,1,0.223397,1.482416,[28 49] ; [35 41],[31.70588235 45.29411765] ; [31.29411765 44.70588235],0
p11,1,0.253287,1.305085,[56 21] ; [62 15],[59. 18.] ; [59. 18.],0
a2,1,0.262193,1.257143,[ 5 72] ; [ 9 68],[ 7. 70.] ; [ 7. 70.],0
a4,1,0.290794,1.115942,[26 51] ; [20 57],[23. 54.] ; [23. 54.],0
a1,1,0.302744,1.062069,[ 3 74] ; [ 6 71],[ 4.5 72.5] ; [ 4.5 72.5],0
p7,1,0.308135,1.038652,[41 35] ; [46 28],[44.08 31.92] ; [42.92 31.08],0
d1,1,0.318356,0.99569,[26 51] ; [32 45],[29. 48.] ; [29. 48.],0
a8,1,0.360448,0.836333,[ 6 64] ; [10 65],[ 7.72413793 62.27586207] ; [ 8.27586207 66.72413793],0
a3,1,0.36605,0.817028,[40 37] ; [45 31],[42.77777778 34.22222222] ; [42.22222222 33.77777778],0
p9,1,0.374178,0.789744,[63 14] ; [67 10],[65. 12.] ; [65. 12.],0
n3,1,0.389852,0.739405,[20  9] ; [16  4],[21.30612245  7.69387755] ; [14.69387755  5.30612245],0
d2,1,0.39194,0.732915,[23 54] ; [28 49],[25.5 51.5] ; [25.5 51.5],0
v4,1,0.399631,0.709436,[71  6] ; [67  9],[69.45098039  7.54901961] ; [68.54901961  7.45098039],0
b4,1,0.416387,0.660491,[41 36] ; [46 31],[43.5 33.5] ; [43.5 33.5],0
p4,1,0.417821,0.656436,[40 37] ; [45 32],[42.5 34.5] ; [42.5 34.5],0
s4,1,0.437086,0.603922,[15 62] ; [19 58],[17. 60.] ; [17. 60.],0
r3,1,0.443746,0.586576,[65 11] ; [69  8],[66.5620915  9.4379085] ; [67.4379085  9.5620915],0
p10,1,0.445383,0.582375,[56 20] ; [60 16],[58. 18.] ; [58. 18.],0
p1,1,0.467703,0.527397,[ 5 72] ; [ 3 74],[ 4. 73.] ; [ 4. 73.],0
r4,1,0.505904,0.442529,[46 31] ; [50 27],[48. 29.] ; [48. 29.],0
d3,1,0.525955,0.4022,[40 35] ; [45 32],[41.94078947 33.05921053] ; [43.05921053 33.94078947],0
a7,1,0.54625,0.364079,[49 27] ; [46 31],[47.18954248 28.81045752] ; [47.81045752 29.18954248],0
d4,1,0.599599,0.275602,[52 25] ; [55 22],[53.5 23.5] ; [53.5 23.5],0
b1,1,0.621107,0.244315,[32 45] ; [29 48],[30.5 46.5] ; [30.5 46.5],0
u2,1,0.627029,0.236111,[17 19] ; [17 15],[18. 18.] ; [16. 16.],0
p8,1,0.634515,0.225988,[34 43] ; [36 39],[35.46052632 41.53947368] ; [34.53947368 40.46052632],0
u1,1,0.698861,0.14966,[ 3 74] ; [ 4 73],[ 3.5 73.5] ; [ 3.5 73.5],0
d5,1,0.764469,0.08977,[54 22] ; [53 24],[53.1503268 22.8496732] ; [53.8496732 23.1503268],0
p5,1,0.797068,0.066123,[ 9 68] ; [ 8 69],[ 8.5 68.5] ; [ 8.5 68.5],0
p6,1,0.817538,0.053228,[27 49] ; [28 47],[27.68211921 48.31788079] ; [27.31788079 47.68211921],0
n6,1,0.840724,0.040388,[62 15] ; [61 16],[61.5 15.5] ; [61.5 15.5],0
n1,1,0.867259,0.027936,[10 19] ; [ 7 12],[10.27083333 18.72916667] ; [ 6.72916667 12.27083333],0
b5,1,1.0,0.0,[48 29] ; [48 29],[48. 29.] ; [48. 29.],0
