Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,77.375476,[ 76 109] ; [357 106],[123.61882716  61.38117284] ; [309.38117284 153.61882716],1
d3,1,0.0,76.591185,[ 76 109] ; [357 107],[123.42835131  61.57164869] ; [309.57164869 154.42835131],1
a2,1,0.0,36.79963,[ 14 171] ; [139 325],[ 43.61325116 141.38674884] ; [109.38674884 354.61325116],1
u1,1,0.0,30.338321,[  9 176] ; [108 356],[ 33.35130971 151.64869029] ; [ 83.64869029 380.35130971],1
r4,1,0.0,26.170978,[148  37] ; [434  30],[165.90138675  19.09861325] ; [416.09861325  47.90138675],1
r3,1,1.3e-05,18.955695,[165  20] ; [450  12],[175.85007728   9.14992272] ; [439.14992272  22.85007728],1
d1,1,8.2e-05,15.52087,[86 99] ; [294 170],[108.32049307  76.67950693] ; [271.67950693 192.32049307],1
r1,1,0.000155,14.307978,[128  57] ; [381  80],[145.76625387  39.23374613] ; [363.23374613  97.76625387],1
r2,1,0.000284,13.175178,[161  21] ; [440  18],[170.909375  11.090625] ; [430.090625  27.909375],1
u3,1,0.000423,12.428354,[18 39] ; [78 53],[29.10638298 27.89361702] ; [66.89361702 64.10638298],1
p10,1,0.001759,9.785521,[136  47] ; [387  69],[149.77934272  33.22065728] ; [373.22065728  82.77934272],0
b5,1,0.00284,8.907585,[92 93] ; [290 174],[108.89060092  76.10939908] ; [273.10939908 190.89060092],0
v4,1,0.002842,8.90617,[168  17] ; [445  16],[175.5495356   9.4504644] ; [437.4504644  23.5495356],0
d4,1,0.003803,8.375669,[138  46] ; [393  71],[150.77777778  33.22222222] ; [380.22222222  83.77777778],0
d5,1,0.004518,8.063068,[135  49] ; [386  78],[147.9382716  36.0617284] ; [373.0617284  90.9382716],0
v2,1,0.006971,7.280318,[89 91] ; [273 173],[104.08945687  75.91054313] ; [257.91054313 188.08945687],0
u2,1,0.007616,7.121509,[21 35] ; [77 54],[29.34759358 26.65240642] ; [68.65240642 62.34759358],0
p2,1,0.012696,6.210932,[143  40] ; [398  64],[153.49302326  29.50697674] ; [387.50697674  74.49302326],0
