Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,4e-06,21.314905,[10 31] ; [14  1],[17.57142857 23.42857143] ; [6.42857143 8.57142857],1
p7,1,0.000161,14.238477,[10 31] ; [12  3],[16.10714286 24.89285714] ; [5.89285714 9.10714286],1
p8,1,0.001997,9.552284,[ 7 33] ; [9 6],[11.63636364 28.36363636] ; [ 4.36363636 10.63636364],0
a6,1,0.005312,7.77019,[13 28] ; [11  4],[17.57142857 23.42857143] ; [6.42857143 8.57142857],0
s2,1,0.007873,7.062153,[ 7 33] ; [8 7],[10.90909091 29.09090909] ; [ 4.09090909 10.90909091],0
s3,1,0.009316,6.761183,[ 7 32] ; [8 7],[10.83333333 28.16666667] ; [ 4.16666667 10.83333333],0
p6,1,0.015514,5.857159,[ 3 37] ; [ 5 10],[ 5.81818182 34.18181818] ; [ 2.18181818 12.81818182],0
b4,1,0.029425,4.742547,[27 14] ; [ 5 10],[23.42857143 17.57142857] ; [8.57142857 6.42857143],0
n6,1,0.044557,4.035326,[20 20] ; [12  3],[23.27272727 16.72727273] ; [8.72727273 6.27272727],0
s7,1,0.047155,3.939865,[ 7 29] ; [7 8],[ 9.88235294 26.11764706] ; [ 4.11764706 10.88235294],0
p2,1,0.073874,3.194783,[22 19] ; [12  3],[24.89285714 16.10714286] ; [9.10714286 5.89285714],0
a5,1,0.094622,2.793924,[17 24] ; [10  5],[19.76785714 21.23214286] ; [7.23214286 7.76785714],0
s6,1,0.096037,2.770154,[12 29] ; [8 7],[14.64285714 26.35714286] ; [5.35714286 9.64285714],0
s4,1,0.118822,2.432783,[ 6 35] ; [ 5 10],[ 8.05357143 32.94642857] ; [ 2.94642857 12.05357143],0
d5,1,0.131355,2.276423,[18 23] ; [10  5],[20.5 20.5] ; [7.5 7.5],0
n1,1,0.161125,1.963636,[ 6 16] ; [3 2],[ 7.33333333 14.66666667] ; [1.66666667 3.33333333],0
s5,1,0.174175,1.846634,[ 3 38] ; [ 3 12],[ 4.39285714 36.60714286] ; [ 1.60714286 13.39285714],0
s8,1,0.189107,1.724563,[ 7 34] ; [ 5 10],[ 8.78571429 32.21428571] ; [ 3.21428571 11.78571429],0
v3,1,0.191621,1.705111,[ 5 36] ; [ 4 11],[ 6.58928571 34.41071429] ; [ 2.41071429 12.58928571],0
p9,1,0.204876,1.607268,[18 20] ; [10  5],[20.0754717 17.9245283] ; [7.9245283 7.0754717],0
p10,1,0.210393,1.568721,[16 23] ; [9 6],[18.05555556 20.94444444] ; [6.94444444 8.05555556],0
p11,1,0.234634,1.41255,[20 21] ; [10  5],[21.96428571 19.03571429] ; [8.03571429 6.96428571],0
p12,1,0.276596,1.18374,[ 2 39] ; [ 2 13],[ 2.92857143 38.07142857] ; [ 1.07142857 13.92857143],0
u3,1,0.299328,1.077188,[ 4 17] ; [3 5],[ 5.06896552 15.93103448] ; [1.93103448 6.06896552],0
a7,1,0.30313,1.060372,[20 21] ; [ 5 10],[18.30357143 22.69642857] ; [6.69642857 8.30357143],0
n4,1,0.383702,0.758808,[22 19] ; [10  5],[23.42857143 17.57142857] ; [8.57142857 6.42857143],0
d4,1,0.392728,0.730479,[25 16] ; [11  4],[26.35714286 14.64285714] ; [9.64285714 5.35714286],0
v1,1,0.446356,0.579889,[12 29] ; [6 9],[13.17857143 27.82142857] ; [ 4.82142857 10.17857143],0
v4,1,0.530877,0.392712,[18 23] ; [8 7],[19.03571429 21.96428571] ; [6.96428571 8.03571429],0
v2,1,0.557476,0.344094,[14 26] ; [ 4 11],[13.09090909 26.90909091] ; [ 4.90909091 10.09090909],0
a8,1,0.562553,0.335304,[ 3 34] ; [ 2 13],[ 3.55769231 33.44230769] ; [ 1.44230769 13.55769231],0
d3,1,0.606697,0.265013,[16 25] ; [7 8],[16.83928571 24.16071429] ; [6.16071429 8.83928571],0
u2,1,0.624321,0.239841,[10 11] ; [3 5],[ 9.4137931 11.5862069] ; [3.5862069 4.4137931],0
b5,1,0.642857,0.215025,[22 19] ; [7 8],[21.23214286 19.76785714] ; [7.76785714 7.23214286],0
