Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000156,14.292529,[32  4] ; [11 14],[25.37704918 10.62295082] ; [17.62295082  7.37704918],1
n4,1,0.002353,9.25179,[34  2] ; [16  9],[29.50819672  6.49180328] ; [20.49180328  4.50819672],0
p11,1,0.006075,7.527852,[34  2] ; [17  8],[30.09836066  5.90163934] ; [20.90163934  4.09836066],0
p2,1,0.01506,5.909411,[34  2] ; [18  7],[30.68852459  5.31147541] ; [21.31147541  3.68852459],0
r4,1,0.01506,5.909411,[34  2] ; [18  7],[30.68852459  5.31147541] ; [21.31147541  3.68852459],0
r1,1,0.019854,5.424678,[31  5] ; [15 10],[27.14754098  8.85245902] ; [18.85245902  6.14754098],0
v1,1,0.022195,5.230433,[25 11] ; [10 15],[20.6557377 15.3442623] ; [14.3442623 10.6557377],0
p3,1,0.039187,4.252723,[24 12] ; [10 15],[20.06557377 15.93442623] ; [13.93442623 11.06557377],0
a8,1,0.078179,3.102365,[ 7 25] ; [ 1 21],[ 4.74074074 27.25925926] ; [ 3.25925926 18.74074074],0
a3,1,0.091536,2.84716,[32  4] ; [18  7],[29.50819672  6.49180328] ; [20.49180328  4.50819672],0
p9,1,0.098931,2.722689,[32  3] ; [19  6],[29.75  5.25] ; [21.25  3.75],0
u3,1,0.136844,2.213095,[1 3] ; [5 2],[2.18181818 1.81818182] ; [3.81818182 3.18181818],0
r3,1,0.177933,1.814801,[34  2] ; [21  4],[32.45901639  3.54098361] ; [22.54098361  2.45901639],0
d1,1,0.189701,1.719942,[26 10] ; [14 11],[23.60655738 12.39344262] ; [16.39344262  8.60655738],0
a7,1,0.213441,1.547932,[27  9] ; [15 10],[24.78688525 11.21311475] ; [17.21311475  7.78688525],0
p5,1,0.218782,1.512346,[ 5 31] ; [ 1 23],[ 3.6 32.4] ; [ 2.4 21.6],0
p8,1,0.248821,1.32991,[24 12] ; [13 12],[21.83606557 14.16393443] ; [15.16393443  9.83606557],0
n5,1,0.249572,1.325696,[30  6] ; [17  7],[28.2  7.8] ; [18.8  5.2],0
p7,1,0.263552,1.25,[26 10] ; [14 10],[24. 12.] ; [16.  8.],0
b1,1,0.2743,1.195117,[15 21] ; [ 7 18],[12.98360656 23.01639344] ; [ 9.01639344 15.98360656],0
u1,1,0.312404,1.020487,[ 5 31] ; [ 6 19],[ 6.49180328 29.50819672] ; [ 4.50819672 20.49180328],0
d4,1,0.312404,1.020487,[31  5] ; [19  6],[29.50819672  6.49180328] ; [20.49180328  4.50819672],0
d3,1,0.317278,1.000136,[26 10] ; [15 10],[24.19672131 11.80327869] ; [16.80327869  8.19672131],0
s2,1,0.319137,0.992481,[11 24] ; [11 14],[12.83333333 22.16666667] ; [ 9.16666667 15.83333333],0
r2,1,0.340356,0.909091,[34  2] ; [21  3],[33.  3.] ; [22.  2.],0
d5,1,0.393212,0.728988,[28  8] ; [17  8],[26.55737705  9.44262295] ; [18.44262295  6.55737705],0
a5,1,0.434516,0.610721,[29  7] ; [18  7],[27.73770492  8.26229508] ; [19.26229508  5.73770492],0
a4,1,0.440817,0.594156,[18 18] ; [10 15],[16.52459016 19.47540984] ; [11.47540984 13.52459016],0
a6,1,0.479144,0.500811,[22 14] ; [13 12],[20.6557377 15.3442623] ; [14.3442623 10.6557377],0
p10,1,0.512691,0.428571,[29  6] ; [19  6],[28.  7.] ; [20.  5.],0
b2,1,0.514643,0.424615,[18 12] ; [8 8],[16.95652174 13.04347826] ; [9.04347826 6.95652174],0
b3,1,0.514643,0.424615,[18 12] ; [8 8],[16.95652174 13.04347826] ; [9.04347826 6.95652174],0
n6,1,0.578002,0.309476,[32  4] ; [21  4],[31.27868852  4.72131148] ; [21.72131148  3.27868852],0
s3,1,0.59298,0.285714,[13 22] ; [11 14],[14. 21.] ; [10. 15.],0
p6,1,0.659671,0.193924,[16 19] ; [10 15],[15.16666667 19.83333333] ; [10.83333333 14.16666667],0
s7,1,0.684238,0.165394,[18 16] ; [14 10],[18.75862069 15.24137931] ; [13.24137931 10.75862069],0
b4,1,0.689753,0.159353,[22 14] ; [14 11],[21.24590164 14.75409836] ; [14.75409836 10.24590164],0
p4,1,0.689753,0.159353,[22 14] ; [14 11],[21.24590164 14.75409836] ; [14.75409836 10.24590164],0
n1,1,0.724939,0.12381,[3 2] ; [4 4],[2.69230769 2.30769231] ; [4.30769231 3.69230769],0
d2,1,0.729937,0.11917,[20 16] ; [15 10],[20.6557377 15.3442623] ; [14.3442623 10.6557377],0
v4,1,0.78231,0.076347,[34  2] ; [24  1],[34.2295082  1.7704918] ; [23.7704918  1.2295082],0
n2,1,0.792147,0.069444,[5 1] ; [7 2],[4.8 1.2] ; [7.2 1.8],0
u2,1,0.818971,0.052381,[2 2] ; [4 3],[2.18181818 1.81818182] ; [3.81818182 3.18181818],0
s5,1,0.916722,0.010934,[ 7 27] ; [ 5 18],[ 7.15789474 26.84210526] ; [ 4.84210526 18.15789474],0
b5,1,0.952297,0.003579,[17 19] ; [12 13],[17.1147541 18.8852459] ; [11.8852459 13.1147541],0
a2,1,0.957189,0.002882,[ 7 29] ; [ 5 20],[ 7.08196721 28.91803279] ; [ 4.91803279 20.08196721],0
