Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5e-06,20.911916,[47  8] ; [54 57],[33.46385542 21.53614458] ; [67.53614458 43.46385542],1
p5,1,0.000333,12.876279,[ 9 46] ; [  2 111],[ 3.60119048 51.39880952] ; [  7.39880952 105.60119048],1
s7,1,0.000385,12.601443,[34 18] ; [38 69],[23.54716981 28.45283019] ; [48.45283019 58.54716981],1
p6,1,0.0267,4.910081,[19 36] ; [21 90],[13.25301205 41.74698795] ; [26.74698795 84.25301205],0
n1,1,0.029442,4.741601,[7 8] ; [ 4 22],[ 4.02439024 10.97560976] ; [ 6.97560976 19.02439024],0
p3,1,0.055393,3.670211,[29 26] ; [42 71],[23.24404762 31.75595238] ; [47.75595238 65.24404762],0
s2,1,0.055993,3.65226,[31 24] ; [46 67],[25.20833333 29.79166667] ; [51.79166667 61.20833333],0
n6,1,0.08687,2.931448,[48  6] ; [88 25],[43.9760479 10.0239521] ; [92.0239521 20.9760479],0
s4,1,0.095839,2.773458,[13 42] ; [15 97],[ 9.22155689 45.77844311] ; [18.77844311 93.22155689],0
a5,1,0.099531,2.713046,[45 10] ; [79 34],[40.5952381 14.4047619] ; [83.4047619 29.5952381],0
a4,1,0.1125,2.518752,[27 28] ; [41 72],[22.26190476 32.73809524] ; [45.73809524 67.26190476],0
p12,1,0.114572,2.490001,[ 6 49] ; [  5 107],[ 3.62275449 51.37724551] ; [  7.37724551 104.62275449],0
u1,1,0.127195,2.326408,[13 42] ; [16 97],[ 9.49404762 45.50595238] ; [19.50595238 93.49404762],0
p1,1,0.133756,2.248364,[ 5 50] ; [  4 109],[ 2.94642857 52.05357143] ; [  6.05357143 106.94642857],0
p9,1,0.135756,2.225419,[46  8] ; [84 28],[42.28915663 11.71084337] ; [87.71084337 24.28915663],0
p7,1,0.146828,2.104903,[37 17] ; [63 48],[32.72727273 21.27272727] ; [67.27272727 43.72727273],0
d2,1,0.207442,1.589187,[30 24] ; [51 62],[26.19161677 27.80838323] ; [54.80838323 58.19161677],0
r1,1,0.219826,1.505505,[48  6] ; [92 21],[45.26946108  8.73053892] ; [94.73053892 18.26946108],0
p4,1,0.270481,1.214307,[32 23] ; [54 56],[28.66666667 26.33333333] ; [57.33333333 52.66666667],0
v3,1,0.296165,1.091381,[29 25] ; [50 61],[25.85454545 28.14545455] ; [53.14545455 57.85454545],0
s8,1,0.300274,1.072976,[23 32] ; [38 75],[19.9702381 35.0297619] ; [41.0297619 71.9702381],0
b4,1,0.303337,1.059465,[30 25] ; [71 42],[33.06547619 21.93452381] ; [67.93452381 45.06547619],0
p2,1,0.310416,1.028906,[43 12] ; [80 33],[40.26785714 14.73214286] ; [82.73214286 30.26785714],0
d4,1,0.321731,0.981895,[42 12] ; [95 18],[44.2994012  9.7005988] ; [92.7005988 20.2994012],0
a6,1,0.344105,0.895078,[36 19] ; [82 31],[38.63095238 16.36904762] ; [79.36904762 33.63095238],0
a8,1,0.36305,0.827316,[ 4 44] ; [14 90],[ 5.68421053 42.31578947] ; [12.31578947 91.68421053],0
