Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,171.535548,[493  60] ; [59 90],[434.83760684 118.16239316] ; [117.16239316  31.83760684],1
n6,1,0.0,62.511354,[509  41] ; [101  47],[480.65902579  69.34097421] ; [129.34097421  18.65902579],1
v1,1,0.0,26.328542,[336 200] ; [56 88],[308.98823529 227.01176471] ; [83.01176471 60.98823529],1
p4,1,3e-06,22.078487,[374 177] ; [70 79],[349.49142857 201.50857143] ; [94.50857143 54.49142857],1
s7,1,0.000256,13.370937,[289 235] ; [56 91],[269.41877794 254.58122206] ; [75.58122206 71.41877794],1
v3,1,0.000347,12.79948,[237 295] ; [ 40 103],[218.31703704 313.68296296] ; [58.68296296 84.31703704],1
p11,1,0.0005,12.114542,[483  70] ; [113  36],[469.4985755  83.5014245] ; [126.5014245  22.4985755],1
p3,1,0.000725,11.423577,[315 236] ; [62 87],[296.75285714 254.24714286] ; [80.24714286 68.75285714],1
a8,1,0.004083,8.246681,[ 76 427] ; [  8 130],[ 65.91575663 437.08424337] ; [ 18.08424337 119.91575663],0
p6,1,0.004479,8.0786,[231 317] ; [ 43 104],[216.04604317 331.95395683] ; [57.95395683 89.04604317],0
p8,1,0.009158,6.791658,[323 222] ; [70 78],[309.06926407 235.93073593] ; [83.93073593 64.06926407],0
s8,1,0.009192,6.785082,[276 273] ; [57 92],[261.91547278 287.08452722] ; [71.08452722 77.91547278],0
a3,1,0.010498,6.548428,[413 138] ; [96 53],[400.65571429 150.34428571] ; [108.34428571  40.65571429],0
p5,1,0.011439,6.395761,[ 85 463] ; [ 11 137],[ 75.5862069 472.4137931] ; [ 20.4137931 127.5862069],0
u1,1,0.01507,5.908224,[111 442] ; [ 17 132],[100.83190883 452.16809117] ; [ 27.16809117 121.83190883],0
a7,1,0.015796,5.825469,[393 159] ; [120  28],[404.53714286 147.46285714] ; [108.46285714  39.53714286],0
a2,1,0.018932,5.507756,[144 409] ; [ 25 124],[133.12962963 419.87037037] ; [ 35.87037037 113.12962963],0
d2,1,0.025361,4.999069,[275 276] ; [59 90],[262.90571429 288.09428571] ; [71.09428571 77.90571429],0
