Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,29.568944,[105 122] ; [88 26],[128.47800587  98.52199413] ; [64.52199413 49.47800587],1
p3,1,0.0,26.367493,[ 77 150] ; [72 42],[ 99.18768328 127.81231672] ; [49.81231672 64.18768328],1
p7,1,1e-06,25.260874,[123 101] ; [92 19],[143.76119403  80.23880597] ; [71.23880597 39.76119403],1
p5,1,5.2e-05,16.357029,[  9 219] ; [19 95],[ 18.66666667 209.33333333] ; [  9.33333333 104.66666667],1
p8,1,0.000234,13.538108,[ 98 126] ; [74 40],[113.98816568 110.01183432] ; [58.01183432 55.98816568],1
b3,1,0.000305,13.036555,[26 96] ; [30 34],[36.7311828 85.2688172] ; [19.2688172 44.7311828],1
b2,1,0.000305,13.036555,[26 96] ; [30 34],[36.7311828 85.2688172] ; [19.2688172 44.7311828],1
p1,1,0.0008,11.24125,[  9 217] ; [16 98],[ 16.61764706 209.38235294] ; [  8.38235294 105.61764706],1
s7,1,0.002175,9.395623,[ 86 132] ; [62 46],[ 98.96932515 119.03067485] ; [49.03067485 58.96932515],0
a1,1,0.004843,7.937105,[  3 225] ; [  8 106],[  7.33333333 220.66666667] ; [  3.66666667 110.33333333],0
p12,1,0.004932,7.904033,[  5 222] ; [ 10 103],[ 10.01470588 216.98529412] ; [  4.98529412 108.01470588],0
a4,1,0.018938,5.507246,[ 80 148] ; [55 59],[ 90. 138.] ; [45. 69.],0
s5,1,0.020723,5.349933,[ 57 168] ; [40 66],[ 65.93655589 159.06344411] ; [31.06344411 74.93655589],0
s2,1,0.02354,5.128221,[ 99 128] ; [64 49],[108.82647059 118.17352941] ; [54.17352941 58.82647059],0
s8,1,0.028868,4.775439,[ 73 154] ; [50 63],[ 82.12058824 144.87941176] ; [40.87941176 72.12058824],0
b4,1,0.030428,4.684932,[140  88] ; [56 58],[130.66666667  97.33333333] ; [65.33333333 48.66666667],0
n5,1,0.031918,4.602882,[141  84] ; [84 29],[149.77810651  75.22189349] ; [75.22189349 37.77810651],0
n4,1,0.040596,4.192817,[153  74] ; [89 25],[161.09677419  65.90322581] ; [80.90322581 33.09677419],0
u1,1,0.063553,3.442154,[ 27 201] ; [22 92],[ 32.66666667 195.33333333] ; [16.33333333 97.66666667],0
s4,1,0.092931,2.82285,[ 40 187] ; [28 82],[ 45.8041543 181.1958457] ; [22.1958457 87.8041543],0
u2,1,0.101953,2.67473,[39 43] ; [23 13],[43.08474576 38.91525424] ; [18.91525424 17.08474576],0
n6,1,0.106249,2.609151,[181  46] ; [99 15],[186.39296188  40.60703812] ; [93.60703812 20.39296188],0
