Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,23.468039,[ 2 17] ; [19  3],[9.73170732 9.26829268] ; [11.26829268 10.73170732],1
p9,1,0.001431,10.165414,[ 7 12] ; [18  3],[11.875  7.125] ; [13.125  7.875],0
p11,1,0.002111,9.450218,[ 5 14] ; [17  6],[9.95238095 9.04761905] ; [12.04761905 10.95238095],0
p2,1,0.002615,9.058293,[ 4 14] ; [16  7],[8.7804878 9.2195122] ; [11.2195122 11.7804878],0
n5,1,0.016325,5.767515,[ 8 11] ; [18  5],[11.76190476  7.23809524] ; [14.23809524  8.76190476],0
a4,1,0.01938,5.4669,[13  6] ; [ 7 15],[9.26829268 9.73170732] ; [10.73170732 11.26829268],0
s8,1,0.02031,5.385063,[ 1 18] ; [ 8 15],[ 4.07142857 14.92857143] ; [ 4.92857143 18.07142857],0
r3,1,0.02036,5.380725,[ 9 10] ; [18  4],[12.51219512  6.48780488] ; [14.48780488  7.51219512],0
s7,1,0.023775,5.110992,[ 2 14] ; [10 11],[ 5.18918919 10.81081081] ; [ 6.81081081 14.18918919],0
n4,1,0.036472,4.37491,[10  9] ; [19  4],[13.11904762  5.88095238] ; [15.88095238  7.11904762],0
n3,1,0.09073,2.861376,[4 5] ; [6 1],[5.625 3.375] ; [4.375 2.625],0
s2,1,0.138161,2.198318,[ 3 16] ; [ 8 14],[ 5.09756098 13.90243902] ; [ 5.90243902 16.09756098],0
a2,1,0.145088,2.123154,[ 6 13] ; [ 3 20],[ 4.07142857 14.92857143] ; [ 4.92857143 18.07142857],0
p7,1,0.179464,1.802059,[ 6 13] ; [12 11],[ 8.14285714 10.85714286] ; [ 9.85714286 13.14285714],0
s6,1,0.18384,1.766308,[ 6 13] ; [11 10],[ 8.075 10.925] ; [ 8.925 12.075],0
p8,1,0.193855,1.688076,[ 3 15] ; [ 8 15],[ 4.82926829 13.17073171] ; [ 6.17073171 16.82926829],0
v1,1,0.204545,1.609618,[ 5 14] ; [10 12],[ 6.95121951 12.04878049] ; [ 8.04878049 13.95121951],0
s5,1,0.233346,1.42035,[ 3 16] ; [ 7 15],[ 4.63414634 14.36585366] ; [ 5.36585366 16.63414634],0
p3,1,0.285657,1.139976,[ 6 13] ; [11 12],[ 7.69047619 11.30952381] ; [ 9.30952381 13.69047619],0
b1,1,0.285657,1.139976,[13  6] ; [12 11],[11.30952381  7.69047619] ; [13.69047619  9.30952381],0
p6,1,0.308301,1.037938,[ 3 15] ; [ 7 16],[ 4.3902439 13.6097561] ; [ 5.6097561 17.3902439],0
v2,1,0.32041,0.98727,[ 7 12] ; [12 11],[ 8.5952381 10.4047619] ; [10.4047619 12.5952381],0
r4,1,0.32691,0.961098,[ 4 15] ; [ 8 15],[ 5.42857143 13.57142857] ; [ 6.57142857 16.42857143],0
d2,1,0.397231,0.716692,[12  7] ; [11 11],[10.65853659  8.34146341] ; [12.34146341  9.65853659],0
p5,1,0.422608,0.643051,[ 1 17] ; [ 3 20],[ 1.75609756 16.24390244] ; [ 2.24390244 20.75609756],0
n2,1,0.456605,0.554205,[4 5] ; [5 3],[4.76470588 4.23529412] ; [4.23529412 3.76470588],0
a7,1,0.474022,0.512586,[12  7] ; [12 11],[10.85714286  8.14285714] ; [13.14285714  9.85714286],0
p1,1,0.479829,0.499252,[ 3 16] ; [ 2 21],[ 2.26190476 16.73809524] ; [ 2.73809524 20.26190476],0
d5,1,0.482948,0.492199,[14  5] ; [19  4],[14.92857143  4.07142857] ; [18.07142857  4.92857143],0
p4,1,0.515502,0.422883,[ 8 11] ; [12 11],[9.04761905 9.95238095] ; [10.95238095 12.04761905],0
d1,1,0.554402,0.34949,[10  9] ; [10 13],[9.04761905 9.95238095] ; [10.95238095 12.04761905],0
a3,1,0.555863,0.346918,[14  4] ; [16  7],[13.17073171  4.82926829] ; [16.82926829  6.17073171],0
a8,1,0.581831,0.303283,[ 3 15] ; [ 5 16],[ 3.69230769 14.30769231] ; [ 4.30769231 16.69230769],0
b4,1,0.661076,0.19222,[12  7] ; [16  7],[12.66666667  6.33333333] ; [15.33333333  7.66666667],0
a6,1,0.710822,0.137457,[11  8] ; [12 11],[10.4047619  8.5952381] ; [12.5952381 10.4047619],0
b5,1,0.756549,0.09611,[ 9 10] ; [12 11],[9.5 9.5] ; [11.5 11.5],0
v3,1,0.774896,0.081783,[ 4 14] ; [ 6 17],[ 4.3902439 13.6097561] ; [ 5.6097561 17.3902439],0
s4,1,0.80017,0.064073,[ 3 16] ; [ 3 20],[ 2.71428571 16.28571429] ; [ 3.28571429 19.71428571],0
n1,1,0.818821,0.052469,[5 4] ; [4 4],[4.76470588 4.23529412] ; [4.23529412 3.76470588],0
r2,1,0.842846,0.039305,[10  8] ; [11 10],[9.69230769 8.30769231] ; [11.30769231  9.69230769],0
b2,1,0.912875,0.011971,[4 8] ; [ 6 11],[4.13793103 7.86206897] ; [ 5.86206897 11.13793103],0
b3,1,0.912875,0.011971,[4 8] ; [ 6 11],[4.13793103 7.86206897] ; [ 5.86206897 11.13793103],0
u2,1,0.921159,0.009796,[2 3] ; [3 4],[2.08333333 2.91666667] ; [2.91666667 4.08333333],0
s3,1,0.938206,0.00601,[ 8 11] ; [ 9 13],[ 7.87804878 11.12195122] ; [ 9.12195122 12.87804878],0
d3,1,0.976419,0.000874,[10  9] ; [12 11],[9.95238095 9.04761905] ; [12.04761905 10.95238095],0
r1,1,0.976419,0.000874,[ 9 10] ; [11 12],[9.04761905 9.95238095] ; [10.95238095 12.04761905],0
d4,1,0.986606,0.000282,[14  5] ; [17  6],[14.02380952  4.97619048] ; [16.97619048  6.02380952],0
