Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,30.320775,[30  6] ; [37 81],[15.66233766 20.33766234] ; [51.33766234 66.66233766],1
v1,1,9e-05,15.341536,[23 14] ; [33 89],[13.03144654 23.96855346] ; [42.96855346 79.03144654],1
b1,1,0.001034,10.766514,[ 5 32] ; [53 70],[13.4125 23.5875] ; [44.5875 78.4125],0
s6,1,0.027426,4.863774,[23 13] ; [52 69],[17.19745223 18.80254777] ; [57.80254777 63.19745223],0
r1,1,0.029558,4.73481,[30  7] ; [76 47],[24.5125 12.4875] ; [81.4875 41.5125],0
p6,1,0.032282,4.583446,[ 2 35] ; [25 97],[ 6.28301887 30.71698113] ; [ 20.71698113 101.28301887],0
a7,1,0.041297,4.163803,[30  7] ; [77 45],[24.89937107 12.10062893] ; [82.10062893 39.89937107],0
r2,1,0.049037,3.874076,[35  2] ; [99 23],[31.18238994  5.81761006] ; [102.81761006  19.18238994],0
d4,1,0.051397,3.795282,[32  5] ; [86 36],[27.4591195  9.5408805] ; [90.5408805 31.4591195],0
d3,1,0.074114,3.189474,[28  9] ; [72 49],[23.41772152 13.58227848] ; [76.58227848 44.41772152],0
u2,1,0.081678,3.031194,[9 3] ; [28 31],[6.25352113 5.74647887] ; [30.74647887 28.25352113],0
a3,1,0.087791,2.914421,[25 12] ; [63 59],[20.47798742 16.52201258] ; [67.52201258 54.47798742],0
p9,1,0.087891,2.912589,[29  7] ; [78 41],[24.8516129 11.1483871] ; [82.1483871 36.8516129],0
p10,1,0.099406,2.715052,[28  9] ; [73 47],[23.80254777 13.19745223] ; [77.19745223 42.80254777],0
n1,1,0.124491,2.359894,[ 2 16] ; [16 39],[ 4.43835616 13.56164384] ; [13.56164384 41.43835616],0
d5,1,0.133914,2.246536,[28  9] ; [76 46],[24.20125786 12.79874214] ; [79.79874214 42.20125786],0
b2,1,0.134447,2.240393,[ 7 10] ; [13 44],[ 4.59459459 12.40540541] ; [15.40540541 41.59459459],0
b3,1,0.134447,2.240393,[ 7 10] ; [13 44],[ 4.59459459 12.40540541] ; [15.40540541 41.59459459],0
b4,1,0.168926,1.892447,[24 13] ; [64 59],[20.35 16.65] ; [67.65 55.35],0
r4,1,0.182446,1.777583,[30  7] ; [86 37],[26.825 10.175] ; [89.175 33.825],0
v4,1,0.190266,1.715559,[35  2] ; [105  16],[32.78481013  4.21518987] ; [107.21518987  13.78481013],0
a5,1,0.198443,1.653794,[21 16] ; [55 68],[17.575 19.425] ; [58.425 64.575],0
p5,1,0.200068,1.641881,[ 2 35] ; [  2 120],[ 0.93081761 36.06918239] ; [  3.06918239 118.93081761],0
a2,1,0.275551,1.188904,[ 6 31] ; [ 12 111],[ 4.1625 32.8375] ; [ 13.8375 109.1625],0
n3,1,0.293531,1.103357,[10  8] ; [38 17],[11.83561644  6.16438356] ; [36.16438356 18.83561644],0
u1,1,0.383181,0.76047,[ 4 33] ; [  8 115],[ 2.775 34.225] ; [  9.225 113.775],0
s4,1,0.430936,0.6203,[ 7 30] ; [31 92],[ 8.7875 28.2125] ; [29.2125 93.7875],0
s7,1,0.479628,0.49971,[11 26] ; [28 89],[ 9.37012987 27.62987013] ; [29.62987013 87.37012987],0
s3,1,0.517788,0.418298,[18 19] ; [52 70],[16.28930818 20.71069182] ; [53.71069182 68.28930818],0
p4,1,0.524291,0.405444,[12 25] ; [33 89],[10.47169811 26.52830189] ; [34.52830189 87.47169811],0
s1,1,0.552072,0.353619,[ 2 35] ; [  4 118],[ 1.39622642 35.60377358] ; [  4.60377358 117.39622642],0
d2,1,0.555298,0.34791,[11 26] ; [43 80],[12.4875 24.5125] ; [41.5125 81.4875],0
u3,1,0.564507,0.331961,[7 4] ; [32 27],[6.12857143 4.87142857] ; [32.87142857 26.12857143],0
p7,1,0.617805,0.248964,[14 22] ; [51 66],[15.29411765 20.70588235] ; [49.70588235 67.29411765],0
r3,1,0.623021,0.241644,[33  4] ; [105  17],[32.11320755  4.88679245] ; [105.88679245  16.11320755],0
n2,1,0.632529,0.228647,[11  7] ; [37 18],[11.83561644  6.16438356] ; [36.16438356 18.83561644],0
d1,1,0.64603,0.210943,[16 21] ; [48 75],[14.8 22.2] ; [49.2 73.8],0
b5,1,0.663043,0.189848,[22 15] ; [78 45],[23.125 13.875] ; [76.875 46.125],0
p1,1,0.672045,0.179219,[ 1 36] ; [  2 121],[ 0.69375 36.30625] ; [  2.30625 120.69375],0
p8,1,0.693685,0.155125,[13 24] ; [38 82],[12.01910828 24.98089172] ; [38.98089172 81.01910828],0
a6,1,0.693798,0.155004,[23 14] ; [72 51],[21.96875 15.03125] ; [73.03125 49.96875],0
n6,1,0.734692,0.114847,[24 13] ; [76 47],[23.125 13.875] ; [76.875 46.125],0
s2,1,0.756024,0.096538,[15 22] ; [46 76],[14.19496855 22.80503145] ; [46.80503145 75.19496855],0
s8,1,0.780075,0.077965,[ 9 28] ; [27 95],[ 8.37735849 28.62264151] ; [27.62264151 94.37735849],0
a4,1,0.7917,0.069751,[10 27] ; [36 87],[10.6375 26.3625] ; [35.3625 87.6375],0
p2,1,0.838962,0.041299,[24 13] ; [82 41],[24.5125 12.4875] ; [81.4875 41.5125],0
p11,1,0.86855,0.02739,[22 15] ; [75 48],[22.43125 14.56875] ; [74.56875 48.43125],0
s5,1,0.891866,0.018481,[ 8 29] ; [27 92],[ 8.30128205 28.69871795] ; [26.69871795 92.30128205],0
n5,1,0.917663,0.010687,[13 24] ; [44 78],[13.26415094 23.73584906] ; [43.73584906 78.26415094],0
a1,1,0.928229,0.008113,[ 1 36] ; [  3 120],[ 0.925 36.075] ; [  3.075 119.925],0
