Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,29.856423,[31 27] ; [ 8 69],[16.75555556 41.24444444] ; [22.24444444 54.75555556],1
r1,1,0.000378,12.637644,[47 11] ; [39 37],[37.2238806 20.7761194] ; [48.7761194 27.2238806],1
v1,1,0.001003,10.822252,[34 23] ; [24 53],[24.67164179 32.32835821] ; [33.32835821 43.67164179],0
s4,1,0.001383,10.228187,[ 4 54] ; [22 54],[11.25373134 46.74626866] ; [14.74626866 61.25373134],0
r2,1,0.040279,4.20608,[54  3] ; [64 13],[50.19402985  6.80597015] ; [67.80597015  9.19402985],0
a3,1,0.04425,4.047002,[35 23] ; [33 44],[29.21481481 28.78518519] ; [38.78518519 38.21481481],0
a7,1,0.04878,3.882923,[41 17] ; [41 35],[35.49253731 22.50746269] ; [46.50746269 29.49253731],0
p9,1,0.067753,3.336627,[49  9] ; [54 22],[44.58208955 13.41791045] ; [58.41791045 17.58208955],0
b3,1,0.071477,3.248764,[12 25] ; [ 7 38],[ 8.57317073 28.42682927] ; [10.42682927 34.57317073],0
b2,1,0.071477,3.248764,[12 25] ; [ 7 38],[ 8.57317073 28.42682927] ; [10.42682927 34.57317073],0
r4,1,0.083994,2.985871,[50  8] ; [57 20],[45.97037037 12.02962963] ; [61.02962963 15.97037037],0
p4,1,0.084079,2.984231,[38 20] ; [39 38],[33.08148148 24.91851852] ; [43.91851852 33.08148148],0
p6,1,0.085222,2.962382,[24 34] ; [21 56],[19.33333333 38.66666667] ; [25.66666667 51.33333333],0
u2,1,0.113833,2.50019,[13 10] ; [16 28],[ 9.95522388 13.04477612] ; [19.04477612 24.95522388],0
s5,1,0.123727,2.369492,[17 40] ; [14 62],[13.28571429 43.71428571] ; [17.71428571 58.28571429],0
b4,1,0.129794,2.294968,[34 24] ; [35 42],[29.64444444 28.35555556] ; [39.35555556 37.64444444],0
s7,1,0.138987,2.189141,[27 25] ; [29 46],[22.92913386 29.07086614] ; [33.07086614 41.92913386],0
n3,1,0.140633,2.171019,[15  1] ; [19  6],[13.26829268  2.73170732] ; [20.73170732  4.26829268],0
a4,1,0.157603,1.997079,[10 48] ; [21 55],[13.41791045 44.58208955] ; [17.58208955 58.41791045],0
d3,1,0.165777,1.920719,[22 36] ; [20 55],[18.31578947 39.68421053] ; [23.68421053 51.31578947],0
r3,1,0.168096,1.899844,[54  4] ; [65 11],[51.50746269  6.49253731] ; [67.49253731  8.50746269],0
s8,1,0.181537,1.785,[24 34] ; [23 53],[20.34328358 37.65671642] ; [26.65671642 49.34328358],0
p10,1,0.195059,1.678989,[46 12] ; [52 23],[42.73684211 15.26315789] ; [55.26315789 19.73684211],0
a8,1,0.209013,1.578247,[ 4 50] ; [10 58],[ 6.19672131 47.80327869] ; [ 7.80327869 60.19672131],0
p3,1,0.223922,1.47906,[29 29] ; [30 46],[25.53731343 32.46268657] ; [33.46268657 42.53731343],0
n2,1,0.24214,1.36809,[14  2] ; [18  7],[12.48780488  3.51219512] ; [19.51219512  5.48780488],0
n4,1,0.26887,1.222502,[44 14] ; [51 25],[41.11940299 16.88059701] ; [53.88059701 22.11940299],0
p11,1,0.296319,1.090687,[46 12] ; [55 22],[43.39259259 14.60740741] ; [57.60740741 19.39259259],0
a6,1,0.30534,1.050724,[36 22] ; [41 36],[33.08148148 24.91851852] ; [43.91851852 33.08148148],0
a5,1,0.357559,0.846448,[34 24] ; [39 38],[31.36296296 26.63703704] ; [41.63703704 35.36296296],0
p5,1,0.404364,0.69531,[ 7 51] ; [ 6 71],[ 5.58518519 52.41481481] ; [ 7.41481481 69.58518519],0
s6,1,0.430394,0.621761,[33 23] ; [39 36],[30.77862595 25.22137405] ; [41.22137405 33.77862595],0
p12,1,0.4329,0.615032,[ 3 55] ; [ 2 75],[ 2.14814815 55.85185185] ; [ 2.85185185 74.14814815],0
u1,1,0.4329,0.615032,[ 3 55] ; [ 2 75],[ 2.14814815 55.85185185] ; [ 2.85185185 74.14814815],0
n5,1,0.496772,0.461825,[43 14] ; [54 23],[41.26119403 15.73880597] ; [55.73880597 21.26119403],0
p8,1,0.562846,0.3348,[30 28] ; [35 40],[28.34586466 29.65413534] ; [36.65413534 38.34586466],0
d2,1,0.585725,0.297071,[12 46] ; [19 58],[13.31851852 44.68148148] ; [17.68148148 59.31851852],0
n6,1,0.605842,0.266274,[48 10] ; [61 16],[46.82962963 11.17037037] ; [62.17037037 14.82962963],0
b5,1,0.627747,0.235129,[33 25] ; [47 30],[34.37037037 23.62962963] ; [45.62962963 31.37037037],0
s3,1,0.652295,0.203019,[27 30] ; [39 37],[28.28571429 28.71428571] ; [37.71428571 38.28571429],0
p7,1,0.663378,0.189446,[39 19] ; [49 28],[37.80740741 20.19259259] ; [50.19259259 26.80740741],0
p1,1,0.707608,0.140678,[ 7 51] ; [11 66],[ 7.73333333 50.26666667] ; [10.26666667 66.73333333],0
d5,1,0.727309,0.121597,[30 28] ; [37 39],[29. 29.] ; [38. 38.],0
a2,1,0.806859,0.059771,[ 6 52] ; [ 7 70],[ 5.58518519 52.41481481] ; [ 7.41481481 69.58518519],0
v4,1,0.849426,0.036043,[53  4] ; [70  6],[52.71428571  4.28571429] ; [70.28571429  5.71428571],0
b1,1,0.903107,0.01482,[22 36] ; [30 47],[22.34074074 35.65925926] ; [29.65925926 47.34074074],0
n1,1,0.922512,0.009462,[ 6 10] ; [ 9 16],[ 5.85365854 10.14634146] ; [ 9.14634146 15.85365854],0
s2,1,0.954659,0.003233,[21 36] ; [28 49],[20.84328358 36.15671642] ; [28.15671642 48.84328358],0
