Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,39.121059,[104   6] ; [26 23],[89.93710692 20.06289308] ; [40.06289308  8.93710692],1
v2,1,0.000384,12.608817,[62 41] ; [14 34],[51.8410596 51.1589404] ; [24.1589404 23.8410596],1
a3,1,0.00537,7.750333,[73 37] ; [21 28],[65.03144654 44.96855346] ; [28.96855346 20.03144654],0
r3,1,0.005571,7.684192,[107   3] ; [42  7],[103.08176101   6.91823899] ; [45.91823899  3.08176101],0
r2,1,0.006915,7.294796,[101   8] ; [38 11],[95.89240506 13.10759494] ; [43.10759494  5.89240506],0
a5,1,0.010548,6.539955,[71 39] ; [21 28],[63.64779874 46.35220126] ; [28.35220126 20.64779874],0
d4,1,0.011312,6.415631,[90 20] ; [31 18],[83.71069182 26.28930818] ; [37.28930818 11.71069182],0
v4,1,0.011395,6.402657,[104   5] ; [40  8],[99.97452229  9.02547771] ; [44.02547771  3.97452229],0
v3,1,0.013692,6.077467,[33 71] ; [ 6 41],[26.86092715 77.13907285] ; [12.13907285 34.86092715],0
v1,1,0.031141,4.645188,[52 54] ; [15 34],[45.81935484 60.18064516] ; [21.18064516 27.81935484],0
a4,1,0.049927,3.843897,[37 73] ; [ 9 40],[31.82389937 78.17610063] ; [14.17610063 34.82389937],0
u3,1,0.052026,3.774936,[26 11] ; [13 15],[22.2 14.8] ; [16.8 11.2],0
p7,1,0.052622,3.755871,[70 35] ; [23 23],[64.66887417 40.33112583] ; [28.33112583 17.66887417],0
d3,1,0.089081,2.890909,[78 32] ; [28 21],[73.33333333 36.66666667] ; [32.66666667 16.33333333],0
p9,1,0.09237,2.832581,[95 15] ; [37 12],[91.32075472 18.67924528] ; [40.67924528  8.32075472],0
a7,1,0.115451,2.477972,[81 29] ; [30 19],[76.79245283 33.20754717] ; [34.20754717 14.79245283],0
p2,1,0.125334,2.349362,[91 18] ; [35 13],[87.47770701 21.52229299] ; [38.52229299  9.47770701],0
d1,1,0.139486,2.183615,[52 58] ; [17 32],[47.73584906 62.26415094] ; [21.26415094 27.73584906],0
s4,1,0.140116,2.176684,[20 90] ; [14 35],[23.52201258 86.47798742] ; [10.47798742 38.52201258],0
a6,1,0.140998,2.167039,[74 36] ; [27 22],[69.87421384 40.12578616] ; [31.12578616 17.87421384],0
s3,1,0.191366,1.707067,[54 54] ; [19 30],[50.21656051 57.78343949] ; [22.78343949 26.21656051],0
u1,1,0.208532,1.581589,[11 99] ; [ 2 47],[  8.99371069 101.00628931] ; [ 4.00628931 44.99371069],0
p6,1,0.221187,1.496652,[25 82] ; [16 33],[28.12179487 78.87820513] ; [12.87820513 36.12179487],0
u2,1,0.228485,1.450266,[24 13] ; [14 14],[21.63076923 15.36923077] ; [16.36923077 11.63076923],0
n5,1,0.269457,1.21951,[41 68] ; [23 26],[44.15189873 64.84810127] ; [19.84810127 29.15189873],0
b1,1,0.280821,1.163112,[31 79] ; [18 31],[33.89937107 76.10062893] ; [15.10062893 33.89937107],0
n6,1,0.300588,1.071584,[80 29] ; [32 17],[77.26582278 31.73417722] ; [34.73417722 14.26582278],0
p12,1,0.332626,0.938647,[  6 104] ; [ 1 48],[  4.8427673 105.1572327] ; [ 2.1572327 46.8427673],0
p4,1,0.34828,0.879714,[51 58] ; [19 30],[48.29113924 60.70886076] ; [21.70886076 27.29113924],0
s5,1,0.352021,0.866159,[35 73] ; [12 36],[32.53846154 75.46153846] ; [14.46153846 33.53846154],0
p3,1,0.358083,0.844605,[42 68] ; [15 34],[39.43396226 70.56603774] ; [17.56603774 31.43396226],0
n3,1,0.378104,0.776859,[21  8] ; [14  9],[19.51923077  9.48076923] ; [15.48076923  7.51923077],0
a8,1,0.392557,0.731006,[ 8 91] ; [ 2 45],[ 6.78082192 92.21917808] ; [ 3.21917808 43.78082192],0
b5,1,0.432675,0.615633,[60 50] ; [30 19],[62.26415094 47.73584906] ; [27.73584906 21.26415094],0
s8,1,0.458437,0.549709,[38 72] ; [14 35],[35.97484277 74.02515723] ; [16.02515723 32.97484277],0
p1,1,0.470481,0.520847,[  4 105] ; [ 3 45],[  4.85987261 104.14012739] ; [ 2.14012739 45.85987261],0
a2,1,0.49104,0.474246,[13 97] ; [ 4 45],[11.76100629 98.23899371] ; [ 5.23899371 43.76100629],0
u4,1,0.554355,0.349573,[  1 109] ; [ 1 48],[  1.3836478 108.6163522] ; [ 0.6163522 48.3836478],0
p10,1,0.56903,0.324308,[87 23] ; [36 12],[85.63291139 24.36708861] ; [37.36708861 10.63291139],0
d5,1,0.636853,0.222882,[76 34] ; [32 17],[74.71698113 35.28301887] ; [33.28301887 15.71698113],0
s6,1,0.639225,0.219757,[64 46] ; [26 22],[62.65822785 47.34177215] ; [27.34177215 20.65822785],0
n2,1,0.64638,0.210495,[23  6] ; [17  6],[22.30769231  6.69230769] ; [17.69230769  5.30769231],0
a1,1,0.651386,0.204157,[  3 107] ; [ 2 47],[  3.4591195 106.5408805] ; [ 1.5408805 47.4591195],0
n1,1,0.685404,0.164106,[ 8 22] ; [ 7 15],[ 8.65384615 21.34615385] ; [ 6.34615385 15.65384615],0
s2,1,0.768591,0.086565,[44 65] ; [21 28],[44.84177215 64.15822785] ; [20.15822785 28.84177215],0
b4,1,0.80003,0.064165,[65 45] ; [30 19],[65.72327044 44.27672956] ; [29.27672956 19.72327044],0
d2,1,0.82689,0.047826,[34 76] ; [16 33],[34.59119497 75.40880503] ; [15.40880503 33.59119497],0
p5,1,0.82903,0.046633,[  8 101] ; [ 4 44],[  8.33121019 100.66878981] ; [ 3.66878981 44.33121019],0
p8,1,0.891976,0.018443,[56 54] ; [25 23],[56.39240506 53.60759494] ; [24.60759494 23.39240506],0
s7,1,0.94298,0.005116,[34 72] ; [16 33],[34.19354839 71.80645161] ; [15.80645161 33.19354839],0
b3,1,0.995071,3.8e-05,[17 36] ; [ 9 19],[17.01234568 35.98765432] ; [ 8.98765432 19.01234568],0
b2,1,0.995071,3.8e-05,[17 36] ; [ 9 19],[17.01234568 35.98765432] ; [ 8.98765432 19.01234568],0
