Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,48.214559,[70  8] ; [ 5 21],[56.25 21.75] ; [18.75  7.25],1
p11,1,0.000132,14.610503,[67 13] ; [12 14],[59.62264151 20.37735849] ; [19.37735849  6.62264151],1
a7,1,0.000511,12.074062,[67 13] ; [13 13],[60.37735849 19.62264151] ; [19.62264151  6.37735849],1
b1,1,0.000761,11.335166,[18 62] ; [15 11],[24.90566038 55.09433962] ; [ 8.09433962 17.90566038],1
r4,1,0.010171,6.604615,[72  8] ; [18  8],[67.9245283 12.0754717] ; [22.0754717  3.9245283],0
n6,1,0.012417,6.250375,[55 24] ; [11 15],[49.65714286 29.34285714] ; [16.34285714  9.65714286],0
s8,1,0.027745,4.843828,[31 49] ; [ 4 22],[26.41509434 53.58490566] ; [ 8.58490566 17.41509434],0
a3,1,0.042153,4.129042,[49 31] ; [10 16],[44.52830189 35.47169811] ; [14.47169811 11.52830189],0
r2,1,0.054807,3.687943,[73  5] ; [21  5],[70.5  7.5] ; [23.5  2.5],0
s7,1,0.061958,3.484173,[32 47] ; [ 5 20],[28.10576923 50.89423077] ; [ 8.89423077 16.10576923],0
r1,1,0.080139,3.062088,[63 17] ; [16 10],[59.62264151 20.37735849] ; [19.37735849  6.62264151],0
p2,1,0.092165,2.836151,[68 10] ; [19  7],[65.25 12.75] ; [21.75  4.25],0
a4,1,0.09236,2.832746,[26 54] ; [ 4 22],[22.64150943 57.35849057] ; [ 7.35849057 18.64150943],0
d5,1,0.093098,2.819975,[65 15] ; [17  9],[61.88679245 18.11320755] ; [20.11320755  5.88679245],0
a5,1,0.101144,2.687406,[57 23] ; [14 12],[53.58490566 26.41509434] ; [17.41509434  8.58490566],0
s4,1,0.132811,2.259332,[ 9 71] ; [ 6 20],[11.32075472 68.67924528] ; [ 3.67924528 22.32075472],0
v4,1,0.152514,2.046921,[74  5] ; [22  4],[72.22857143  6.77142857] ; [23.77142857  2.22857143],0
b2,1,0.16015,1.97281,[11 34] ; [ 1 13],[ 9.15254237 35.84745763] ; [ 2.84745763 11.15254237],0
b3,1,0.16015,1.97281,[11 34] ; [ 1 13],[ 9.15254237 35.84745763] ; [ 2.84745763 11.15254237],0
d2,1,0.166045,1.918294,[25 55] ; [12 14],[27.9245283 52.0754717] ; [ 9.0754717 16.9245283],0
n3,1,0.168598,1.895363,[15  4] ; [3 3],[13.68  5.32] ; [4.32 1.68],0
d4,1,0.196465,1.668463,[65 15] ; [18  8],[62.64150943 17.35849057] ; [20.35849057  5.64150943],0
d1,1,0.260472,1.266244,[44 36] ; [11 15],[41.50943396 38.49056604] ; [13.49056604 12.50943396],0
d3,1,0.274965,1.191809,[61 19] ; [17  9],[58.86792453 21.13207547] ; [19.13207547  6.86792453],0
v1,1,0.27628,1.1853,[33 44] ; [ 8 18],[30.65048544 46.34951456] ; [10.34951456 15.65048544],0
s5,1,0.276552,1.183958,[23 53] ; [ 5 21],[20.8627451 55.1372549] ; [ 7.1372549 18.8627451],0
v2,1,0.334749,0.930439,[36 41] ; [15 11],[38.12621359 38.87378641] ; [12.87378641 13.12621359],0
p4,1,0.360658,0.835601,[41 39] ; [16 10],[43.01886792 36.98113208] ; [13.98113208 12.01886792],0
n4,1,0.463501,0.537427,[31 49] ; [ 8 18],[29.43396226 50.56603774] ; [ 9.56603774 16.43396226],0
u2,1,0.476845,0.506071,[16 15] ; [10  6],[17.14893617 13.85106383] ; [8.85106383 7.14893617],0
b5,1,0.47689,0.505966,[46 34] ; [17  9],[47.54716981 32.45283019] ; [15.45283019 10.54716981],0
s6,1,0.488756,0.479263,[48 30] ; [14 12],[46.5 31.5] ; [15.5 10.5],0
p3,1,0.500655,0.453549,[43 37] ; [12 14],[41.50943396 38.49056604] ; [13.49056604 12.50943396],0
p7,1,0.54942,0.358358,[57 19] ; [21  5],[58.11764706 17.88235294] ; [19.88235294  6.11764706],0
a2,1,0.605319,0.267048,[ 9 71] ; [ 2 24],[ 8.30188679 71.69811321] ; [ 2.69811321 23.30188679],0
s1,1,0.64494,0.21234,[ 5 75] ; [ 1 25],[ 4.52830189 75.47169811] ; [ 1.47169811 24.52830189],0
v3,1,0.682658,0.167149,[24 52] ; [ 9 16],[24.83168317 51.16831683] ; [ 8.16831683 16.83168317],0
u3,1,0.686089,0.163352,[15 15] ; [9 7],[15.65217391 14.34782609] ; [8.34782609 7.65217391],0
p1,1,0.687948,0.161316,[ 8 69] ; [ 2 24],[ 7.47572816 69.52427184] ; [ 2.52427184 23.47572816],0
n1,1,0.738568,0.11139,[ 5 14] ; [2 4],[ 5.32 13.68] ; [1.68 4.32],0
u1,1,0.796976,0.066184,[ 5 75] ; [ 2 24],[ 5.28301887 74.71698113] ; [ 1.71698113 24.28301887],0
r3,1,0.796976,0.066184,[75  5] ; [24  2],[74.71698113  5.28301887] ; [24.28301887  1.71698113],0
a1,1,0.809482,0.058126,[ 4 76] ; [ 1 25],[ 3.77358491 76.22641509] ; [ 1.22641509 24.77358491],0
p6,1,0.838041,0.04178,[26 51] ; [ 9 16],[26.42156863 50.57843137] ; [ 8.57843137 16.42156863],0
b4,1,0.889186,0.019414,[48 32] ; [16 10],[48.30188679 31.69811321] ; [15.69811321 10.30188679],0
a6,1,0.889186,0.019414,[48 32] ; [16 10],[48.30188679 31.69811321] ; [15.69811321 10.30188679],0
n2,1,0.935989,0.00645,[13  6] ; [4 2],[12.92  6.08] ; [4.08 1.92],0
s2,1,0.9437,0.004987,[31 48] ; [10 16],[30.84761905 48.15238095] ; [10.15238095 15.84761905],0
s3,1,1.0,0.0,[36 42] ; [12 14],[36. 42.] ; [12. 14.],0
