Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2e-06,22.956737,[6 3] ; [ 1 36],[1.36956522 7.63043478] ; [ 5.63043478 31.36956522],1
p6,1,0.003964,8.300305,[3 6] ; [ 1 35],[0.8 8.2] ; [ 3.2 32.8],0
p2,1,0.00518,7.815505,[6 3] ; [ 7 29],[2.6 6.4] ; [10.4 25.6],0
s2,1,0.006492,7.408353,[4 5] ; [ 3 34],[1.36956522 7.63043478] ; [ 5.63043478 31.36956522],0
p4,1,0.007161,7.232143,[5 4] ; [ 5 31],[2. 7.] ; [ 8. 28.],0
s5,1,0.026586,4.91749,[3 5] ; [ 3 34],[1.06666667 6.93333333] ; [ 4.93333333 32.06666667],0
p10,1,0.029262,4.752155,[6 3] ; [10 26],[3.2 5.8] ; [12.8 23.2],0
n6,1,0.030975,4.654334,[7 2] ; [14 23],[4.10869565 4.89130435] ; [16.89130435 20.10869565],0
s3,1,0.032671,4.562963,[5 4] ; [ 7 28],[2.45454545 6.54545455] ; [ 9.54545455 25.45454545],0
u1,1,0.033417,4.524292,[2 7] ; [ 1 36],[0.58695652 8.41304348] ; [ 2.41304348 34.58695652],0
p9,1,0.034098,4.489796,[6 3] ; [10 25],[3.27272727 5.72727273] ; [12.72727273 22.27272727],0
r1,1,0.084887,2.968758,[6 3] ; [13 24],[3.7173913 5.2826087] ; [15.2826087 21.7173913],0
v4,1,0.086431,2.939621,[7 2] ; [17 20],[4.69565217 4.30434783] ; [19.30434783 17.69565217],0
p1,1,0.091587,2.846253,[3 6] ; [ 4 33],[1.36956522 7.63043478] ; [ 5.63043478 31.36956522],0
s6,1,0.107382,2.592333,[4 5] ; [ 7 30],[2.15217391 6.84782609] ; [ 8.84782609 28.15217391],0
d3,1,0.117657,2.448233,[6 3] ; [14 23],[3.91304348 5.08695652] ; [16.08695652 20.91304348],0
s4,1,0.159456,1.979374,[3 6] ; [ 5 32],[1.56521739 7.43478261] ; [ 6.43478261 30.56521739],0
p8,1,0.172356,1.862331,[3 6] ; [ 5 31],[1.6 7.4] ; [ 6.4 29.6],0
a7,1,0.207079,1.591728,[6 3] ; [16 21],[4.30434783 4.69565217] ; [17.69565217 19.30434783],0
n2,1,0.233703,1.418182,[6 2] ; [9 9],[4.61538462 3.38461538] ; [10.38461538  7.61538462],0
