Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,32.473707,[ 25 110] ; [86 86],[48.81107492 86.18892508] ; [ 62.18892508 109.81107492],1
r3,1,9.1e-05,15.305391,[124  14] ; [172   1],[131.34405145   6.65594855] ; [164.65594855   8.34405145],1
v1,1,0.000136,14.55292,[49 86] ; [98 70],[65.4950495 69.5049505] ; [81.5049505 86.4950495],1
r1,1,0.000293,13.116287,[92 47] ; [145  28],[105.58653846  33.41346154] ; [131.41346154  41.58653846],1
d5,1,0.002305,9.289381,[104  34] ; [154  20],[114.11538462  23.88461538] ; [143.88461538  30.11538462],0
a7,1,0.00726,7.207492,[88 50] ; [135  39],[98.63461538 39.36538462] ; [124.36538462  49.63461538],0
p7,1,0.011468,6.391357,[51 82] ; [91 81],[61.92131148 71.07868852] ; [80.07868852 91.92131148],0
r4,1,0.014622,5.961412,[112  27] ; [157  17],[119.4600639  19.5399361] ; [149.5399361  24.4600639],0
a5,1,0.023202,5.153289,[90 49] ; [133  41],[99.03194888 39.96805112] ; [123.96805112  50.03194888],0
p6,1,0.031179,4.643086,[ 26 111] ; [ 51 121],[ 34.13915858 102.86084142] ; [ 42.86084142 129.13915858],0
d1,1,0.061333,3.500974,[70 69] ; [106  68],[78.15974441 60.84025559] ; [97.84025559 76.15974441],0
u1,1,0.07009,3.280901,[ 22 117] ; [ 42 132],[ 28.42172524 110.57827476] ; [ 35.57827476 138.42172524],0
s6,1,0.093533,2.812499,[84 54] ; [121  52],[90.96463023 47.03536977] ; [114.03536977  58.96463023],0
r2,1,0.099658,2.711013,[125  13] ; [163   8],[128.62135922   9.37864078] ; [159.37864078  11.62135922],0
s7,1,0.120136,2.415545,[59 76] ; [88 79],[65.71192053 69.28807947] ; [81.28807947 85.71192053],0
s8,1,0.120179,2.414988,[51 88] ; [79 95],[57.73162939 81.26837061] ; [ 72.26837061 101.73162939],0
b1,1,0.131863,2.27043,[57 82] ; [ 57 117],[50.62619808 88.37380192] ; [ 63.37380192 110.62619808],0
p3,1,0.136816,2.213413,[45 93] ; [ 71 103],[51.30769231 86.69230769] ; [ 64.69230769 109.30769231],0
p1,1,0.141823,2.158067,[ 11 128] ; [  7 167],[  7.99361022 131.00638978] ; [ 10.00638978 163.99361022],0
d3,1,0.157951,1.993732,[89 48] ; [126  48],[94.71061093 42.28938907] ; [120.28938907  53.71061093],0
n4,1,0.158557,1.987933,[99 40] ; [136  38],[104.36102236  34.63897764] ; [130.63897764  43.36102236],0
d4,1,0.167114,1.908647,[109  30] ; [147  27],[113.68690096  25.31309904] ; [142.31309904  31.68690096],0
d2,1,0.221731,1.493133,[59 79] ; [86 87],[64.34083601 73.65916399] ; [80.65916399 92.34083601],0
b3,1,0.226532,1.462507,[34 44] ; [38 71],[30.03208556 47.96791444] ; [41.96791444 67.03208556],0
b2,1,0.226532,1.462507,[34 44] ; [38 71],[30.03208556 47.96791444] ; [41.96791444 67.03208556],0
a6,1,0.250417,1.320976,[94 45] ; [128  46],[98.58785942 40.41214058] ; [123.41214058  50.58785942],0
n1,1,0.279927,1.167444,[17 26] ; [11 28],[14.68292683 28.31707317] ; [13.31707317 25.68292683],0
u2,1,0.286595,1.135547,[26 14] ; [23 20],[23.61445783 16.38554217] ; [25.38554217 17.61445783],0
n6,1,0.30753,1.041254,[113  25] ; [149  24],[116.25723473  21.74276527] ; [145.74276527  27.25723473],0
a1,1,0.312017,1.022119,[  4 135] ; [  9 165],[  5.77316294 133.22683706] ; [  7.22683706 166.77316294],0
v4,1,0.326084,0.964387,[126  12] ; [162  10],[128.20645161   9.79354839] ; [159.79354839  12.20645161],0
p12,1,0.32998,0.948975,[  6 133] ; [ 12 162],[  7.99361022 131.00638978] ; [ 10.00638978 163.99361022],0
a8,1,0.360873,0.834853,[ 12 116] ; [ 20 136],[ 14.42253521 113.57746479] ; [ 17.57746479 138.42253521],0
a3,1,0.405476,0.692025,[98 41] ; [130  44],[101.25239617  37.74760383] ; [126.74760383  47.25239617],0
s3,1,0.434778,0.610026,[83 56] ; [94 76],[79.62135922 59.37864078] ; [97.37864078 72.62135922],0
n2,1,0.486682,0.483853,[33 10] ; [28 12],[31.60240964 11.39759036] ; [29.39759036 10.60240964],0
a2,1,0.487653,0.481701,[ 32 107] ; [ 46 128],[ 34.63897764 104.36102236] ; [ 43.36102236 130.63897764],0
s1,1,0.501872,0.450975,[  6 132] ; [  5 166],[  4.91262136 133.08737864] ; [  6.08737864 164.91262136],0
b4,1,0.510511,0.433021,[82 57] ; [109  65],[84.82108626 54.17891374] ; [106.17891374  67.82108626],0
a4,1,0.532173,0.39024,[59 80] ; [80 94],[61.7284345 77.2715655] ; [77.2715655 96.7284345],0
s2,1,0.545959,0.364607,[72 67] ; [95 77],[74.63987138 64.36012862] ; [92.36012862 79.63987138],0
b5,1,0.574677,0.31492,[86 53] ; [113  61],[88.37380192 50.62619808] ; [110.62619808  63.37380192],0
s5,1,0.58054,0.305362,[45 91] ; [ 50 116],[42.78145695 93.21854305] ; [ 52.21854305 113.78145695],0
p5,1,0.672206,0.179033,[  7 128] ; [ 11 163],[  7.86407767 127.13592233] ; [ 10.13592233 163.86407767],0
p9,1,0.729056,0.11998,[127  11] ; [161  12],[127.79421222  10.20578778] ; [160.20578778  12.79421222],0
u3,1,0.731781,0.117483,[24 16] ; [28 16],[24.76190476 15.23809524] ; [27.23809524 16.76190476],0
p4,1,0.738653,0.111314,[64 74] ; [84 90],[65.46153846 72.53846154] ; [82.53846154 91.46153846],0
p2,1,0.750224,0.101343,[105  32] ; [136  38],[106.16398714  30.83601286] ; [134.83601286  39.16398714],0
s4,1,0.75503,0.097352,[ 24 113] ; [ 28 145],[ 22.98064516 114.01935484] ; [ 29.01935484 143.98064516],0
p11,1,0.85341,0.03414,[105  34] ; [133  41],[105.69329073  33.30670927] ; [132.30670927  41.69329073],0
u4,1,0.873159,0.025487,[  1 138] ; [  1 173],[  0.88817891 138.11182109] ; [  1.11182109 172.88817891],0
n5,1,0.921828,0.00963,[101  37] ; [126  45],[101.37864078  36.62135922] ; [125.62135922  45.37864078],0
n3,1,0.951455,0.003706,[32 11] ; [30 10],[32.12048193 10.87951807] ; [29.87951807 10.12048193],0
