Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000505,12.096085,[5 3] ; [58  2],[7.41176471 0.58823529] ; [55.58823529  4.41176471],1
r3,1,0.002586,9.078928,[5 3] ; [56  3],[7.28358209 0.71641791] ; [53.71641791  5.28358209],0
n6,1,0.00419,8.199797,[3 5] ; [48 10],[6.18181818 1.81818182] ; [44.81818182 13.18181818],0
r1,1,0.00633,7.453896,[3 5] ; [48 11],[6.08955224 1.91044776] ; [44.91044776 14.08955224],0
s6,1,0.017509,5.644584,[5 3] ; [54  5],[7.04477612 0.95522388] ; [51.95522388  7.04477612],0
s7,1,0.028527,4.795931,[2 5] ; [38 16],[4.59016393 2.40983607] ; [35.40983607 18.59016393],0
s2,1,0.039337,4.246268,[3 5] ; [44 16],[5.52941176 2.47058824] ; [41.47058824 18.52941176],0
p7,1,0.082419,3.016547,[2 6] ; [34 25],[4.29850746 3.70149254] ; [31.70149254 27.29850746],0
n2,1,0.089609,2.881385,[2 2] ; [19  3],[3.23076923 0.76923077] ; [17.76923077  4.23076923],0
p10,1,0.101235,2.685974,[4 4] ; [44 13],[5.90769231 2.09230769] ; [42.09230769 14.90769231],0
p6,1,0.103722,2.647365,[1 7] ; [25 34],[3.10447761 4.89552239] ; [22.89552239 36.10447761],0
v3,1,0.103722,2.647365,[1 7] ; [25 34],[3.10447761 4.89552239] ; [22.89552239 36.10447761],0
n5,1,0.116494,2.463832,[3 5] ; [39 20],[5.01492537 2.98507463] ; [36.98507463 22.01492537],0
a6,1,0.16069,1.967721,[3 5] ; [38 22],[4.82352941 3.17647059] ; [36.17647059 23.82352941],0
a3,1,0.213355,1.548515,[4 3] ; [47 13],[5.32835821 1.67164179] ; [45.67164179 14.32835821],0
s8,1,0.22677,1.461008,[3 5] ; [36 24],[4.58823529 3.41176471] ; [34.41176471 25.58823529],0
a1,1,0.235639,1.406496,[1 7] ; [ 2 58],[0.35294118 7.64705882] ; [ 2.64705882 57.35294118],0
n4,1,0.28609,1.137931,[4 4] ; [40 18],[5.33333333 2.66666667] ; [38.66666667 19.33333333],0
p9,1,0.287512,1.131237,[5 3] ; [46 12],[6.18181818 1.81818182] ; [44.81818182 13.18181818],0
n1,1,0.315086,1.009234,[1 3] ; [11 10],[1.92 2.08] ; [10.08 10.92],0
b1,1,0.322316,0.979524,[6 2] ; [34 26],[4.70588235 3.29411765] ; [35.29411765 24.70588235],0
a4,1,0.351591,0.867708,[3 5] ; [33 27],[4.23529412 3.76470588] ; [31.76470588 28.23529412],0
d3,1,0.384723,0.755556,[7 1] ; [44 16],[6. 2.] ; [45. 15.],0
a5,1,0.384723,0.755556,[5 3] ; [46 14],[6. 2.] ; [45. 15.],0
b5,1,0.4085,0.683163,[4 4] ; [39 21],[5.05882353 2.94117647] ; [37.94117647 22.05882353],0
s3,1,0.4085,0.683163,[4 4] ; [39 21],[5.05882353 2.94117647] ; [37.94117647 22.05882353],0
u2,1,0.452209,0.56511,[1 3] ; [6 7],[1.64705882 2.35294118] ; [5.35294118 7.64705882],0
d2,1,0.462523,0.539783,[6 2] ; [37 23],[5.05882353 2.94117647] ; [37.94117647 22.05882353],0
p3,1,0.596064,0.280973,[3 5] ; [28 31],[3.70149254 4.29850746] ; [27.29850746 31.70149254],0
p4,1,0.64373,0.213897,[4 4] ; [34 24],[4.60606061 3.39393939] ; [33.39393939 24.60606061],0
a7,1,0.666251,0.186018,[5 3] ; [42 18],[5.52941176 2.47058824] ; [41.47058824 18.52941176],0
u3,1,0.681777,0.168132,[2 2] ; [5 8],[1.64705882 2.35294118] ; [5.35294118 7.64705882],0
v2,1,0.789681,0.071142,[4 4] ; [33 27],[4.35294118 3.64705882] ; [32.64705882 27.35294118],0
v1,1,0.848296,0.036593,[4 3] ; [32 28],[3.76119403 3.23880597] ; [32.23880597 27.76119403],0
b4,1,0.889458,0.019318,[5 3] ; [39 21],[5.17647059 2.82352941] ; [38.82352941 21.17647059],0
d1,1,0.892019,0.018428,[5 3] ; [36 24],[4.82352941 3.17647059] ; [36.17647059 23.82352941],0
p2,1,0.899049,0.016094,[6 2] ; [43 16],[5.85074627 2.14925373] ; [43.14925373 15.85074627],0
d5,1,0.947907,0.004269,[7 1] ; [52  8],[6.94117647 1.05882353] ; [52.05882353  7.94117647],0
d4,1,0.947907,0.004269,[7 1] ; [52  8],[6.94117647 1.05882353] ; [52.05882353  7.94117647],0
