Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.9e-05,18.319303,[52 11] ; [22 28],[41.25663717 21.74336283] ; [32.74336283 17.25663717],1
n6,1,0.009581,6.711197,[43 20] ; [22 28],[36.23893805 26.76106195] ; [28.76106195 21.23893805],0
a8,1,0.031325,4.635084,[ 8 50] ; [ 1 47],[ 4.9245283 53.0754717] ; [ 4.0754717 43.9245283],0
s6,1,0.035658,4.413373,[26 37] ; [11 38],[20.8125 42.1875] ; [16.1875 32.8125],0
s8,1,0.044463,4.038876,[14 49] ; [ 4 45],[10.125 52.875] ; [ 7.875 41.125],0
n3,1,0.06424,3.42439,[11 16] ; [13  6],[14.08695652 12.91304348] ; [9.91304348 9.08695652],0
r3,1,0.086818,2.932411,[42 20] ; [41  9],[45.94642857 16.05357143] ; [37.05357143 12.94642857],0
d4,1,0.091885,2.841036,[40 21] ; [40 10],[43.96396396 17.03603604] ; [36.03603604 13.96396396],0
d2,1,0.138995,2.189053,[33 28] ; [20 30],[29.12612613 31.87387387] ; [23.87387387 26.12612613],0
s2,1,0.145316,2.120745,[20 42] ; [10 40],[16.60714286 45.39285714] ; [13.39285714 36.60714286],0
v2,1,0.145779,2.115873,[18 43] ; [21 28],[21.62727273 39.37272727] ; [17.37272727 31.62727273],0
p1,1,0.169248,1.889588,[ 5 58] ; [ 1 48],[ 3.375 59.625] ; [ 2.625 46.375],0
s5,1,0.183748,1.767047,[12 50] ; [ 5 44],[ 9.4954955 52.5045045] ; [ 7.5045045 41.4954955],0
v3,1,0.211225,1.56301,[19 44] ; [ 9 37],[16.18348624 46.81651376] ; [11.81651376 34.18348624],0
a6,1,0.218308,1.515456,[40 23] ; [26 24],[36.79646018 26.20353982] ; [29.20353982 20.79646018],0
s3,1,0.320316,0.987654,[25 38] ; [15 34],[22.5 40.5] ; [17.5 31.5],0
p10,1,0.346773,0.885232,[16 47] ; [ 9 41],[13.9380531 49.0619469] ; [11.0619469 38.9380531],0
p11,1,0.474346,0.511834,[26 37] ; [24 26],[27.87610619 35.12389381] ; [22.12389381 27.87610619],0
u1,1,0.491971,0.472213,[ 6 57] ; [ 3 47],[ 5.01769912 57.98230088] ; [ 3.98230088 46.01769912],0
a7,1,0.499834,0.455289,[32 30] ; [29 21],[33.76785714 28.23214286] ; [27.23214286 22.76785714],0
d5,1,0.500968,0.452885,[39 24] ; [34 16],[40.69911504 22.30088496] ; [32.30088496 17.69911504],0
r2,1,0.534159,0.386473,[53 10] ; [39 10],[51.75 11.25] ; [40.25  8.75],0
b4,1,0.534702,0.385448,[38 25] ; [33 17],[39.5840708 23.4159292] ; [31.4159292 18.5840708],0
r1,1,0.542529,0.370872,[42 21] ; [36 14],[43.48672566 19.51327434] ; [34.51327434 15.48672566],0
v4,1,0.549357,0.35847,[45 17] ; [38 11],[46.36036036 15.63963964] ; [36.63963964 12.36036036],0
u2,1,0.552839,0.352256,[13 12] ; [11  7],[13.95348837 11.04651163] ; [10.04651163  7.95348837],0
p8,1,0.568058,0.325943,[10 53] ; [10 40],[11.15044248 51.84955752] ; [ 8.84955752 41.15044248],0
r4,1,0.568262,0.325598,[37 26] ; [32 18],[38.46902655 24.53097345] ; [30.53097345 19.46902655],0
n1,1,0.598976,0.276543,[11 16] ; [ 7 14],[10.125 16.875] ; [ 7.875 13.125],0
b2,1,0.60439,0.268425,[13 25] ; [ 7 18],[12.06349206 25.93650794] ; [ 7.93650794 17.06349206],0
b3,1,0.60439,0.268425,[13 25] ; [ 7 18],[12.06349206 25.93650794] ; [ 7.93650794 17.06349206],0
a3,1,0.640071,0.218649,[37 25] ; [32 18],[38.19642857 23.80357143] ; [30.80357143 19.19642857],0
s4,1,0.66643,0.185806,[ 7 55] ; [ 7 43],[ 7.75 54.25] ; [ 6.25 43.75],0
p3,1,0.69173,0.157218,[11 52] ; [10 39],[11.8125 51.1875] ; [ 9.1875 39.8125],0
b1,1,0.701443,0.146975,[33 30] ; [28 22],[34.00884956 28.99115044] ; [26.99115044 23.00884956],0
p7,1,0.733842,0.115613,[23 39] ; [17 33],[22.14285714 39.85714286] ; [17.85714286 32.14285714],0
a5,1,0.734679,0.114859,[32 31] ; [27 23],[32.89380531 30.10619469] ; [26.10619469 23.89380531],0
b5,1,0.738311,0.111616,[36 27] ; [27 23],[35.12389381 27.87610619] ; [27.87610619 22.12389381],0
s7,1,0.75219,0.0997,[15 44] ; [10 34],[14.32038835 44.67961165] ; [10.67961165 33.32038835],0
d1,1,0.75956,0.093672,[27 36] ; [20 30],[26.20353982 36.79646018] ; [20.79646018 29.20353982],0
p6,1,0.798994,0.064846,[ 8 54] ; [ 7 41],[ 8.45454545 53.54545455] ; [ 6.54545455 41.45454545],0
a4,1,0.802436,0.062598,[25 37] ; [19 31],[24.35714286 37.64285714] ; [19.64285714 30.35714286],0
a2,1,0.836667,0.042501,[11 52] ; [ 8 42],[10.59292035 52.40707965] ; [ 8.40707965 41.59292035],0
n2,1,0.934143,0.006828,[15 13] ; [11 10],[14.85714286 13.14285714] ; [11.14285714  9.85714286],0
p2,1,0.962318,0.002232,[28 35] ; [22 28],[27.87610619 35.12389381] ; [22.12389381 27.87610619],0
d3,1,0.967881,0.001621,[30 33] ; [24 26],[30.10619469 32.89380531] ; [23.89380531 26.10619469],0
v1,1,0.977041,0.000828,[20 43] ; [16 34],[20.07079646 42.92920354] ; [15.92920354 34.07079646],0
s1,1,0.990038,0.000156,[ 5 57] ; [ 4 46],[ 4.98214286 57.01785714] ; [ 4.01785714 45.98214286],0
u3,1,1.0,0.0,[13 13] ; [9 9],[13. 13.] ; [9. 9.],0
