Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,43.410729,[256  64] ; [76 75],[225.5626327  94.4373673] ; [106.4373673  44.5626327],1
p3,1,1e-06,23.674577,[221  99] ; [69 82],[197.02760085 122.97239915] ; [92.97239915 58.02760085],1
p11,1,2e-06,22.839482,[285  35] ; [108  43],[267.00636943  52.99363057] ; [125.99363057  25.00636943],1
p6,1,1.2e-05,19.228133,[177 139] ; [51 98],[154.94193548 161.05806452] ; [73.05806452 75.94193548],1
p2,1,0.000114,14.888734,[301  18] ; [125  25],[289.75266525  29.24733475] ; [136.24733475  13.75266525],1
p5,1,0.000229,13.577161,[ 61 259] ; [  9 140],[ 47.76119403 272.23880597] ; [ 22.23880597 126.76119403],1
n6,1,0.002089,9.469339,[285  31] ; [119  30],[274.54623656  41.45376344] ; [129.45376344  19.54623656],0
p12,1,0.002255,9.329545,[ 35 284] ; [  4 147],[ 26.47021277 292.52978723] ; [ 12.52978723 138.47021277],0
n5,1,0.00506,7.857771,[256  63] ; [102  47],[244.02136752  74.97863248] ; [113.97863248  35.02136752],0
r4,1,0.005578,7.681721,[303  17] ; [132  19],[295.54140127  24.45859873] ; [139.45859873  11.54140127],0
d5,1,0.008254,6.977542,[290  30] ; [124  27],[281.27388535  38.72611465] ; [132.72611465  18.27388535],0
p1,1,0.014097,6.025947,[ 31 286] ; [  5 146],[ 24.38461538 292.61538462] ; [ 11.61538462 139.38461538],0
p10,1,0.018333,5.564015,[285  34] ; [123  28],[276.91914894  42.08085106] ; [131.08085106  19.91914894],0
s8,1,0.020248,5.390358,[168 150] ; [62 88],[156.28205128 161.71794872] ; [73.71794872 76.28205128],0
v1,1,0.020649,5.356188,[198 116] ; [76 71],[186.62906725 127.37093275] ; [87.37093275 59.62906725],0
a2,1,0.027016,4.889799,[ 77 243] ; [ 51 100],[ 86.96390658 233.03609342] ; [ 41.03609342 109.96390658],0
v4,1,0.028679,4.786769,[309   8] ; [139  10],[304.75536481  12.24463519] ; [143.24463519   5.75536481],0
b5,1,0.040839,4.182701,[178 142] ; [99 52],[188.19532909 131.80467091] ; [88.80467091 62.19532909],0
d1,1,0.049331,3.86404,[232  88] ; [96 55],[222.84501062  97.15498938] ; [105.15498938  45.84501062],0
s6,1,0.059979,3.537977,[230  79] ; [99 51],[221.48366013  87.51633987] ; [107.51633987  42.48366013],0
v3,1,0.081957,3.025668,[141 168] ; [54 92],[132.42857143 176.57142857] ; [62.57142857 83.42857143],0
s5,1,0.112284,2.521771,[131 176] ; [52 97],[123.20394737 183.79605263] ; [59.79605263 89.20394737],0
u4,1,0.129855,2.294241,[  9 310] ; [  1 150],[  6.78723404 312.21276596] ; [  3.21276596 147.78723404],0
n4,1,0.139561,2.182794,[260  60] ; [113  37],[253.95744681  66.04255319] ; [119.04255319  30.95744681],0
u1,1,0.174592,1.843063,[ 61 259] ; [ 37 114],[ 66.58174098 253.41825902] ; [ 31.41825902 119.58174098],0
p9,1,0.18737,1.738174,[285  33] ; [129  22],[280.70788913  37.29211087] ; [133.29211087  17.70788913],0
d3,1,0.205468,1.603076,[254  66] ; [112  39],[248.66242038  71.33757962] ; [117.33757962  33.66242038],0
a6,1,0.207392,1.589539,[214 105] ; [110  41],[219.90638298  99.09361702] ; [104.09361702  46.90638298],0
r1,1,0.225604,1.468364,[272  45] ; [123  28],[267.5534188  49.4465812] ; [127.4465812  23.5534188],0
n3,1,0.266823,1.233005,[33 14] ; [33  8],[35.25 11.75] ; [30.75 10.25],0
a5,1,0.267538,1.229328,[254  66] ; [113  38],[249.3418259  70.6581741] ; [117.6581741  33.3418259],0
a4,1,0.289432,1.122264,[146 173] ; [77 74],[151.35531915 167.64468085] ; [71.64468085 79.35531915],0
n2,1,0.32942,0.951176,[39  9] ; [29 11],[37.09090909 10.90909091] ; [30.90909091  9.09090909],0
a7,1,0.432595,0.615846,[237  82] ; [107  44],[233.48085106  85.51914894] ; [110.51914894  40.48085106],0
a1,1,0.440227,0.595691,[ 23 297] ; [  8 143],[ 21.06157113 298.93842887] ; [  9.93842887 141.06157113],0
b1,1,0.496171,0.463116,[123 197] ; [63 88],[126.36942675 193.63057325] ; [59.63057325 91.36942675],0
r2,1,0.539368,0.376712,[300  15] ; [138   9],[298.63636364  16.36363636] ; [139.36363636   7.63636364],0
b4,1,0.564969,0.331173,[187 133] ; [84 67],[184.11889597 135.88110403] ; [86.88110403 64.11889597],0
a8,1,0.593487,0.284931,[ 48 242] ; [ 25 109],[ 49.92924528 240.07075472] ; [ 23.07075472 110.92924528],0
s4,1,0.695071,0.153651,[ 55 260] ; [ 24 126],[ 53.51612903 261.48387097] ; [ 25.48387097 124.51612903],0
s1,1,0.761198,0.09236,[  9 310] ; [  5 145],[  9.52238806 309.47761194] ; [  4.47761194 145.52238806],0
b2,1,0.76607,0.088518,[ 78 118] ; [42 59],[ 79.19191919 116.80808081] ; [40.80808081 60.19191919],0
b3,1,0.76607,0.088518,[ 78 118] ; [42 59],[ 79.19191919 116.80808081] ; [40.80808081 60.19191919],0
r3,1,0.76995,0.085522,[308   9] ; [145   5],[307.49678801   9.50321199] ; [145.50321199   4.49678801],0
n1,1,0.785176,0.0743,[14 33] ; [13 27],[14.5862069 32.4137931] ; [12.4137931 27.5862069],0
a3,1,0.868079,0.027589,[248  70] ; [118  32],[248.69230769  69.30769231] ; [117.30769231  32.69230769],0
u3,1,0.876744,0.024055,[41 30] ; [19 13],[41.3592233 29.6407767] ; [18.6407767 13.3592233],0
u2,1,0.877499,0.023759,[41 31] ; [17 12],[41.34653465 30.65346535] ; [16.65346535 12.34653465],0
s7,1,0.912075,0.012193,[166 138] ; [80 68],[165.45132743 138.54867257] ; [80.54867257 67.45132743],0
d2,1,0.922409,0.009487,[168 152] ; [80 71],[168.492569 151.507431] ; [79.507431 71.492569],0
v2,1,0.953451,0.003408,[190 121] ; [89 56],[190.28289474 120.71710526] ; [88.71710526 56.28289474],0
s3,1,0.963613,0.002081,[188 127] ; [88 60],[187.77537797 127.22462203] ; [88.22462203 59.77537797],0
s2,1,0.979231,0.000678,[175 142] ; [83 67],[175.13062099 141.86937901] ; [82.86937901 67.13062099],0
