Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.061587,3.494118,[ 3 14] ; [3 2],[ 4.63636364 12.36363636] ; [1.36363636 3.63636364],0
s7,1,0.090969,2.857143,[ 3 12] ; [3 2],[ 4.5 10.5] ; [1.5 3.5],0
a4,1,0.104355,2.637698,[ 4 14] ; [3 2],[ 5.47826087 12.52173913] ; [1.52173913 3.47826087],0
s4,1,0.131636,2.273099,[ 2 16] ; [2 3],[ 3.13043478 14.86956522] ; [0.86956522 4.13043478],0
d1,1,0.159128,1.982492,[ 8 10] ; [4 1],[9.39130435 8.60869565] ; [2.60869565 2.39130435],0
b2,1,0.182422,1.777778,[ 2 10] ; [2 2],[3. 9.] ; [1. 3.],0
b3,1,0.182422,1.777778,[ 2 10] ; [2 2],[3. 9.] ; [1. 3.],0
p8,1,0.193472,1.69098,[8 9] ; [4 1],[9.27272727 7.72727273] ; [2.72727273 2.27272727],0
r1,1,0.231263,1.433077,[9 9] ; [4 1],[10.17391304  7.82608696] ; [2.82608696 2.17391304],0
a7,1,0.231263,1.433077,[9 9] ; [4 1],[10.17391304  7.82608696] ; [2.82608696 2.17391304],0
s2,1,0.27976,1.168254,[ 6 12] ; [3 2],[ 7.04347826 10.95652174] ; [1.95652174 3.04347826],0
r4,1,0.27976,1.168254,[ 6 12] ; [3 2],[ 7.04347826 10.95652174] ; [1.95652174 3.04347826],0
b4,1,0.27976,1.168254,[12  6] ; [2 3],[10.95652174  7.04347826] ; [3.04347826 1.95652174],0
a2,1,0.310557,1.028307,[ 1 17] ; [1 4],[ 1.56521739 16.43478261] ; [0.43478261 4.56521739],0
u1,1,0.310557,1.028307,[ 1 17] ; [1 4],[ 1.56521739 16.43478261] ; [0.43478261 4.56521739],0
p7,1,0.32179,0.981658,[10  8] ; [4 1],[10.95652174  7.04347826] ; [3.04347826 1.95652174],0
p4,1,0.32179,0.981658,[10  8] ; [4 1],[10.95652174  7.04347826] ; [3.04347826 1.95652174],0
v1,1,0.399557,0.709658,[ 7 11] ; [3 2],[ 7.82608696 10.17391304] ; [2.17391304 2.82608696],0
r2,1,0.423206,0.641394,[14  4] ; [3 2],[13.30434783  4.69565217] ; [3.69565217 1.30434783],0
d5,1,0.432738,0.615463,[11  7] ; [4 1],[11.73913043  6.26086957] ; [3.26086957 1.73913043],0
p10,1,0.432738,0.615463,[11  7] ; [4 1],[11.73913043  6.26086957] ; [3.26086957 1.73913043],0
s8,1,0.467267,0.528431,[ 4 13] ; [2 3],[ 4.63636364 12.36363636] ; [1.36363636 3.63636364],0
n3,1,0.490153,0.47619,[3 4] ; [2 1],[3.5 3.5] ; [1.5 1.5],0
d2,1,0.537892,0.379461,[ 8 10] ; [3 2],[8.60869565 9.39130435] ; [2.39130435 2.60869565],0
d3,1,0.566501,0.328571,[12  6] ; [4 1],[12.52173913  5.47826087] ; [3.47826087 1.52173913],0
a3,1,0.566501,0.328571,[12  6] ; [4 1],[12.52173913  5.47826087] ; [3.47826087 1.52173913],0
a5,1,0.566501,0.328571,[12  6] ; [4 1],[12.52173913  5.47826087] ; [3.47826087 1.52173913],0
s5,1,0.599275,0.276091,[ 5 13] ; [2 3],[ 5.47826087 12.52173913] ; [1.52173913 3.47826087],0
p12,1,0.601598,0.272593,[ 2 16] ; [1 4],[ 2.34782609 15.65217391] ; [0.65217391 4.34782609],0
p9,1,0.677856,0.172549,[12  5] ; [4 1],[12.36363636  4.63636364] ; [3.63636364 1.36363636],0
p11,1,0.692103,0.156818,[9 9] ; [3 2],[9.39130435 8.60869565] ; [2.60869565 2.39130435],0
n4,1,0.726053,0.122767,[13  5] ; [4 1],[13.30434783  4.69565217] ; [3.69565217 1.30434783],0
n1,1,0.77816,0.079365,[4 3] ; [2 1],[4.2 2.8] ; [1.8 1.2],0
b5,1,0.781867,0.076667,[12  6] ; [3 2],[11.73913043  6.26086957] ; [3.26086957 1.73913043],0
a6,1,0.859234,0.031453,[10  8] ; [3 2],[10.17391304  7.82608696] ; [2.82608696 2.17391304],0
d4,1,0.915127,0.011358,[14  4] ; [4 1],[14.08695652  3.91304348] ; [3.91304348 1.08695652],0
p1,1,0.915127,0.011358,[ 4 14] ; [1 4],[ 3.91304348 14.08695652] ; [1.08695652 3.91304348],0
p5,1,0.915127,0.011358,[ 4 14] ; [1 4],[ 3.91304348 14.08695652] ; [1.08695652 3.91304348],0
s3,1,0.962486,0.002212,[ 7 10] ; [2 3],[ 6.95454545 10.04545455] ; [2.04545455 2.95454545],0
s6,1,0.962486,0.002212,[ 7 10] ; [2 3],[ 6.95454545 10.04545455] ; [2.04545455 2.95454545],0
