Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,65.390481,[ 9 35] ; [124  23],[30.63874346 13.36125654] ; [102.36125654  44.63874346],1
d3,1,6.1e-05,16.074147,[22 22] ; [119  29],[32.3125 11.6875] ; [108.6875  39.3125],1
a2,1,6.2e-05,16.046432,[ 2 42] ; [53 96],[12.5388601 31.4611399] ; [ 42.4611399 106.5388601],1
u1,1,0.000788,11.269076,[ 3 41] ; [ 48 101],[11.62694301 32.37305699] ; [ 39.37305699 109.62694301],1
b5,1,0.009256,6.772717,[21 23] ; [103  46],[28.26943005 15.73056995] ; [95.73056995 53.26943005],0
r4,1,0.036978,4.351447,[37  7] ; [140   9],[40.35233161  3.64766839] ; [136.64766839  12.35233161],0
b4,1,0.048321,3.898793,[23 21] ; [102  47],[28.49740933 15.50259067] ; [96.50259067 52.49740933],0
a5,1,0.050969,3.809286,[30 14] ; [122  27],[34.65284974  9.34715026] ; [117.34715026  31.65284974],0
r3,1,0.062631,3.466296,[40  4] ; [144   4],[42.16666667  1.83333333] ; [141.83333333   6.16666667],0
p1,1,0.069187,3.302211,[ 2 42] ; [ 22 126],[ 5.5 38.5] ; [ 18.5 129.5],0
r1,1,0.073384,3.205654,[32 12] ; [126  23],[36.02072539  7.97927461] ; [121.97927461  27.02072539],0
p12,1,0.076232,3.143451,[ 3 40] ; [ 27 122],[ 6.71875 36.28125] ; [ 23.28125 125.71875],0
p4,1,0.125336,2.349345,[32 12] ; [123  25],[35.52083333  8.47916667] ; [119.47916667  28.52083333],0
d1,1,0.126401,2.336157,[24 20] ; [100  49],[28.26943005 15.73056995] ; [95.73056995 53.26943005],0
n6,1,0.136098,2.22153,[37  7] ; [134  12],[39.6  4.4] ; [131.4  14.6],0
p10,1,0.169435,1.887935,[35  8] ; [133  16],[37.625  5.375] ; [130.375  18.625],0
r2,1,0.170211,1.881085,[39  4] ; [143   6],[40.76041667  2.23958333] ; [141.23958333   7.76041667],0
v4,1,0.186777,1.742863,[40  4] ; [142   6],[41.70833333  2.29166667] ; [140.29166667   7.70833333],0
p3,1,0.195373,1.676626,[27 17] ; [106  42],[30.47916667 13.52083333] ; [102.52083333  45.47916667],0
u4,1,0.197532,1.660527,[ 3 41] ; [  4 145],[ 1.59585492 42.40414508] ; [  5.40414508 143.59585492],0
n3,1,0.208723,1.58026,[10  1] ; [18  7],[8.55555556 2.44444444] ; [19.44444444  5.55555556],0
a4,1,0.239023,1.386345,[18 26] ; [76 73],[21.43005181 22.56994819] ; [72.56994819 76.43005181],0
u2,1,0.253411,1.304398,[5 5] ; [25 11],[6.52173913 3.47826087] ; [23.47826087 12.52173913],0
d5,1,0.326134,0.964189,[39  5] ; [122  26],[36.89583333  7.10416667] ; [124.10416667  23.89583333],0
s3,1,0.328382,0.955269,[23 21] ; [89 58],[25.80104712 18.19895288] ; [86.19895288 60.80104712],0
v3,1,0.334652,0.93081,[27 16] ; [79 66],[24.24468085 18.75531915] ; [81.75531915 63.24468085],0
n1,1,0.344157,0.894886,[6 5] ; [ 9 15],[4.71428571 6.28571429] ; [10.28571429 13.71428571],0
p11,1,0.367548,0.811936,[33 11] ; [121  28],[35.10880829  8.89119171] ; [118.89119171  30.10880829],0
p9,1,0.374912,0.787321,[38  5] ; [138  11],[39.41666667  3.58333333] ; [136.58333333  12.41666667],0
b1,1,0.391504,0.734266,[20 24] ; [57 92],[17.55440415 26.44559585] ; [59.44559585 89.55440415],0
a1,1,0.400069,0.708119,[ 5 39] ; [ 11 138],[ 3.64766839 40.35233161] ; [ 12.35233161 136.64766839],0
u3,1,0.425958,0.633818,[5 5] ; [23 13],[6.08695652 3.91304348] ; [21.91304348 14.08695652],0
s7,1,0.444319,0.585102,[29 12] ; [90 50],[26.9558011 14.0441989] ; [92.0441989 47.9558011],0
s8,1,0.491309,0.473659,[28 16] ; [85 62],[26.03141361 17.96858639] ; [86.96858639 60.03141361],0
n4,1,0.500322,0.454254,[39  5] ; [126  23],[37.61658031  6.38341969] ; [127.38341969  21.61658031],0
s5,1,0.501736,0.451262,[19 21] ; [59 83],[17.14285714 22.85714286] ; [60.85714286 81.14285714],0
d4,1,0.516117,0.421646,[36  8] ; [127  21],[37.35416667  6.64583333] ; [125.64583333  22.35416667],0
v1,1,0.520013,0.413868,[31 12] ; [113  34],[32.58947368 10.41052632] ; [111.41052632  35.58947368],0
p5,1,0.531597,0.391338,[ 7 37] ; [ 30 119],[ 8.43523316 35.56476684] ; [ 28.56476684 120.43523316],0
a8,1,0.545131,0.366113,[ 8 35] ; [ 19 110],[ 6.75 36.25] ; [ 20.25 108.75],0
d2,1,0.55527,0.347961,[26 18] ; [80 68],[24.29166667 19.70833333] ; [81.70833333 66.29166667],0
n2,1,0.608874,0.261818,[8 3] ; [16  9],[7.33333333 3.66666667] ; [16.66666667  8.33333333],0
p2,1,0.688706,0.16049,[38  6] ; [132  17],[38.75647668  5.24352332] ; [131.24352332  17.75647668],0
p7,1,0.732129,0.117166,[38  6] ; [123  23],[37.28421053  6.71578947] ; [123.71578947  22.28421053],0
b3,1,0.770098,0.085408,[14 18] ; [43 49],[14.70967742 17.29032258] ; [42.29032258 49.70967742],0
b2,1,0.770098,0.085408,[14 18] ; [43 49],[14.70967742 17.29032258] ; [42.29032258 49.70967742],0
p8,1,0.785345,0.07418,[30 13] ; [100  48],[29.26701571 13.73298429] ; [100.73298429  47.26701571],0
n5,1,0.797941,0.065543,[37  7] ; [122  26],[36.4375  7.5625] ; [122.5625  25.4375],0
s6,1,0.828933,0.046686,[32 11] ; [111  35],[32.53439153 10.46560847] ; [110.46560847  35.53439153],0
